"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Caravan Palace","37J1PlAkhRK7yrZUtqaUpQ","4li43Kruh0Mrh0SGsIipvU","album","2024-03-01",2024,"day",0.72,0.658,8,-7.869,1,0.0396,0.421,0.502,0.327,0.478,140.12,"69PhsHMVslHCHGrKEup5TE","https://api.spotify.com/v1/audio-analysis/69PhsHMVslHCHGrKEup5TE",4,1,167142,FALSE,"https://api.spotify.com/v1/tracks/69PhsHMVslHCHGrKEup5TE",FALSE,"MAD","https://p.scdn.co/mp3-preview/72455ae4c960b4ebb9659a19edaed6563d0c19ec?cid=a684933cbff543e08213060e872e4bd5",1,"track","spotify:track:69PhsHMVslHCHGrKEup5TE","https://open.spotify.com/track/69PhsHMVslHCHGrKEup5TE","Gangbusters Melody Club","G#","major","G# major"
"Caravan Palace","37J1PlAkhRK7yrZUtqaUpQ","4li43Kruh0Mrh0SGsIipvU","album","2024-03-01",2024,"day",0.818,0.866,10,-5.06,1,0.0804,0.276,0.626,0.242,0.745,123.026,"2Ki0bQiWB2F09S0BiS079l","https://api.spotify.com/v1/audio-analysis/2Ki0bQiWB2F09S0BiS079l",4,1,221636,FALSE,"https://api.spotify.com/v1/tracks/2Ki0bQiWB2F09S0BiS079l",FALSE,"Mirrors","https://p.scdn.co/mp3-preview/54b05ba5d16de2f08633c9dce96d984623147524?cid=a684933cbff543e08213060e872e4bd5",2,"track","spotify:track:2Ki0bQiWB2F09S0BiS079l","https://open.spotify.com/track/2Ki0bQiWB2F09S0BiS079l","Gangbusters Melody Club","A#","major","A# major"
"Caravan Palace","37J1PlAkhRK7yrZUtqaUpQ","4li43Kruh0Mrh0SGsIipvU","album","2024-03-01",2024,"day",0.522,0.922,9,-5.805,1,0.111,0.0279,0.306,0.7,0.545,203.798,"6xkfXQ9XwmErb2jv2zO8pi","https://api.spotify.com/v1/audio-analysis/6xkfXQ9XwmErb2jv2zO8pi",4,1,236261,FALSE,"https://api.spotify.com/v1/tracks/6xkfXQ9XwmErb2jv2zO8pi",FALSE,"81 Special","https://p.scdn.co/mp3-preview/5a5df46e6a97725b4b36db680e2ca1664b2267be?cid=a684933cbff543e08213060e872e4bd5",3,"track","spotify:track:6xkfXQ9XwmErb2jv2zO8pi","https://open.spotify.com/track/6xkfXQ9XwmErb2jv2zO8pi","Gangbusters Melody Club","A","major","A major"
"Caravan Palace","37J1PlAkhRK7yrZUtqaUpQ","4li43Kruh0Mrh0SGsIipvU","album","2024-03-01",2024,"day",0.667,0.746,1,-6.412,1,0.0291,0.0773,0.442,0.454,0.785,121.966,"0lQwmmmtAV6Mq5GJ8RWZVu","https://api.spotify.com/v1/audio-analysis/0lQwmmmtAV6Mq5GJ8RWZVu",4,1,207678,FALSE,"https://api.spotify.com/v1/tracks/0lQwmmmtAV6Mq5GJ8RWZVu",FALSE,"Raccoons","https://p.scdn.co/mp3-preview/cc631338ea27915879d4a0aff1eb510fad7bedd5?cid=a684933cbff543e08213060e872e4bd5",4,"track","spotify:track:0lQwmmmtAV6Mq5GJ8RWZVu","https://open.spotify.com/track/0lQwmmmtAV6Mq5GJ8RWZVu","Gangbusters Melody Club","C#","major","C# major"
"Caravan Palace","37J1PlAkhRK7yrZUtqaUpQ","4li43Kruh0Mrh0SGsIipvU","album","2024-03-01",2024,"day",0.508,0.585,10,-6.962,1,0.245,0.61,0.0196,0.139,0.184,170.271,"6HXP9LpGgzT6865rFeusrB","https://api.spotify.com/v1/audio-analysis/6HXP9LpGgzT6865rFeusrB",4,1,249510,FALSE,"https://api.spotify.com/v1/tracks/6HXP9LpGgzT6865rFeusrB",FALSE,"Avalanches","https://p.scdn.co/mp3-preview/2db1c5afdbad5735089e1daaebfb80735e89aac8?cid=a684933cbff543e08213060e872e4bd5",5,"track","spotify:track:6HXP9LpGgzT6865rFeusrB","https://open.spotify.com/track/6HXP9LpGgzT6865rFeusrB","Gangbusters Melody Club","A#","major","A# major"
"Caravan Palace","37J1PlAkhRK7yrZUtqaUpQ","4li43Kruh0Mrh0SGsIipvU","album","2024-03-01",2024,"day",0.782,0.9,1,-5.091,0,0.043,0.281,0.737,0.102,0.734,117.004,"0gqM9aHHz4OzqrfmRxdonh","https://api.spotify.com/v1/audio-analysis/0gqM9aHHz4OzqrfmRxdonh",4,1,242051,FALSE,"https://api.spotify.com/v1/tracks/0gqM9aHHz4OzqrfmRxdonh",FALSE,"Reverse","https://p.scdn.co/mp3-preview/c6954d217fa82854de8332c789e421644d67d07f?cid=a684933cbff543e08213060e872e4bd5",6,"track","spotify:track:0gqM9aHHz4OzqrfmRxdonh","https://open.spotify.com/track/0gqM9aHHz4OzqrfmRxdonh","Gangbusters Melody Club","C#","minor","C# minor"
"Caravan Palace","37J1PlAkhRK7yrZUtqaUpQ","4li43Kruh0Mrh0SGsIipvU","album","2024-03-01",2024,"day",0.503,0.544,5,-7.314,1,0.0287,0.72,0.369,0.0722,0.157,98.963,"6GERCRW8cpGMGIW69ylEzU","https://api.spotify.com/v1/audio-analysis/6GERCRW8cpGMGIW69ylEzU",3,1,211058,FALSE,"https://api.spotify.com/v1/tracks/6GERCRW8cpGMGIW69ylEzU",FALSE,"Fool","https://p.scdn.co/mp3-preview/45b1a2a6b28671a3528f80485558303cb52e8ef2?cid=a684933cbff543e08213060e872e4bd5",7,"track","spotify:track:6GERCRW8cpGMGIW69ylEzU","https://open.spotify.com/track/6GERCRW8cpGMGIW69ylEzU","Gangbusters Melody Club","F","major","F major"
"Caravan Palace","37J1PlAkhRK7yrZUtqaUpQ","4li43Kruh0Mrh0SGsIipvU","album","2024-03-01",2024,"day",0.793,0.632,10,-7.033,1,0.0395,0.562,0.0886,0.694,0.304,97.023,"5eTkcqBlXPU2AX9oNyMBln","https://api.spotify.com/v1/audio-analysis/5eTkcqBlXPU2AX9oNyMBln",4,1,232715,TRUE,"https://api.spotify.com/v1/tracks/5eTkcqBlXPU2AX9oNyMBln",FALSE,"Spirits","https://p.scdn.co/mp3-preview/8bcb71524527c40ef0159f7174e360f7e8a3c8d1?cid=a684933cbff543e08213060e872e4bd5",8,"track","spotify:track:5eTkcqBlXPU2AX9oNyMBln","https://open.spotify.com/track/5eTkcqBlXPU2AX9oNyMBln","Gangbusters Melody Club","A#","major","A# major"
"Caravan Palace","37J1PlAkhRK7yrZUtqaUpQ","4li43Kruh0Mrh0SGsIipvU","album","2024-03-01",2024,"day",0.579,0.802,1,-6.553,1,0.0561,0.548,0.228,0.113,0.758,169.823,"3RRKUqL60fqEs8VErDGp0g","https://api.spotify.com/v1/audio-analysis/3RRKUqL60fqEs8VErDGp0g",4,1,230497,FALSE,"https://api.spotify.com/v1/tracks/3RRKUqL60fqEs8VErDGp0g",FALSE,"Blonde Dynamite","https://p.scdn.co/mp3-preview/0e492b8bd9a94697cb75922588cd83c32fb67312?cid=a684933cbff543e08213060e872e4bd5",9,"track","spotify:track:3RRKUqL60fqEs8VErDGp0g","https://open.spotify.com/track/3RRKUqL60fqEs8VErDGp0g","Gangbusters Melody Club","C#","major","C# major"
"Caravan Palace","37J1PlAkhRK7yrZUtqaUpQ","4li43Kruh0Mrh0SGsIipvU","album","2024-03-01",2024,"day",0.681,0.674,5,-6.682,0,0.264,0.475,0.883,0.125,0.629,97.898,"0aOFgHXONs7f4pvFtxYres","https://api.spotify.com/v1/audio-analysis/0aOFgHXONs7f4pvFtxYres",4,1,162105,FALSE,"https://api.spotify.com/v1/tracks/0aOFgHXONs7f4pvFtxYres",FALSE,"Portobello","https://p.scdn.co/mp3-preview/d0eb563c0c106d1549c5ce2d77c42e45ddca9e90?cid=a684933cbff543e08213060e872e4bd5",10,"track","spotify:track:0aOFgHXONs7f4pvFtxYres","https://open.spotify.com/track/0aOFgHXONs7f4pvFtxYres","Gangbusters Melody Club","F","minor","F minor"
