"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Elvis Presley","43ZHCT0cAZBISjO8DG9PnE","5X3C75j0EXwudyUS6UiEVD","album","2023-08-11",2023,"day",0.212,0.26,0,-12.435,1,0.0337,0.523,0.982,0.827,0.0361,99.736,"5iyw3blfTrwfVwWWCWwz6Z","https://api.spotify.com/v1/audio-analysis/5iyw3blfTrwfVwWWCWwz6Z",4,1,71789,FALSE,"https://api.spotify.com/v1/tracks/5iyw3blfTrwfVwWWCWwz6Z",FALSE,"Introduction: Also sprach Zarathustra (Theme From 2001: A Space Odyssey) - Live at The Honolulu International Center, Hawaii January 14, 1973","https://p.scdn.co/mp3-preview/f6aee29816b2f1bbf0fa67769f5c4a2ff6c27af5?cid=a684933cbff543e08213060e872e4bd5",1,"track","spotify:track:5iyw3blfTrwfVwWWCWwz6Z","https://open.spotify.com/track/5iyw3blfTrwfVwWWCWwz6Z","Aloha From Hawaii Via Satellite (Deluxe Edition)","C","major","C major"
"Elvis Presley","43ZHCT0cAZBISjO8DG9PnE","5X3C75j0EXwudyUS6UiEVD","album","2023-08-11",2023,"day",0.388,0.931,9,-7.469,1,0.124,0.00953,0.00069,0.692,0.713,142.982,"45xAsEv3WsyJfyg1Hggznq","https://api.spotify.com/v1/audio-analysis/45xAsEv3WsyJfyg1Hggznq",4,1,180078,FALSE,"https://api.spotify.com/v1/tracks/45xAsEv3WsyJfyg1Hggznq",FALSE,"See See Rider - Live at The Honolulu International Center, Hawaii January 14, 1973","https://p.scdn.co/mp3-preview/723f88bb8e65c7400de9e6ac33e37f65b0bd6c3d?cid=a684933cbff543e08213060e872e4bd5",2,"track","spotify:track:45xAsEv3WsyJfyg1Hggznq","https://open.spotify.com/track/45xAsEv3WsyJfyg1Hggznq","Aloha From Hawaii Via Satellite (Deluxe Edition)","A","major","A major"
"Elvis Presley","43ZHCT0cAZBISjO8DG9PnE","5X3C75j0EXwudyUS6UiEVD","album","2023-08-11",2023,"day",0.302,0.916,2,-7.448,1,0.163,0.0713,0.00252,0.891,0.6,162.735,"7GdOEAvjVKWZLBJLW2pUoQ","https://api.spotify.com/v1/audio-analysis/7GdOEAvjVKWZLBJLW2pUoQ",4,1,191430,FALSE,"https://api.spotify.com/v1/tracks/7GdOEAvjVKWZLBJLW2pUoQ",FALSE,"Burning Love - Live at The Honolulu International Center, Hawaii January 14, 1973","https://p.scdn.co/mp3-preview/283d2c80e352311d487f110329b566fef729cfe2?cid=a684933cbff543e08213060e872e4bd5",3,"track","spotify:track:7GdOEAvjVKWZLBJLW2pUoQ","https://open.spotify.com/track/7GdOEAvjVKWZLBJLW2pUoQ","Aloha From Hawaii Via Satellite (Deluxe Edition)","D","major","D major"
"Elvis Presley","43ZHCT0cAZBISjO8DG9PnE","5X3C75j0EXwudyUS6UiEVD","album","2023-08-11",2023,"day",0.325,0.579,2,-10.497,1,0.049,0.512,0.138,0.935,0.361,140.206,"5td6lW0eqGydXLBmY16a7F","https://api.spotify.com/v1/audio-analysis/5td6lW0eqGydXLBmY16a7F",4,1,212855,FALSE,"https://api.spotify.com/v1/tracks/5td6lW0eqGydXLBmY16a7F",FALSE,"Something - Live at The Honolulu International Center, Hawaii January 14, 1973","https://p.scdn.co/mp3-preview/6158c97521089a9a9a8129254ef541ae4612f982?cid=a684933cbff543e08213060e872e4bd5",4,"track","spotify:track:5td6lW0eqGydXLBmY16a7F","https://open.spotify.com/track/5td6lW0eqGydXLBmY16a7F","Aloha From Hawaii Via Satellite (Deluxe Edition)","D","major","D major"
"Elvis Presley","43ZHCT0cAZBISjO8DG9PnE","5X3C75j0EXwudyUS6UiEVD","album","2023-08-11",2023,"day",0.282,0.578,0,-9.218,1,0.0476,0.375,0.00121,0.766,0.466,96.653,"3Bew75Ei3PqvCngIm5Vu2X","https://api.spotify.com/v1/audio-analysis/3Bew75Ei3PqvCngIm5Vu2X",4,1,198364,FALSE,"https://api.spotify.com/v1/tracks/3Bew75Ei3PqvCngIm5Vu2X",FALSE,"You Gave Me A Mountain - Live at The Honolulu International Center, Hawaii January 14, 1973","https://p.scdn.co/mp3-preview/36adaeeb5baa706aed88684f69384578bf1ddc3e?cid=a684933cbff543e08213060e872e4bd5",5,"track","spotify:track:3Bew75Ei3PqvCngIm5Vu2X","https://open.spotify.com/track/3Bew75Ei3PqvCngIm5Vu2X","Aloha From Hawaii Via Satellite (Deluxe Edition)","C","major","C major"
"Elvis Presley","43ZHCT0cAZBISjO8DG9PnE","5X3C75j0EXwudyUS6UiEVD","album","2023-08-11",2023,"day",0.469,0.776,4,-8.342,1,0.0379,0.363,0.0361,0.484,0.612,87.579,"1O04SZEcUXf8Y4uRedwt75","https://api.spotify.com/v1/audio-analysis/1O04SZEcUXf8Y4uRedwt75",4,1,193309,FALSE,"https://api.spotify.com/v1/tracks/1O04SZEcUXf8Y4uRedwt75",FALSE,"Steamroller Blues - Live at The Honolulu International Center, Hawaii January 14, 1973","https://p.scdn.co/mp3-preview/f57a15c95a2f348dd16d4502fd11fe04752c0fea?cid=a684933cbff543e08213060e872e4bd5",6,"track","spotify:track:1O04SZEcUXf8Y4uRedwt75","https://open.spotify.com/track/1O04SZEcUXf8Y4uRedwt75","Aloha From Hawaii Via Satellite (Deluxe Edition)","E","major","E major"
"Elvis Presley","43ZHCT0cAZBISjO8DG9PnE","5X3C75j0EXwudyUS6UiEVD","album","2023-08-11",2023,"day",0.376,0.421,0,-11.916,1,0.0547,0.724,0.00618,0.608,0.312,84.091,"2FepZmccs4qkYLJetBBKZt","https://api.spotify.com/v1/audio-analysis/2FepZmccs4qkYLJetBBKZt",4,1,259889,FALSE,"https://api.spotify.com/v1/tracks/2FepZmccs4qkYLJetBBKZt",FALSE,"My Way - Live at The Honolulu International Center, Hawaii January 14, 1973","https://p.scdn.co/mp3-preview/e58369d7c10c3bbfc9d5c1a74878859e3f5c0b61?cid=a684933cbff543e08213060e872e4bd5",7,"track","spotify:track:2FepZmccs4qkYLJetBBKZt","https://open.spotify.com/track/2FepZmccs4qkYLJetBBKZt","Aloha From Hawaii Via Satellite (Deluxe Edition)","C","major","C major"
"Elvis Presley","43ZHCT0cAZBISjO8DG9PnE","5X3C75j0EXwudyUS6UiEVD","album","2023-08-11",2023,"day",0.488,0.482,5,-12.199,1,0.05,0.766,0.000449,0.699,0.642,93.934,"2t9YdzjLBjV7WTY7V4YxGv","https://api.spotify.com/v1/audio-analysis/2t9YdzjLBjV7WTY7V4YxGv",4,1,96155,FALSE,"https://api.spotify.com/v1/tracks/2t9YdzjLBjV7WTY7V4YxGv",FALSE,"Love Me - Live at The Honolulu International Center, Hawaii January 14, 1973","https://p.scdn.co/mp3-preview/6821e16d73813cea95e77f56e17bef4bda3e8521?cid=a684933cbff543e08213060e872e4bd5",8,"track","spotify:track:2t9YdzjLBjV7WTY7V4YxGv","https://open.spotify.com/track/2t9YdzjLBjV7WTY7V4YxGv","Aloha From Hawaii Via Satellite (Deluxe Edition)","F","major","F major"
"Elvis Presley","43ZHCT0cAZBISjO8DG9PnE","5X3C75j0EXwudyUS6UiEVD","album","2023-08-11",2023,"day",0.527,0.939,9,-7.555,1,0.0502,0.234,0.00568,0.6,0.848,91.718,"0dKzlrEfiBK73si0wHldzN","https://api.spotify.com/v1/audio-analysis/0dKzlrEfiBK73si0wHldzN",4,1,103346,FALSE,"https://api.spotify.com/v1/tracks/0dKzlrEfiBK73si0wHldzN",FALSE,"Johnny B. Goode - Live at The Honolulu International Center, Hawaii January 14, 1973","https://p.scdn.co/mp3-preview/1a8751c101fe3d3a2ddd5b53f8df23ec626ca56b?cid=a684933cbff543e08213060e872e4bd5",9,"track","spotify:track:0dKzlrEfiBK73si0wHldzN","https://open.spotify.com/track/0dKzlrEfiBK73si0wHldzN","Aloha From Hawaii Via Satellite (Deluxe Edition)","A","major","A major"
"Elvis Presley","43ZHCT0cAZBISjO8DG9PnE","5X3C75j0EXwudyUS6UiEVD","album","2023-08-11",2023,"day",0.295,0.474,5,-10.687,1,0.0423,0.739,0.0406,0.918,0.312,89.805,"3Myft89o1SqnV6edCHeiqR","https://api.spotify.com/v1/audio-analysis/3Myft89o1SqnV6edCHeiqR",3,1,129766,FALSE,"https://api.spotify.com/v1/tracks/3Myft89o1SqnV6edCHeiqR",FALSE,"It's Over - Live at The Honolulu International Center, Hawaii January 14, 1973","https://p.scdn.co/mp3-preview/edbd94ce0e575783270795f28acfb58c621122ed?cid=a684933cbff543e08213060e872e4bd5",10,"track","spotify:track:3Myft89o1SqnV6edCHeiqR","https://open.spotify.com/track/3Myft89o1SqnV6edCHeiqR","Aloha From Hawaii Via Satellite (Deluxe Edition)","F","major","F major"
"Elvis Presley","43ZHCT0cAZBISjO8DG9PnE","5X3C75j0EXwudyUS6UiEVD","album","2023-08-11",2023,"day",0.483,0.958,9,-7.333,1,0.165,0.656,0.029,0.436,0.593,103.369,"2TriYD1AoLgCouRce24mzR","https://api.spotify.com/v1/audio-analysis/2TriYD1AoLgCouRce24mzR",4,1,83433,FALSE,"https://api.spotify.com/v1/tracks/2TriYD1AoLgCouRce24mzR",FALSE,"Blue Suede Shoes - Live at The Honolulu International Center, Hawaii January 14, 1973","https://p.scdn.co/mp3-preview/d4b36f353d315c9c438d3257c1a89dffe234e0b0?cid=a684933cbff543e08213060e872e4bd5",11,"track","spotify:track:2TriYD1AoLgCouRce24mzR","https://open.spotify.com/track/2TriYD1AoLgCouRce24mzR","Aloha From Hawaii Via Satellite (Deluxe Edition)","A","major","A major"
"Elvis Presley","43ZHCT0cAZBISjO8DG9PnE","5X3C75j0EXwudyUS6UiEVD","album","2023-08-11",2023,"day",0.356,0.302,9,-13.791,1,0.0406,0.846,0.0534,0.667,0.249,83.489,"2kgwh2nBzFagOfAweheDUs","https://api.spotify.com/v1/audio-analysis/2kgwh2nBzFagOfAweheDUs",3,1,129987,FALSE,"https://api.spotify.com/v1/tracks/2kgwh2nBzFagOfAweheDUs",FALSE,"I'm So Lonesome I Could Cry - Live at The Honolulu International Center, Hawaii January 14, 1973","https://p.scdn.co/mp3-preview/4c00f8bea04dacdf0e8d55aee22439016204e381?cid=a684933cbff543e08213060e872e4bd5",12,"track","spotify:track:2kgwh2nBzFagOfAweheDUs","https://open.spotify.com/track/2kgwh2nBzFagOfAweheDUs","Aloha From Hawaii Via Satellite (Deluxe Edition)","A","major","A major"
"Elvis Presley","43ZHCT0cAZBISjO8DG9PnE","5X3C75j0EXwudyUS6UiEVD","album","2023-08-11",2023,"day",0.302,0.7,2,-6.621,1,0.0435,0.479,0.00308,0.939,0.707,145.098,"32P0qVuaJO8ZOYiaTfcXcd","https://api.spotify.com/v1/audio-analysis/32P0qVuaJO8ZOYiaTfcXcd",3,1,146938,FALSE,"https://api.spotify.com/v1/tracks/32P0qVuaJO8ZOYiaTfcXcd",FALSE,"I Can't Stop Loving You - Live at The Honolulu International Center, Hawaii January 14, 1973","https://p.scdn.co/mp3-preview/dba35983f730030cd680d6bb7ac3302af1c75a47?cid=a684933cbff543e08213060e872e4bd5",13,"track","spotify:track:32P0qVuaJO8ZOYiaTfcXcd","https://open.spotify.com/track/32P0qVuaJO8ZOYiaTfcXcd","Aloha From Hawaii Via Satellite (Deluxe Edition)","D","major","D major"
"Elvis Presley","43ZHCT0cAZBISjO8DG9PnE","5X3C75j0EXwudyUS6UiEVD","album","2023-08-11",2023,"day",0.457,0.955,0,-7.538,1,0.207,0.53,0.000992,0.721,0.485,110.041,"5SZMUorCXRLMlJWJmlGCEy","https://api.spotify.com/v1/audio-analysis/5SZMUorCXRLMlJWJmlGCEy",4,1,66549,FALSE,"https://api.spotify.com/v1/tracks/5SZMUorCXRLMlJWJmlGCEy",FALSE,"Hound Dog - Live at The Honolulu International Center, Hawaii January 14, 1973","https://p.scdn.co/mp3-preview/be0803bcb0bf3ba55b0ffa1bb551cd682c92ac71?cid=a684933cbff543e08213060e872e4bd5",14,"track","spotify:track:5SZMUorCXRLMlJWJmlGCEy","https://open.spotify.com/track/5SZMUorCXRLMlJWJmlGCEy","Aloha From Hawaii Via Satellite (Deluxe Edition)","C","major","C major"
"Elvis Presley","43ZHCT0cAZBISjO8DG9PnE","5X3C75j0EXwudyUS6UiEVD","album","2023-08-11",2023,"day",0.225,0.475,0,-9.435,1,0.0476,0.745,0.17,0.689,0.207,50.232,"09VEmfKPh6bfYuv4MySVO8","https://api.spotify.com/v1/audio-analysis/09VEmfKPh6bfYuv4MySVO8",3,1,196146,FALSE,"https://api.spotify.com/v1/tracks/09VEmfKPh6bfYuv4MySVO8",FALSE,"What Now My Love - Live at The Honolulu International Center, Hawaii January 14, 1973","https://p.scdn.co/mp3-preview/b50891e1c6521ef3d848c46800a47a1804f73258?cid=a684933cbff543e08213060e872e4bd5",15,"track","spotify:track:09VEmfKPh6bfYuv4MySVO8","https://open.spotify.com/track/09VEmfKPh6bfYuv4MySVO8","Aloha From Hawaii Via Satellite (Deluxe Edition)","C","major","C major"
"Elvis Presley","43ZHCT0cAZBISjO8DG9PnE","5X3C75j0EXwudyUS6UiEVD","album","2023-08-11",2023,"day",0.553,0.277,0,-16.432,0,0.0581,0.625,0.00197,0.678,0.251,115.393,"4dVTwnb6rsK4Y0arIYY7V7","https://api.spotify.com/v1/audio-analysis/4dVTwnb6rsK4Y0arIYY7V7",4,1,168756,FALSE,"https://api.spotify.com/v1/tracks/4dVTwnb6rsK4Y0arIYY7V7",FALSE,"Fever - Live at The Honolulu International Center, Hawaii January 14, 1973","https://p.scdn.co/mp3-preview/913bab0423b4bbd0d97f953dc43fd58219b113a3?cid=a684933cbff543e08213060e872e4bd5",16,"track","spotify:track:4dVTwnb6rsK4Y0arIYY7V7","https://open.spotify.com/track/4dVTwnb6rsK4Y0arIYY7V7","Aloha From Hawaii Via Satellite (Deluxe Edition)","C","minor","C minor"
"Elvis Presley","43ZHCT0cAZBISjO8DG9PnE","5X3C75j0EXwudyUS6UiEVD","album","2023-08-11",2023,"day",0.25,0.418,9,-12.978,1,0.0355,0.741,0.165,0.736,0.401,138.729,"0U5Xhw4buPvv9mGy9o1dKp","https://api.spotify.com/v1/audio-analysis/0U5Xhw4buPvv9mGy9o1dKp",3,1,114375,FALSE,"https://api.spotify.com/v1/tracks/0U5Xhw4buPvv9mGy9o1dKp",FALSE,"Welcome to My World - Live at The Honolulu International Center, Hawaii January 14, 1973","https://p.scdn.co/mp3-preview/1b46ab654c50982db95508770fd23f0d55313bd6?cid=a684933cbff543e08213060e872e4bd5",17,"track","spotify:track:0U5Xhw4buPvv9mGy9o1dKp","https://open.spotify.com/track/0U5Xhw4buPvv9mGy9o1dKp","Aloha From Hawaii Via Satellite (Deluxe Edition)","A","major","A major"
"Elvis Presley","43ZHCT0cAZBISjO8DG9PnE","5X3C75j0EXwudyUS6UiEVD","album","2023-08-11",2023,"day",0.253,0.78,7,-8.798,1,0.0547,0.104,0.000431,0.881,0.679,147.425,"7oP5nscjf8GtQzXGhpC6rg","https://api.spotify.com/v1/audio-analysis/7oP5nscjf8GtQzXGhpC6rg",4,1,269426,FALSE,"https://api.spotify.com/v1/tracks/7oP5nscjf8GtQzXGhpC6rg",FALSE,"Suspicious Minds - Live at The Honolulu International Center, Hawaii January 14, 1973","https://p.scdn.co/mp3-preview/44c9e421de4b37d5223c3cab22c09068b8b9b57a?cid=a684933cbff543e08213060e872e4bd5",18,"track","spotify:track:7oP5nscjf8GtQzXGhpC6rg","https://open.spotify.com/track/7oP5nscjf8GtQzXGhpC6rg","Aloha From Hawaii Via Satellite (Deluxe Edition)","G","major","G major"
"Elvis Presley","43ZHCT0cAZBISjO8DG9PnE","5X3C75j0EXwudyUS6UiEVD","album","2023-08-11",2023,"day",0.487,0.638,0,-17.241,0,0.353,0.0759,0.000104,0.98,0.377,116.762,"7uOELPuvfgbBovFrV9MWTv","https://api.spotify.com/v1/audio-analysis/7uOELPuvfgbBovFrV9MWTv",4,1,163050,FALSE,"https://api.spotify.com/v1/tracks/7uOELPuvfgbBovFrV9MWTv",FALSE,"Introductions by Elvis - Live at The Honolulu International Center, Hawaii January 14, 1973","https://p.scdn.co/mp3-preview/2a0b24f070c6a9dd50ee40b10abfa0b5dd34198d?cid=a684933cbff543e08213060e872e4bd5",19,"track","spotify:track:7uOELPuvfgbBovFrV9MWTv","https://open.spotify.com/track/7uOELPuvfgbBovFrV9MWTv","Aloha From Hawaii Via Satellite (Deluxe Edition)","C","minor","C minor"
"Elvis Presley","43ZHCT0cAZBISjO8DG9PnE","5X3C75j0EXwudyUS6UiEVD","album","2023-08-11",2023,"day",0.315,0.317,8,-14.564,0,0.0296,0.742,0.378,0.709,0.197,87.146,"3BTdg651mQIghRDBtutVWG","https://api.spotify.com/v1/audio-analysis/3BTdg651mQIghRDBtutVWG",4,1,151915,FALSE,"https://api.spotify.com/v1/tracks/3BTdg651mQIghRDBtutVWG",FALSE,"I'll Remember You - Live at The Honolulu International Center, Hawaii January 14, 1973","https://p.scdn.co/mp3-preview/796b607c8f667dcb6d8c48bdd446e3c703f232a1?cid=a684933cbff543e08213060e872e4bd5",20,"track","spotify:track:3BTdg651mQIghRDBtutVWG","https://open.spotify.com/track/3BTdg651mQIghRDBtutVWG","Aloha From Hawaii Via Satellite (Deluxe Edition)","G#","minor","G# minor"
"Elvis Presley","43ZHCT0cAZBISjO8DG9PnE","5X3C75j0EXwudyUS6UiEVD","album","2023-08-11",2023,"day",0.485,0.959,0,-7.372,1,0.0579,0.357,0.000189,0.802,0.766,97.901,"4aY6YldvvwmcU3CoTWsTPm","https://api.spotify.com/v1/audio-analysis/4aY6YldvvwmcU3CoTWsTPm",4,1,125017,FALSE,"https://api.spotify.com/v1/tracks/4aY6YldvvwmcU3CoTWsTPm",FALSE,"Long Tall Sally / Whole Lotta Shakin' Goin' On - Live at The Honolulu International Center, Hawaii January 14, 1973","https://p.scdn.co/mp3-preview/d8899e08f0b30f8238c04eea3123c6a4a533a0f2?cid=a684933cbff543e08213060e872e4bd5",21,"track","spotify:track:4aY6YldvvwmcU3CoTWsTPm","https://open.spotify.com/track/4aY6YldvvwmcU3CoTWsTPm","Aloha From Hawaii Via Satellite (Deluxe Edition)","C","major","C major"
"Elvis Presley","43ZHCT0cAZBISjO8DG9PnE","5X3C75j0EXwudyUS6UiEVD","album","2023-08-11",2023,"day",0.189,0.413,0,-11.073,1,0.053,0.747,0.0838,0.7,0.225,85.826,"1oXy9wtiWRE2yx7LkTGs3K","https://api.spotify.com/v1/audio-analysis/1oXy9wtiWRE2yx7LkTGs3K",4,1,282622,FALSE,"https://api.spotify.com/v1/tracks/1oXy9wtiWRE2yx7LkTGs3K",FALSE,"An American Trilogy - Live at The Honolulu International Center, Hawaii January 14, 1973","https://p.scdn.co/mp3-preview/1eecfe1dfff639b5d8094eb24222bd4c497333db?cid=a684933cbff543e08213060e872e4bd5",22,"track","spotify:track:1oXy9wtiWRE2yx7LkTGs3K","https://open.spotify.com/track/1oXy9wtiWRE2yx7LkTGs3K","Aloha From Hawaii Via Satellite (Deluxe Edition)","C","major","C major"
"Elvis Presley","43ZHCT0cAZBISjO8DG9PnE","5X3C75j0EXwudyUS6UiEVD","album","2023-08-11",2023,"day",0.346,0.965,0,-7.511,1,0.132,0.272,0.0186,0.5,0.534,189.25,"0fMaNzDh0j1sXuHhHzN0qy","https://api.spotify.com/v1/audio-analysis/0fMaNzDh0j1sXuHhHzN0qy",4,1,142818,FALSE,"https://api.spotify.com/v1/tracks/0fMaNzDh0j1sXuHhHzN0qy",FALSE,"A Big Hunk O' Love - Live at The Honolulu International Center, Hawaii January 14, 1973","https://p.scdn.co/mp3-preview/b4d48cdcc2054e6c483f74e145188c4f6f83eeb4?cid=a684933cbff543e08213060e872e4bd5",23,"track","spotify:track:0fMaNzDh0j1sXuHhHzN0qy","https://open.spotify.com/track/0fMaNzDh0j1sXuHhHzN0qy","Aloha From Hawaii Via Satellite (Deluxe Edition)","C","major","C major"
"Elvis Presley","43ZHCT0cAZBISjO8DG9PnE","5X3C75j0EXwudyUS6UiEVD","album","2023-08-11",2023,"day",0.234,0.644,0,-8.276,1,0.034,0.376,0.32,0.898,0.649,150.324,"3LyJ5PA3yoQavNBRuRuI5y","https://api.spotify.com/v1/audio-analysis/3LyJ5PA3yoQavNBRuRuI5y",3,1,102728,FALSE,"https://api.spotify.com/v1/tracks/3LyJ5PA3yoQavNBRuRuI5y",FALSE,"Can't Help Falling In Love - Live at The Honolulu International Center, Hawaii January 14, 1973","https://p.scdn.co/mp3-preview/1c976637149581eba1bbfba4e05fdfb65447291d?cid=a684933cbff543e08213060e872e4bd5",24,"track","spotify:track:3LyJ5PA3yoQavNBRuRuI5y","https://open.spotify.com/track/3LyJ5PA3yoQavNBRuRuI5y","Aloha From Hawaii Via Satellite (Deluxe Edition)","C","major","C major"
"Elvis Presley","43ZHCT0cAZBISjO8DG9PnE","5X3C75j0EXwudyUS6UiEVD","album","2023-08-11",2023,"day",0.27,0.941,2,-7.92,1,0.0396,0.00471,0.934,0.107,0.911,151.057,"3XUMhZAgqxz8rKM06GtxvV","https://api.spotify.com/v1/audio-analysis/3XUMhZAgqxz8rKM06GtxvV",4,1,143941,FALSE,"https://api.spotify.com/v1/tracks/3XUMhZAgqxz8rKM06GtxvV",FALSE,"Closing Vamp - Live at The Honolulu International Center, Hawaii January 14, 1973","https://p.scdn.co/mp3-preview/a7f2b7de7f706d7f6af8310c37d1d76ac91f43a7?cid=a684933cbff543e08213060e872e4bd5",25,"track","spotify:track:3XUMhZAgqxz8rKM06GtxvV","https://open.spotify.com/track/3XUMhZAgqxz8rKM06GtxvV","Aloha From Hawaii Via Satellite (Deluxe Edition)","D","major","D major"
"Elvis Presley","43ZHCT0cAZBISjO8DG9PnE","5X3C75j0EXwudyUS6UiEVD","album","2023-08-11",2023,"day",0.257,0.577,0,-11.51,1,0.0831,0.189,0.965,0.896,0.0671,128.859,"0cMV18bkxV7gcYraFcVsOB","https://api.spotify.com/v1/audio-analysis/0cMV18bkxV7gcYraFcVsOB",5,2,78101,FALSE,"https://api.spotify.com/v1/tracks/0cMV18bkxV7gcYraFcVsOB",FALSE,"Introduction: Also sprach Zarathustra (Theme From 2001: A Space Odyssey) - Live at The Honolulu International Center, Hawaii January 12, 1973","https://p.scdn.co/mp3-preview/2ede547d987aa782ca84db9a25d1443065feae14?cid=a684933cbff543e08213060e872e4bd5",1,"track","spotify:track:0cMV18bkxV7gcYraFcVsOB","https://open.spotify.com/track/0cMV18bkxV7gcYraFcVsOB","Aloha From Hawaii Via Satellite (Deluxe Edition)","C","major","C major"
"Elvis Presley","43ZHCT0cAZBISjO8DG9PnE","5X3C75j0EXwudyUS6UiEVD","album","2023-08-11",2023,"day",0.379,0.95,9,-8.534,1,0.104,0.00121,0.0153,0.702,0.737,143.847,"0LY54KHXSkD8c22xp7KyJQ","https://api.spotify.com/v1/audio-analysis/0LY54KHXSkD8c22xp7KyJQ",4,2,182316,FALSE,"https://api.spotify.com/v1/tracks/0LY54KHXSkD8c22xp7KyJQ",FALSE,"See See Rider - Live at The Honolulu International Center, Hawaii January 12, 1973","https://p.scdn.co/mp3-preview/762dc1cbbf8c5837a08902b8ef1e41c7db01c059?cid=a684933cbff543e08213060e872e4bd5",2,"track","spotify:track:0LY54KHXSkD8c22xp7KyJQ","https://open.spotify.com/track/0LY54KHXSkD8c22xp7KyJQ","Aloha From Hawaii Via Satellite (Deluxe Edition)","A","major","A major"
