"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Foo Fighters","7jy3rLJdDQY21OgRLCZ9sD","4wp4aWWpoYfNcspimVAnel","album","2023-06-02",2023,"day",0.274,0.956,4,-4.978,1,0.0814,1.37e-05,1.33e-06,0.117,0.339,150.207,"3nDstVXtr6xbCZKs5Ka2rZ","https://api.spotify.com/v1/audio-analysis/3nDstVXtr6xbCZKs5Ka2rZ",4,1,258648,FALSE,"https://api.spotify.com/v1/tracks/3nDstVXtr6xbCZKs5Ka2rZ",FALSE,"Rescued","https://p.scdn.co/mp3-preview/93684d00336410add38f57e71816d66949bfa9be?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",1,"track","spotify:track:3nDstVXtr6xbCZKs5Ka2rZ","https://open.spotify.com/track/3nDstVXtr6xbCZKs5Ka2rZ","But Here We Are","E","major","E major"
"Foo Fighters","7jy3rLJdDQY21OgRLCZ9sD","4wp4aWWpoYfNcspimVAnel","album","2023-06-02",2023,"day",0.263,0.977,9,-2.913,1,0.0857,5.16e-06,0,0.148,0.305,149.982,"6vWu5uWlox5TVDPl3LvoG3","https://api.spotify.com/v1/audio-analysis/6vWu5uWlox5TVDPl3LvoG3",4,1,219400,FALSE,"https://api.spotify.com/v1/tracks/6vWu5uWlox5TVDPl3LvoG3",FALSE,"Under You","https://p.scdn.co/mp3-preview/092c89392a011d9fd5e167538295204a8fd8ee40?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",2,"track","spotify:track:6vWu5uWlox5TVDPl3LvoG3","https://open.spotify.com/track/6vWu5uWlox5TVDPl3LvoG3","But Here We Are","A","major","A major"
"Foo Fighters","7jy3rLJdDQY21OgRLCZ9sD","4wp4aWWpoYfNcspimVAnel","album","2023-06-02",2023,"day",0.525,0.956,2,-4.577,0,0.0526,0.000191,0,0.336,0.509,125.959,"4PTowPoeya2AITpeUCJLKN","https://api.spotify.com/v1/audio-analysis/4PTowPoeya2AITpeUCJLKN",4,1,228773,FALSE,"https://api.spotify.com/v1/tracks/4PTowPoeya2AITpeUCJLKN",FALSE,"Hearing Voices","https://p.scdn.co/mp3-preview/2442f958464c03983779b9b74dd2596f71fc5c39?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",3,"track","spotify:track:4PTowPoeya2AITpeUCJLKN","https://open.spotify.com/track/4PTowPoeya2AITpeUCJLKN","But Here We Are","D","minor","D minor"
"Foo Fighters","7jy3rLJdDQY21OgRLCZ9sD","4wp4aWWpoYfNcspimVAnel","album","2023-06-02",2023,"day",0.414,0.752,4,-3.963,1,0.0471,5.63e-05,2.02e-06,0.0344,0.474,148.129,"5s18NymFEHOtiUMfVr6E3H","https://api.spotify.com/v1/audio-analysis/5s18NymFEHOtiUMfVr6E3H",1,1,283466,FALSE,"https://api.spotify.com/v1/tracks/5s18NymFEHOtiUMfVr6E3H",FALSE,"But Here We Are","https://p.scdn.co/mp3-preview/1007df067ffe5ef29d50fbbe1c56597dbd770791?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",4,"track","spotify:track:5s18NymFEHOtiUMfVr6E3H","https://open.spotify.com/track/5s18NymFEHOtiUMfVr6E3H","But Here We Are","E","major","E major"
"Foo Fighters","7jy3rLJdDQY21OgRLCZ9sD","4wp4aWWpoYfNcspimVAnel","album","2023-06-02",2023,"day",0.407,0.741,2,-4.104,1,0.0345,0.00175,0,0.135,0.232,145.781,"26iWAXoJRiUv9yYzxYBqSv","https://api.spotify.com/v1/audio-analysis/26iWAXoJRiUv9yYzxYBqSv",4,1,229786,FALSE,"https://api.spotify.com/v1/tracks/26iWAXoJRiUv9yYzxYBqSv",FALSE,"The Glass","https://p.scdn.co/mp3-preview/05f934e60cc0739d36e4a00c21e34213bdebc2d5?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",5,"track","spotify:track:26iWAXoJRiUv9yYzxYBqSv","https://open.spotify.com/track/26iWAXoJRiUv9yYzxYBqSv","But Here We Are","D","major","D major"
"Foo Fighters","7jy3rLJdDQY21OgRLCZ9sD","4wp4aWWpoYfNcspimVAnel","album","2023-06-02",2023,"day",0.366,0.897,0,-4.604,1,0.053,5.41e-05,0.000291,0.145,0.827,132.123,"0csL34JYEsHmFBAZ1fgf8G","https://api.spotify.com/v1/audio-analysis/0csL34JYEsHmFBAZ1fgf8G",4,1,207786,FALSE,"https://api.spotify.com/v1/tracks/0csL34JYEsHmFBAZ1fgf8G",FALSE,"Nothing At All","https://p.scdn.co/mp3-preview/2a2d885bfad725374fb1532ee9b793d8598ecb75?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",6,"track","spotify:track:0csL34JYEsHmFBAZ1fgf8G","https://open.spotify.com/track/0csL34JYEsHmFBAZ1fgf8G","But Here We Are","C","major","C major"
"Foo Fighters","7jy3rLJdDQY21OgRLCZ9sD","4wp4aWWpoYfNcspimVAnel","album","2023-06-02",2023,"day",0.506,0.919,4,-6.463,1,0.0436,0.00168,0.0779,0.121,0.232,105,"0ypVld5cYlBkFQqh5KR9kn","https://api.spotify.com/v1/audio-analysis/0ypVld5cYlBkFQqh5KR9kn",4,1,293960,FALSE,"https://api.spotify.com/v1/tracks/0ypVld5cYlBkFQqh5KR9kn",FALSE,"Show Me How","https://p.scdn.co/mp3-preview/21f827ef9a9f7d7d8a74b2fa3d2164d8d9696dc1?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",7,"track","spotify:track:0ypVld5cYlBkFQqh5KR9kn","https://open.spotify.com/track/0ypVld5cYlBkFQqh5KR9kn","But Here We Are","E","major","E major"
"Foo Fighters","7jy3rLJdDQY21OgRLCZ9sD","4wp4aWWpoYfNcspimVAnel","album","2023-06-02",2023,"day",0.33,0.292,9,-5.586,1,0.0324,0.0418,1.29e-06,0.159,0.229,148.09,"17oFMOCRu6P4WLqSSNyKPC","https://api.spotify.com/v1/audio-analysis/17oFMOCRu6P4WLqSSNyKPC",4,1,234440,FALSE,"https://api.spotify.com/v1/tracks/17oFMOCRu6P4WLqSSNyKPC",FALSE,"Beyond Me","https://p.scdn.co/mp3-preview/17601bdbe49ae895a1a0627cc10e6129d4197c96?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",8,"track","spotify:track:17oFMOCRu6P4WLqSSNyKPC","https://open.spotify.com/track/17oFMOCRu6P4WLqSSNyKPC","But Here We Are","A","major","A major"
"Foo Fighters","7jy3rLJdDQY21OgRLCZ9sD","4wp4aWWpoYfNcspimVAnel","album","2023-06-02",2023,"day",0.2,0.91,4,-5.719,0,0.089,0.000369,0.0412,0.548,0.135,148.569,"7buGBnA0vkYulQafSZnpHx","https://api.spotify.com/v1/audio-analysis/7buGBnA0vkYulQafSZnpHx",4,1,604226,FALSE,"https://api.spotify.com/v1/tracks/7buGBnA0vkYulQafSZnpHx",FALSE,"The Teacher","https://p.scdn.co/mp3-preview/11a340f1711fe142a735fb0ad471e8f0ec03103f?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",9,"track","spotify:track:7buGBnA0vkYulQafSZnpHx","https://open.spotify.com/track/7buGBnA0vkYulQafSZnpHx","But Here We Are","E","minor","E minor"
"Foo Fighters","7jy3rLJdDQY21OgRLCZ9sD","4wp4aWWpoYfNcspimVAnel","album","2023-06-02",2023,"day",0.468,0.0833,2,-9.095,1,0.0417,0.0983,0.0315,0.109,0.0567,96.56,"2IgxiiF1VdAj9ZfQMTORAb","https://api.spotify.com/v1/audio-analysis/2IgxiiF1VdAj9ZfQMTORAb",4,1,333946,FALSE,"https://api.spotify.com/v1/tracks/2IgxiiF1VdAj9ZfQMTORAb",FALSE,"Rest","https://p.scdn.co/mp3-preview/205057cdb97f96aabb4ff37010b51f53a2a514c5?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",10,"track","spotify:track:2IgxiiF1VdAj9ZfQMTORAb","https://open.spotify.com/track/2IgxiiF1VdAj9ZfQMTORAb","But Here We Are","D","major","D major"
