"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"HARDY","5QNm7E7RU2m64l6Gliu8Oy","6Oynwy3OABCiAqN9w9UqBN","album","2023-01-20",2023,"day",0.505,0.949,6,-4.229,1,0.0553,0.00045,0.0591,0.0717,0.435,96.025,"3FX7BftvAfyeyPBjxO9t7f","https://api.spotify.com/v1/audio-analysis/3FX7BftvAfyeyPBjxO9t7f",4,1,191401,FALSE,"https://api.spotify.com/v1/tracks/3FX7BftvAfyeyPBjxO9t7f",FALSE,"beer","https://p.scdn.co/mp3-preview/706a293c273830d874dc2dc542ee8433683fc60b?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",1,"track","spotify:track:3FX7BftvAfyeyPBjxO9t7f","https://open.spotify.com/track/3FX7BftvAfyeyPBjxO9t7f","the mockingbird & THE CROW","F#","major","F# major"
"HARDY","5QNm7E7RU2m64l6Gliu8Oy","6Oynwy3OABCiAqN9w9UqBN","album","2023-01-20",2023,"day",0.582,0.878,11,-4.564,1,0.0404,0.0305,0,0.0791,0.581,140.03,"2D3JfPyY2LkzXgNOb7qziR","https://api.spotify.com/v1/audio-analysis/2D3JfPyY2LkzXgNOb7qziR",4,1,205767,FALSE,"https://api.spotify.com/v1/tracks/2D3JfPyY2LkzXgNOb7qziR",FALSE,"red (feat. Morgan Wallen)","https://p.scdn.co/mp3-preview/8c296d3a1ea7e7b67e4effd5bdfaece0b5daa9fe?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",2,"track","spotify:track:2D3JfPyY2LkzXgNOb7qziR","https://open.spotify.com/track/2D3JfPyY2LkzXgNOb7qziR","the mockingbird & THE CROW","B","major","B major"
"HARDY","5QNm7E7RU2m64l6Gliu8Oy","6Oynwy3OABCiAqN9w9UqBN","album","2023-01-20",2023,"day",0.534,0.466,6,-6.98,1,0.0272,0.277,0,0.0979,0.23,140,"49GYvCcvMQq1SY3f7Y347h","https://api.spotify.com/v1/audio-analysis/49GYvCcvMQq1SY3f7Y347h",4,1,277659,FALSE,"https://api.spotify.com/v1/tracks/49GYvCcvMQq1SY3f7Y347h",FALSE,"wait in the truck (feat. Lainey Wilson)","https://p.scdn.co/mp3-preview/3470e502abbd5650f2ac0a65975126bbeaf342a6?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",3,"track","spotify:track:49GYvCcvMQq1SY3f7Y347h","https://open.spotify.com/track/49GYvCcvMQq1SY3f7Y347h","the mockingbird & THE CROW","F#","major","F# major"
"HARDY","5QNm7E7RU2m64l6Gliu8Oy","6Oynwy3OABCiAqN9w9UqBN","album","2023-01-20",2023,"day",0.466,0.822,2,-5.553,1,0.0461,0.0119,7.87e-06,0.0666,0.41,145.016,"4zc7LfkQFS3nK0CleZMeeZ","https://api.spotify.com/v1/audio-analysis/4zc7LfkQFS3nK0CleZMeeZ",4,1,211784,FALSE,"https://api.spotify.com/v1/tracks/4zc7LfkQFS3nK0CleZMeeZ",FALSE,"drink one for me","https://p.scdn.co/mp3-preview/addf8a62dbed4a3c707a31080c7c0a0fe889466c?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",4,"track","spotify:track:4zc7LfkQFS3nK0CleZMeeZ","https://open.spotify.com/track/4zc7LfkQFS3nK0CleZMeeZ","the mockingbird & THE CROW","D","major","D major"
"HARDY","5QNm7E7RU2m64l6Gliu8Oy","6Oynwy3OABCiAqN9w9UqBN","album","2023-01-20",2023,"day",0.542,0.655,2,-5.192,1,0.0254,0.183,2.88e-05,0.128,0.398,136.019,"4I96QtrBQ9TxbJcpWnONqO","https://api.spotify.com/v1/audio-analysis/4I96QtrBQ9TxbJcpWnONqO",4,1,228906,FALSE,"https://api.spotify.com/v1/tracks/4I96QtrBQ9TxbJcpWnONqO",FALSE,"i in country","https://p.scdn.co/mp3-preview/7b3e0690db35c6d611211075482c2c22e06cc8d7?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",5,"track","spotify:track:4I96QtrBQ9TxbJcpWnONqO","https://open.spotify.com/track/4I96QtrBQ9TxbJcpWnONqO","the mockingbird & THE CROW","D","major","D major"
"HARDY","5QNm7E7RU2m64l6Gliu8Oy","6Oynwy3OABCiAqN9w9UqBN","album","2023-01-20",2023,"day",0.567,0.847,11,-4.655,1,0.0374,0.00673,6.16e-05,0.0492,0.263,109.978,"6sCHcwmUCsVyMdLgm9b1IU","https://api.spotify.com/v1/audio-analysis/6sCHcwmUCsVyMdLgm9b1IU",4,1,227951,FALSE,"https://api.spotify.com/v1/tracks/6sCHcwmUCsVyMdLgm9b1IU",FALSE,"screen","https://p.scdn.co/mp3-preview/af559281df3471089cf0515a1c539a1bda284fae?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",6,"track","spotify:track:6sCHcwmUCsVyMdLgm9b1IU","https://open.spotify.com/track/6sCHcwmUCsVyMdLgm9b1IU","the mockingbird & THE CROW","B","major","B major"
"HARDY","5QNm7E7RU2m64l6Gliu8Oy","6Oynwy3OABCiAqN9w9UqBN","album","2023-01-20",2023,"day",0.482,0.614,6,-7.235,1,0.0287,0.192,3.39e-06,0.132,0.348,155.154,"3tSmTelJM5NTGjPC1lTCDo","https://api.spotify.com/v1/audio-analysis/3tSmTelJM5NTGjPC1lTCDo",4,1,236609,FALSE,"https://api.spotify.com/v1/tracks/3tSmTelJM5NTGjPC1lTCDo",FALSE,"happy","https://p.scdn.co/mp3-preview/dbce3bc1f6559bd6c381213ac9f800dd732c373e?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",7,"track","spotify:track:3tSmTelJM5NTGjPC1lTCDo","https://open.spotify.com/track/3tSmTelJM5NTGjPC1lTCDo","the mockingbird & THE CROW","F#","major","F# major"
"HARDY","5QNm7E7RU2m64l6Gliu8Oy","6Oynwy3OABCiAqN9w9UqBN","album","2023-01-20",2023,"day",0.322,0.669,7,-4.764,1,0.0298,0.308,0,0.101,0.17,70.36,"0FClgI7rA3fj7iFk12anlh","https://api.spotify.com/v1/audio-analysis/0FClgI7rA3fj7iFk12anlh",4,1,220999,FALSE,"https://api.spotify.com/v1/tracks/0FClgI7rA3fj7iFk12anlh",FALSE,"here lies country music","https://p.scdn.co/mp3-preview/4c1c546d6cf6732b8dd561137e5dc43bd45c974f?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",8,"track","spotify:track:0FClgI7rA3fj7iFk12anlh","https://open.spotify.com/track/0FClgI7rA3fj7iFk12anlh","the mockingbird & THE CROW","G","major","G major"
"HARDY","5QNm7E7RU2m64l6Gliu8Oy","6Oynwy3OABCiAqN9w9UqBN","album","2023-01-20",2023,"day",0.551,0.751,0,-5.253,1,0.0502,0.0159,8.14e-06,0.114,0.178,87.467,"2jPsJqh8rKS1HwHsda7D7G","https://api.spotify.com/v1/audio-analysis/2jPsJqh8rKS1HwHsda7D7G",4,1,305785,TRUE,"https://api.spotify.com/v1/tracks/2jPsJqh8rKS1HwHsda7D7G",FALSE,"the mockingbird & THE CROW","https://p.scdn.co/mp3-preview/873821412c3c2306beac6e6f0779c4c5433e626a?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",9,"track","spotify:track:2jPsJqh8rKS1HwHsda7D7G","https://open.spotify.com/track/2jPsJqh8rKS1HwHsda7D7G","the mockingbird & THE CROW","C","major","C major"
"HARDY","5QNm7E7RU2m64l6Gliu8Oy","6Oynwy3OABCiAqN9w9UqBN","album","2023-01-20",2023,"day",0.504,0.893,9,-4.801,1,0.0488,0.00556,1.83e-05,0.34,0.333,145.005,"4D4d3N9nuPnvNg3ZAICWTN","https://api.spotify.com/v1/audio-analysis/4D4d3N9nuPnvNg3ZAICWTN",4,1,202912,TRUE,"https://api.spotify.com/v1/tracks/4D4d3N9nuPnvNg3ZAICWTN",FALSE,"SOLD OUT","https://p.scdn.co/mp3-preview/68cbdc038a4e6a3ce51a2d81b56619681198a99a?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",10,"track","spotify:track:4D4d3N9nuPnvNg3ZAICWTN","https://open.spotify.com/track/4D4d3N9nuPnvNg3ZAICWTN","the mockingbird & THE CROW","A","major","A major"
