"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","2gWmgvSUxzX6T8i3pfRrjq","album","2021-12-17",2021,"day",0.654,0.488,9,-6.668,1,0.366,0.0214,1.1e-05,0.133,0.495,147.956,"7m12pGA8jpRVQDH7pURUs2","https://api.spotify.com/v1/audio-analysis/7m12pGA8jpRVQDH7pURUs2",4,1,145498,FALSE,"https://api.spotify.com/v1/tracks/7m12pGA8jpRVQDH7pURUs2",FALSE,"F40 - Remix",NA,1,"track","spotify:track:7m12pGA8jpRVQDH7pURUs2","https://open.spotify.com/track/7m12pGA8jpRVQDH7pURUs2","JOSE (Deluxe Edition)","A","major","A major"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","2gWmgvSUxzX6T8i3pfRrjq","album","2021-12-17",2021,"day",0.698,0.432,6,-8.452,0,0.0621,0.291,0,0.277,0.635,88.069,"2gy2y58w8ehu8FtejAetPC","https://api.spotify.com/v1/audio-analysis/2gy2y58w8ehu8FtejAetPC",4,1,135607,FALSE,"https://api.spotify.com/v1/tracks/2gy2y58w8ehu8FtejAetPC",FALSE,"Ego",NA,2,"track","spotify:track:2gy2y58w8ehu8FtejAetPC","https://open.spotify.com/track/2gy2y58w8ehu8FtejAetPC","JOSE (Deluxe Edition)","F#","minor","F# minor"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","2gWmgvSUxzX6T8i3pfRrjq","album","2021-12-17",2021,"day",0.655,0.622,10,-5.292,0,0.0802,0.0701,0.000326,0.0848,0.835,175.782,"1U2mmPR0XAthoaTfmdD9Rt","https://api.spotify.com/v1/audio-analysis/1U2mmPR0XAthoaTfmdD9Rt",4,1,156910,FALSE,"https://api.spotify.com/v1/tracks/1U2mmPR0XAthoaTfmdD9Rt",FALSE,"Tu Veneno",NA,3,"track","spotify:track:1U2mmPR0XAthoaTfmdD9Rt","https://open.spotify.com/track/1U2mmPR0XAthoaTfmdD9Rt","JOSE (Deluxe Edition)","A#","minor","A# minor"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","2gWmgvSUxzX6T8i3pfRrjq","album","2021-12-17",2021,"day",0.908,0.648,1,-7.794,1,0.135,0.0358,0.000672,0.157,0.674,136.994,"15wGFBcFIU4lIyGYPd8fTX","https://api.spotify.com/v1/audio-analysis/15wGFBcFIU4lIyGYPd8fTX",4,1,225981,FALSE,"https://api.spotify.com/v1/tracks/15wGFBcFIU4lIyGYPd8fTX",FALSE,"Ma' G",NA,4,"track","spotify:track:15wGFBcFIU4lIyGYPd8fTX","https://open.spotify.com/track/15wGFBcFIU4lIyGYPd8fTX","JOSE (Deluxe Edition)","C#","major","C# major"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","2gWmgvSUxzX6T8i3pfRrjq","album","2021-12-17",2021,"day",0.676,0.759,3,-5.59,0,0.191,0.0199,0,0.09,0.724,179.885,"2ErzUOFJDwXC9N9pxg5owK","https://api.spotify.com/v1/audio-analysis/2ErzUOFJDwXC9N9pxg5owK",4,1,169775,FALSE,"https://api.spotify.com/v1/tracks/2ErzUOFJDwXC9N9pxg5owK",FALSE,"Una Nota",NA,5,"track","spotify:track:2ErzUOFJDwXC9N9pxg5owK","https://open.spotify.com/track/2ErzUOFJDwXC9N9pxg5owK","JOSE (Deluxe Edition)","D#","minor","D# minor"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","2gWmgvSUxzX6T8i3pfRrjq","album","2021-12-17",2021,"day",0.776,0.835,8,-5.685,0,0.0634,0.00369,3.65e-06,0.188,0.82,89.973,"1z4sMKpdrohzfbAcGvJ0Id","https://api.spotify.com/v1/audio-analysis/1z4sMKpdrohzfbAcGvJ0Id",4,1,105071,FALSE,"https://api.spotify.com/v1/tracks/1z4sMKpdrohzfbAcGvJ0Id",FALSE,"Te Acuerdas De Mí",NA,6,"track","spotify:track:1z4sMKpdrohzfbAcGvJ0Id","https://open.spotify.com/track/1z4sMKpdrohzfbAcGvJ0Id","JOSE (Deluxe Edition)","G#","minor","G# minor"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","2gWmgvSUxzX6T8i3pfRrjq","album","2021-12-17",2021,"day",0.914,0.694,8,-4.194,1,0.0457,0.0156,3.81e-05,0.134,0.625,127.008,"4b85BuKVWeVpTNapUwUY70","https://api.spotify.com/v1/audio-analysis/4b85BuKVWeVpTNapUwUY70",4,1,130666,FALSE,"https://api.spotify.com/v1/tracks/4b85BuKVWeVpTNapUwUY70",FALSE,"In Da Getto",NA,7,"track","spotify:track:4b85BuKVWeVpTNapUwUY70","https://open.spotify.com/track/4b85BuKVWeVpTNapUwUY70","JOSE (Deluxe Edition)","G#","major","G# major"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","2gWmgvSUxzX6T8i3pfRrjq","album","2021-12-17",2021,"day",0.713,0.595,10,-6.124,0,0.32,0.0996,0,0.0848,0.467,176.036,"6kbTUuf7wblDIkChKnp6Qa","https://api.spotify.com/v1/audio-analysis/6kbTUuf7wblDIkChKnp6Qa",4,1,164096,FALSE,"https://api.spotify.com/v1/tracks/6kbTUuf7wblDIkChKnp6Qa",FALSE,"Billetes De 100",NA,8,"track","spotify:track:6kbTUuf7wblDIkChKnp6Qa","https://open.spotify.com/track/6kbTUuf7wblDIkChKnp6Qa","JOSE (Deluxe Edition)","A#","minor","A# minor"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","2gWmgvSUxzX6T8i3pfRrjq","album","2021-12-17",2021,"day",0.782,0.674,2,-4.929,0,0.0532,0.331,3.32e-06,0.116,0.493,91.99,"4M9WQVRzTYJMhcu9w0iBp5","https://api.spotify.com/v1/audio-analysis/4M9WQVRzTYJMhcu9w0iBp5",4,1,247897,FALSE,"https://api.spotify.com/v1/tracks/4M9WQVRzTYJMhcu9w0iBp5",FALSE,"La Venganza",NA,9,"track","spotify:track:4M9WQVRzTYJMhcu9w0iBp5","https://open.spotify.com/track/4M9WQVRzTYJMhcu9w0iBp5","JOSE (Deluxe Edition)","D","minor","D minor"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","2gWmgvSUxzX6T8i3pfRrjq","album","2021-12-17",2021,"day",0.792,0.647,5,-6.42,0,0.166,0.317,1.52e-05,0.107,0.77,176.036,"2stsEhSzL0S2N9jLVonX0A","https://api.spotify.com/v1/audio-analysis/2stsEhSzL0S2N9jLVonX0A",4,1,186463,FALSE,"https://api.spotify.com/v1/tracks/2stsEhSzL0S2N9jLVonX0A",FALSE,"Vestido",NA,10,"track","spotify:track:2stsEhSzL0S2N9jLVonX0A","https://open.spotify.com/track/2stsEhSzL0S2N9jLVonX0A","JOSE (Deluxe Edition)","F","minor","F minor"
