"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Jay Wheeler","2cPqdH7XMvwaBJEVjheH8g","1EcwiKaYxKwOWsnju1rwHT","album","2023-10-27",2023,"day",0.781,0.517,5,-9.157,0,0.209,0.482,0,0.154,0.729,132.959,"1aLIFdfXRGwSfYNF8GIS0O","https://api.spotify.com/v1/audio-analysis/1aLIFdfXRGwSfYNF8GIS0O",4,1,177514,TRUE,"https://api.spotify.com/v1/tracks/1aLIFdfXRGwSfYNF8GIS0O",FALSE,"TRAPPii","https://p.scdn.co/mp3-preview/ef6cdacbdc4cc631a25a73261b80f345d17848c7?cid=7a1d4f939a1f4e9989be940adaeb2999",1,"track","spotify:track:1aLIFdfXRGwSfYNF8GIS0O","https://open.spotify.com/track/1aLIFdfXRGwSfYNF8GIS0O","TRAPPii","F","minor","F minor"
"Jay Wheeler","2cPqdH7XMvwaBJEVjheH8g","1EcwiKaYxKwOWsnju1rwHT","album","2023-10-27",2023,"day",0.799,0.552,0,-9.159,0,0.172,0.789,0,0.115,0.402,92.035,"76X0sg9YMAfH6P38NMUp6O","https://api.spotify.com/v1/audio-analysis/76X0sg9YMAfH6P38NMUp6O",4,1,147391,TRUE,"https://api.spotify.com/v1/tracks/76X0sg9YMAfH6P38NMUp6O",FALSE,"THROWBACK","https://p.scdn.co/mp3-preview/50b782f8c0808094b946c7888abe473c4a8c89f7?cid=7a1d4f939a1f4e9989be940adaeb2999",2,"track","spotify:track:76X0sg9YMAfH6P38NMUp6O","https://open.spotify.com/track/76X0sg9YMAfH6P38NMUp6O","TRAPPii","C","minor","C minor"
"Jay Wheeler","2cPqdH7XMvwaBJEVjheH8g","1EcwiKaYxKwOWsnju1rwHT","album","2023-10-27",2023,"day",0.588,0.535,9,-7.605,0,0.277,0.447,0,0.176,0.479,86.817,"4ofO3RstzApodaEEPILupI","https://api.spotify.com/v1/audio-analysis/4ofO3RstzApodaEEPILupI",4,1,218522,TRUE,"https://api.spotify.com/v1/tracks/4ofO3RstzApodaEEPILupI",FALSE,"GANGSTA LUV","https://p.scdn.co/mp3-preview/b0ddff09d691438aac1043f41d5cd74c56386ca1?cid=7a1d4f939a1f4e9989be940adaeb2999",3,"track","spotify:track:4ofO3RstzApodaEEPILupI","https://open.spotify.com/track/4ofO3RstzApodaEEPILupI","TRAPPii","A","minor","A minor"
"Jay Wheeler","2cPqdH7XMvwaBJEVjheH8g","1EcwiKaYxKwOWsnju1rwHT","album","2023-10-27",2023,"day",0.661,0.645,9,-4.046,0,0.147,0.597,0,0.107,0.573,178.197,"0TV7rMZ42HNc3xTuMaLC0m","https://api.spotify.com/v1/audio-analysis/0TV7rMZ42HNc3xTuMaLC0m",4,1,150314,TRUE,"https://api.spotify.com/v1/tracks/0TV7rMZ42HNc3xTuMaLC0m",FALSE,"REPEAT","https://p.scdn.co/mp3-preview/0e79759d6038545635800faa4afea8eee0a8372c?cid=7a1d4f939a1f4e9989be940adaeb2999",4,"track","spotify:track:0TV7rMZ42HNc3xTuMaLC0m","https://open.spotify.com/track/0TV7rMZ42HNc3xTuMaLC0m","TRAPPii","A","minor","A minor"
"Jay Wheeler","2cPqdH7XMvwaBJEVjheH8g","1EcwiKaYxKwOWsnju1rwHT","album","2023-10-27",2023,"day",0.724,0.605,5,-7.327,0,0.468,0.453,0,0.0981,0.392,163.193,"53eUjyJMBLYTXgs0e8X3Eo","https://api.spotify.com/v1/audio-analysis/53eUjyJMBLYTXgs0e8X3Eo",4,1,191411,TRUE,"https://api.spotify.com/v1/tracks/53eUjyJMBLYTXgs0e8X3Eo",FALSE,"BBY","https://p.scdn.co/mp3-preview/083e4099ff26dc045da07e8ba1b13edaac839f8b?cid=7a1d4f939a1f4e9989be940adaeb2999",5,"track","spotify:track:53eUjyJMBLYTXgs0e8X3Eo","https://open.spotify.com/track/53eUjyJMBLYTXgs0e8X3Eo","TRAPPii","F","minor","F minor"
"Jay Wheeler","2cPqdH7XMvwaBJEVjheH8g","1EcwiKaYxKwOWsnju1rwHT","album","2023-10-27",2023,"day",0.592,0.654,7,-7.421,0,0.069,0.477,0,0.122,0.191,158.788,"6QjwlQ4tjiQiUxZuETw2yX","https://api.spotify.com/v1/audio-analysis/6QjwlQ4tjiQiUxZuETw2yX",4,1,148924,TRUE,"https://api.spotify.com/v1/tracks/6QjwlQ4tjiQiUxZuETw2yX",FALSE,"DROP TOP","https://p.scdn.co/mp3-preview/75f4082dbc8e83abe5bb73a658b64569735015ef?cid=7a1d4f939a1f4e9989be940adaeb2999",6,"track","spotify:track:6QjwlQ4tjiQiUxZuETw2yX","https://open.spotify.com/track/6QjwlQ4tjiQiUxZuETw2yX","TRAPPii","G","minor","G minor"
"Jay Wheeler","2cPqdH7XMvwaBJEVjheH8g","1EcwiKaYxKwOWsnju1rwHT","album","2023-10-27",2023,"day",0.493,0.558,8,-7.228,0,0.293,0.539,0,0.127,0.602,87.299,"0xbSkrYMZUsRAPb2leRbiZ","https://api.spotify.com/v1/audio-analysis/0xbSkrYMZUsRAPb2leRbiZ",4,1,340000,TRUE,"https://api.spotify.com/v1/tracks/0xbSkrYMZUsRAPb2leRbiZ",FALSE,"PACTO (feat. Bryant Myers & Dei V) - Remix","https://p.scdn.co/mp3-preview/2e9952780eb16d6668f7b8b34e0ce640b4445c15?cid=7a1d4f939a1f4e9989be940adaeb2999",7,"track","spotify:track:0xbSkrYMZUsRAPb2leRbiZ","https://open.spotify.com/track/0xbSkrYMZUsRAPb2leRbiZ","TRAPPii","G#","minor","G# minor"
"Jay Wheeler","2cPqdH7XMvwaBJEVjheH8g","1EcwiKaYxKwOWsnju1rwHT","album","2023-10-27",2023,"day",0.626,0.463,2,-8.031,1,0.0868,0.627,0,0.0673,0.48,167.927,"1ufvoo2h7SrfLTWKLz9Lj0","https://api.spotify.com/v1/audio-analysis/1ufvoo2h7SrfLTWKLz9Lj0",4,1,177142,TRUE,"https://api.spotify.com/v1/tracks/1ufvoo2h7SrfLTWKLz9Lj0",FALSE,"WALK MY WAY","https://p.scdn.co/mp3-preview/3e785f00cf7d2c1d791e445ec6f3753e605c8fd9?cid=7a1d4f939a1f4e9989be940adaeb2999",8,"track","spotify:track:1ufvoo2h7SrfLTWKLz9Lj0","https://open.spotify.com/track/1ufvoo2h7SrfLTWKLz9Lj0","TRAPPii","D","major","D major"
"Jay Wheeler","2cPqdH7XMvwaBJEVjheH8g","1EcwiKaYxKwOWsnju1rwHT","album","2023-10-27",2023,"day",0.708,0.771,11,-8.232,1,0.134,0.724,0,0.0969,0.484,172.079,"5V0N1nOMFFOOL9TjiOnNtX","https://api.spotify.com/v1/audio-analysis/5V0N1nOMFFOOL9TjiOnNtX",4,1,156279,TRUE,"https://api.spotify.com/v1/tracks/5V0N1nOMFFOOL9TjiOnNtX",FALSE,"JUMPING OUT THE WINDOW","https://p.scdn.co/mp3-preview/4389f1011d701c0c9121efb860fbcddfd149a061?cid=7a1d4f939a1f4e9989be940adaeb2999",9,"track","spotify:track:5V0N1nOMFFOOL9TjiOnNtX","https://open.spotify.com/track/5V0N1nOMFFOOL9TjiOnNtX","TRAPPii","B","major","B major"
"Jay Wheeler","2cPqdH7XMvwaBJEVjheH8g","1EcwiKaYxKwOWsnju1rwHT","album","2023-10-27",2023,"day",0.535,0.564,10,-9.176,1,0.0616,0.127,0,0.345,0.284,91.705,"6hmKiUuObvNciKmwDAZdKv","https://api.spotify.com/v1/audio-analysis/6hmKiUuObvNciKmwDAZdKv",4,1,152304,TRUE,"https://api.spotify.com/v1/tracks/6hmKiUuObvNciKmwDAZdKv",FALSE,"FRIO","https://p.scdn.co/mp3-preview/4942df25af7df5da7b4998eacb200e86e10fc9d5?cid=7a1d4f939a1f4e9989be940adaeb2999",10,"track","spotify:track:6hmKiUuObvNciKmwDAZdKv","https://open.spotify.com/track/6hmKiUuObvNciKmwDAZdKv","TRAPPii","A#","major","A# major"
"Jay Wheeler","2cPqdH7XMvwaBJEVjheH8g","1EcwiKaYxKwOWsnju1rwHT","album","2023-10-27",2023,"day",0.601,0.55,1,-8.928,1,0.286,0.443,0,0.0851,0.482,119.908,"0qhm6rORlUSxLuyG8mABNn","https://api.spotify.com/v1/audio-analysis/0qhm6rORlUSxLuyG8mABNn",4,1,214000,TRUE,"https://api.spotify.com/v1/tracks/0qhm6rORlUSxLuyG8mABNn",FALSE,"COMPLICADO","https://p.scdn.co/mp3-preview/84a73931d0454c9273b24ec42bca8d1331036c5b?cid=7a1d4f939a1f4e9989be940adaeb2999",11,"track","spotify:track:0qhm6rORlUSxLuyG8mABNn","https://open.spotify.com/track/0qhm6rORlUSxLuyG8mABNn","TRAPPii","C#","major","C# major"
