"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Jhayco","6nVcHLIgY5pE2YCl8ubca1","3AwzfcsXeljU7JkG5GQn8Y","album","2021-09-03",2021,"day",0.527,0.562,9,-6.623,0,0.0331,0.153,0,0.232,0.188,119.861,"3bDRMfygdJbTDbsdmzc1PP","https://api.spotify.com/v1/audio-analysis/3bDRMfygdJbTDbsdmzc1PP",5,1,121053,FALSE,"https://api.spotify.com/v1/tracks/3bDRMfygdJbTDbsdmzc1PP",FALSE,"Dilema",NA,1,"track","spotify:track:3bDRMfygdJbTDbsdmzc1PP","https://open.spotify.com/track/3bDRMfygdJbTDbsdmzc1PP","Timelezz","A","minor","A minor"
"Jhayco","6nVcHLIgY5pE2YCl8ubca1","3AwzfcsXeljU7JkG5GQn8Y","album","2021-09-03",2021,"day",0.654,0.696,9,-7.902,0,0.134,0.282,1.07e-05,0.0575,0.274,120.106,"1gYipuSzUpI6BENbGrgeid","https://api.spotify.com/v1/audio-analysis/1gYipuSzUpI6BENbGrgeid",4,1,202160,FALSE,"https://api.spotify.com/v1/tracks/1gYipuSzUpI6BENbGrgeid",FALSE,"Tokyo",NA,2,"track","spotify:track:1gYipuSzUpI6BENbGrgeid","https://open.spotify.com/track/1gYipuSzUpI6BENbGrgeid","Timelezz","A","minor","A minor"
"Jhayco","6nVcHLIgY5pE2YCl8ubca1","3AwzfcsXeljU7JkG5GQn8Y","album","2021-09-03",2021,"day",0.763,0.617,1,-6.734,1,0.0708,0.00457,0,0.11,0.351,92.005,"3rP4fbwWIAxRqay8ozCvhu","https://api.spotify.com/v1/audio-analysis/3rP4fbwWIAxRqay8ozCvhu",4,1,241973,FALSE,"https://api.spotify.com/v1/tracks/3rP4fbwWIAxRqay8ozCvhu",FALSE,"Esta Dejá",NA,3,"track","spotify:track:3rP4fbwWIAxRqay8ozCvhu","https://open.spotify.com/track/3rP4fbwWIAxRqay8ozCvhu","Timelezz","C#","major","C# major"
"Jhayco","6nVcHLIgY5pE2YCl8ubca1","3AwzfcsXeljU7JkG5GQn8Y","album","2021-09-03",2021,"day",0.759,0.842,8,-3.758,1,0.096,0.101,0,0.134,0.584,105.059,"3JCaq3KDSROg3TXhdiDa9n","https://api.spotify.com/v1/audio-analysis/3JCaq3KDSROg3TXhdiDa9n",4,1,263253,FALSE,"https://api.spotify.com/v1/tracks/3JCaq3KDSROg3TXhdiDa9n",FALSE,"Ley Seca",NA,4,"track","spotify:track:3JCaq3KDSROg3TXhdiDa9n","https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n","Timelezz","G#","major","G# major"
"Jhayco","6nVcHLIgY5pE2YCl8ubca1","3AwzfcsXeljU7JkG5GQn8Y","album","2021-09-03",2021,"day",0.743,0.841,2,-3.229,1,0.0668,0.0299,0,0.1,0.629,90.997,"5c7jyyEdD8jze2O60UImvb","https://api.spotify.com/v1/audio-analysis/5c7jyyEdD8jze2O60UImvb",4,1,182960,FALSE,"https://api.spotify.com/v1/tracks/5c7jyyEdD8jze2O60UImvb",FALSE,"Los Rompediskoteca",NA,5,"track","spotify:track:5c7jyyEdD8jze2O60UImvb","https://open.spotify.com/track/5c7jyyEdD8jze2O60UImvb","Timelezz","D","major","D major"
"Jhayco","6nVcHLIgY5pE2YCl8ubca1","3AwzfcsXeljU7JkG5GQn8Y","album","2021-09-03",2021,"day",0.798,0.664,6,-5.843,0,0.179,0.067,4.21e-05,0.0987,0.159,114.968,"2Doh4izLZGrUD3yOSs9y9G","https://api.spotify.com/v1/audio-analysis/2Doh4izLZGrUD3yOSs9y9G",4,1,196200,TRUE,"https://api.spotify.com/v1/tracks/2Doh4izLZGrUD3yOSs9y9G",FALSE,"En Mi Cuarto",NA,6,"track","spotify:track:2Doh4izLZGrUD3yOSs9y9G","https://open.spotify.com/track/2Doh4izLZGrUD3yOSs9y9G","Timelezz","F#","minor","F# minor"
"Jhayco","6nVcHLIgY5pE2YCl8ubca1","3AwzfcsXeljU7JkG5GQn8Y","album","2021-09-03",2021,"day",0.772,0.695,0,-4.289,1,0.0466,0.0131,0,0.188,0.711,92.96,"6eDImMU0RbxxTWqlEzpcom","https://api.spotify.com/v1/audio-analysis/6eDImMU0RbxxTWqlEzpcom",4,1,220533,FALSE,"https://api.spotify.com/v1/tracks/6eDImMU0RbxxTWqlEzpcom",FALSE,"Mi Vicio",NA,7,"track","spotify:track:6eDImMU0RbxxTWqlEzpcom","https://open.spotify.com/track/6eDImMU0RbxxTWqlEzpcom","Timelezz","C","major","C major"
"Jhayco","6nVcHLIgY5pE2YCl8ubca1","3AwzfcsXeljU7JkG5GQn8Y","album","2021-09-03",2021,"day",0.751,0.921,7,-4.002,0,0.0774,0.00436,0,0.436,0.477,94.994,"1pRClUvlmmb72OtqhM7LUq","https://api.spotify.com/v1/audio-analysis/1pRClUvlmmb72OtqhM7LUq",4,1,187186,FALSE,"https://api.spotify.com/v1/tracks/1pRClUvlmmb72OtqhM7LUq",FALSE,"Dale Como Es",NA,8,"track","spotify:track:1pRClUvlmmb72OtqhM7LUq","https://open.spotify.com/track/1pRClUvlmmb72OtqhM7LUq","Timelezz","G","minor","G minor"
"Jhayco","6nVcHLIgY5pE2YCl8ubca1","3AwzfcsXeljU7JkG5GQn8Y","album","2021-09-03",2021,"day",0.796,0.78,4,-3.523,0,0.274,0.0301,0,0.0817,0.616,121.076,"0kekARy9zsWohICrBUjyIn","https://api.spotify.com/v1/audio-analysis/0kekARy9zsWohICrBUjyIn",4,1,270253,FALSE,"https://api.spotify.com/v1/tracks/0kekARy9zsWohICrBUjyIn",FALSE,"Nos Matamos",NA,9,"track","spotify:track:0kekARy9zsWohICrBUjyIn","https://open.spotify.com/track/0kekARy9zsWohICrBUjyIn","Timelezz","E","minor","E minor"
"Jhayco","6nVcHLIgY5pE2YCl8ubca1","3AwzfcsXeljU7JkG5GQn8Y","album","2021-09-03",2021,"day",0.808,0.841,9,-2.795,0,0.116,0.282,0,0.367,0.8,93.008,"6VbBXLHYIriwKQUKbI8dwE","https://api.spotify.com/v1/audio-analysis/6VbBXLHYIriwKQUKbI8dwE",4,1,250586,TRUE,"https://api.spotify.com/v1/tracks/6VbBXLHYIriwKQUKbI8dwE",FALSE,"Ropa Interior",NA,10,"track","spotify:track:6VbBXLHYIriwKQUKbI8dwE","https://open.spotify.com/track/6VbBXLHYIriwKQUKbI8dwE","Timelezz","A","minor","A minor"
