"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Jon Pardi","4MoAOfV4ROWofLG3a3hhBN","3BKoN7awS6VmTEzMnwMTfy","album","2024-02-09",2024,"day",0.652,0.89,4,-3.471,1,0.034,0.00644,0,0.297,0.874,117.025,"6zSRr1xsaDaoNXVT96kQtj","https://api.spotify.com/v1/audio-analysis/6zSRr1xsaDaoNXVT96kQtj",4,1,208063,FALSE,"https://api.spotify.com/v1/tracks/6zSRr1xsaDaoNXVT96kQtj",FALSE,"Cowboys and Plowboys",NA,1,"track","spotify:track:6zSRr1xsaDaoNXVT96kQtj","https://open.spotify.com/track/6zSRr1xsaDaoNXVT96kQtj","A Cowboy's Work Is Never Done","E","major","E major"
"Jon Pardi","4MoAOfV4ROWofLG3a3hhBN","3BKoN7awS6VmTEzMnwMTfy","album","2024-02-09",2024,"day",0.683,0.796,11,-4.179,1,0.0284,0.112,0,0.197,0.533,90.031,"1KNrmaNyV8oeEhur7nO4R1","https://api.spotify.com/v1/audio-analysis/1KNrmaNyV8oeEhur7nO4R1",4,1,201893,FALSE,"https://api.spotify.com/v1/tracks/1KNrmaNyV8oeEhur7nO4R1",FALSE,"Dirt On My Boots",NA,2,"track","spotify:track:1KNrmaNyV8oeEhur7nO4R1","https://open.spotify.com/track/1KNrmaNyV8oeEhur7nO4R1","A Cowboy's Work Is Never Done","B","major","B major"
"Jon Pardi","4MoAOfV4ROWofLG3a3hhBN","3BKoN7awS6VmTEzMnwMTfy","album","2024-02-09",2024,"day",0.539,0.837,9,-3.458,1,0.0385,0.0094,0,0.262,0.554,151.913,"37x5CxF6eVmcKNSUDZfHnB","https://api.spotify.com/v1/audio-analysis/37x5CxF6eVmcKNSUDZfHnB",4,1,220880,FALSE,"https://api.spotify.com/v1/tracks/37x5CxF6eVmcKNSUDZfHnB",FALSE,"Ain't Always The Cowboy",NA,3,"track","spotify:track:37x5CxF6eVmcKNSUDZfHnB","https://open.spotify.com/track/37x5CxF6eVmcKNSUDZfHnB","A Cowboy's Work Is Never Done","A","major","A major"
"Jon Pardi","4MoAOfV4ROWofLG3a3hhBN","3BKoN7awS6VmTEzMnwMTfy","album","2024-02-09",2024,"day",0.589,0.884,7,-3.032,1,0.0427,0.0642,0,0.424,0.543,96.035,"0dvmOm5nEHatpIXNAENUB0","https://api.spotify.com/v1/audio-analysis/0dvmOm5nEHatpIXNAENUB0",4,1,187133,FALSE,"https://api.spotify.com/v1/tracks/0dvmOm5nEHatpIXNAENUB0",FALSE,"Paycheck",NA,4,"track","spotify:track:0dvmOm5nEHatpIXNAENUB0","https://open.spotify.com/track/0dvmOm5nEHatpIXNAENUB0","A Cowboy's Work Is Never Done","G","major","G major"
"Jon Pardi","4MoAOfV4ROWofLG3a3hhBN","3BKoN7awS6VmTEzMnwMTfy","album","2024-02-09",2024,"day",0.676,0.916,1,-2.52,1,0.0265,0.204,0,0.114,0.897,108.005,"1mTNRQJxtvA6aV8wcMNY6W","https://api.spotify.com/v1/audio-analysis/1mTNRQJxtvA6aV8wcMNY6W",4,1,197893,FALSE,"https://api.spotify.com/v1/tracks/1mTNRQJxtvA6aV8wcMNY6W",FALSE,"Cowboy Hat",NA,5,"track","spotify:track:1mTNRQJxtvA6aV8wcMNY6W","https://open.spotify.com/track/1mTNRQJxtvA6aV8wcMNY6W","A Cowboy's Work Is Never Done","C#","major","C# major"
"Jon Pardi","4MoAOfV4ROWofLG3a3hhBN","3BKoN7awS6VmTEzMnwMTfy","album","2024-02-09",2024,"day",0.562,0.688,7,-4.474,1,0.0263,0.0763,0,0.0863,0.617,108.017,"0IhDA2ulhHXQHTtkvdG1Ww","https://api.spotify.com/v1/audio-analysis/0IhDA2ulhHXQHTtkvdG1Ww",4,1,202346,FALSE,"https://api.spotify.com/v1/tracks/0IhDA2ulhHXQHTtkvdG1Ww",FALSE,"Head Over Boots",NA,6,"track","spotify:track:0IhDA2ulhHXQHTtkvdG1Ww","https://open.spotify.com/track/0IhDA2ulhHXQHTtkvdG1Ww","A Cowboy's Work Is Never Done","G","major","G major"
"Jon Pardi","4MoAOfV4ROWofLG3a3hhBN","3BKoN7awS6VmTEzMnwMTfy","album","2024-02-09",2024,"day",0.631,0.754,2,-3.564,1,0.0284,0.0963,0,0.268,0.729,95.992,"7JeZbYg9wqOGDvnKjGJ1Ya","https://api.spotify.com/v1/audio-analysis/7JeZbYg9wqOGDvnKjGJ1Ya",4,1,172253,FALSE,"https://api.spotify.com/v1/tracks/7JeZbYg9wqOGDvnKjGJ1Ya",FALSE,"Night Shift",NA,7,"track","spotify:track:7JeZbYg9wqOGDvnKjGJ1Ya","https://open.spotify.com/track/7JeZbYg9wqOGDvnKjGJ1Ya","A Cowboy's Work Is Never Done","D","major","D major"
"Jon Pardi","4MoAOfV4ROWofLG3a3hhBN","3BKoN7awS6VmTEzMnwMTfy","album","2024-02-09",2024,"day",0.497,0.784,9,-4.58,1,0.0337,0.00227,8.03e-05,0.233,0.5,151.896,"7kkZnI67sztxPm1NnstFTk","https://api.spotify.com/v1/audio-analysis/7kkZnI67sztxPm1NnstFTk",3,1,229546,FALSE,"https://api.spotify.com/v1/tracks/7kkZnI67sztxPm1NnstFTk",FALSE,"Call Me Country",NA,8,"track","spotify:track:7kkZnI67sztxPm1NnstFTk","https://open.spotify.com/track/7kkZnI67sztxPm1NnstFTk","A Cowboy's Work Is Never Done","A","major","A major"
"Jon Pardi","4MoAOfV4ROWofLG3a3hhBN","0rntkIqjxA3mqdfkvB6O8C","album","2023-10-27",2023,"day",0.648,0.903,2,-2.83,1,0.0488,0.0378,0,0.0518,0.556,117.998,"4ICAhUbEfwUKY5MU6E06Wm","https://api.spotify.com/v1/audio-analysis/4ICAhUbEfwUKY5MU6E06Wm",4,1,172893,FALSE,"https://api.spotify.com/v1/tracks/4ICAhUbEfwUKY5MU6E06Wm",FALSE,"Beer For Santa",NA,1,"track","spotify:track:4ICAhUbEfwUKY5MU6E06Wm","https://open.spotify.com/track/4ICAhUbEfwUKY5MU6E06Wm","Merry Christmas From Jon Pardi","D","major","D major"
"Jon Pardi","4MoAOfV4ROWofLG3a3hhBN","0rntkIqjxA3mqdfkvB6O8C","album","2023-10-27",2023,"day",0.571,0.895,6,-2.723,1,0.0543,0.12,0,0.208,0.59,122.112,"0QqKCoFlYu36Ju6QWvxlQE","https://api.spotify.com/v1/audio-analysis/0QqKCoFlYu36Ju6QWvxlQE",4,1,179200,FALSE,"https://api.spotify.com/v1/tracks/0QqKCoFlYu36Ju6QWvxlQE",FALSE,"400 Horsepower Sleigh",NA,2,"track","spotify:track:0QqKCoFlYu36Ju6QWvxlQE","https://open.spotify.com/track/0QqKCoFlYu36Ju6QWvxlQE","Merry Christmas From Jon Pardi","F#","major","F# major"
