"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Kali Uchis","1U1el3k54VvEUzo3ybLPlM","5U20AVSsUvycGtWip4XQfo","album","2024-01-12",2024,"day",0.733,0.825,6,-7.781,0,0.0825,0.0429,0.31,0.126,0.414,135.985,"54KEm0VI9i3ic7VHHKHKRx","https://api.spotify.com/v1/audio-analysis/54KEm0VI9i3ic7VHHKHKRx",4,1,169654,FALSE,"https://api.spotify.com/v1/tracks/54KEm0VI9i3ic7VHHKHKRx",FALSE,"¿Cómo Así?",NA,1,"track","spotify:track:54KEm0VI9i3ic7VHHKHKRx","https://open.spotify.com/track/54KEm0VI9i3ic7VHHKHKRx","ORQUÍDEAS","F#","minor","F# minor"
"Kali Uchis","1U1el3k54VvEUzo3ybLPlM","5U20AVSsUvycGtWip4XQfo","album","2024-01-12",2024,"day",0.773,0.643,7,-9.457,0,0.0477,0.0355,0.357,0.108,0.43,114.997,"5mVkTPlTPxlQOn7kEvuM3j","https://api.spotify.com/v1/audio-analysis/5mVkTPlTPxlQOn7kEvuM3j",4,1,177815,TRUE,"https://api.spotify.com/v1/tracks/5mVkTPlTPxlQOn7kEvuM3j",FALSE,"Me Pongo Loca",NA,2,"track","spotify:track:5mVkTPlTPxlQOn7kEvuM3j","https://open.spotify.com/track/5mVkTPlTPxlQOn7kEvuM3j","ORQUÍDEAS","G","minor","G minor"
"Kali Uchis","1U1el3k54VvEUzo3ybLPlM","5U20AVSsUvycGtWip4XQfo","album","2024-01-12",2024,"day",0.685,0.61,5,-5.36,0,0.0343,0.00348,0.00054,0.183,0.464,107.999,"6XaJfhwof7qIgbbXO5tIQI","https://api.spotify.com/v1/audio-analysis/6XaJfhwof7qIgbbXO5tIQI",4,1,260370,FALSE,"https://api.spotify.com/v1/tracks/6XaJfhwof7qIgbbXO5tIQI",FALSE,"Igual Que Un Ángel (with Peso Pluma)",NA,3,"track","spotify:track:6XaJfhwof7qIgbbXO5tIQI","https://open.spotify.com/track/6XaJfhwof7qIgbbXO5tIQI","ORQUÍDEAS","F","minor","F minor"
"Kali Uchis","1U1el3k54VvEUzo3ybLPlM","5U20AVSsUvycGtWip4XQfo","album","2024-01-12",2024,"day",0.708,0.571,9,-8.346,0,0.041,0.58,0.00877,0.11,0.5,119.995,"52x8HIGuk1gGTlvO8CuLNS","https://api.spotify.com/v1/audio-analysis/52x8HIGuk1gGTlvO8CuLNS",4,1,192027,FALSE,"https://api.spotify.com/v1/tracks/52x8HIGuk1gGTlvO8CuLNS",FALSE,"Pensamientos Intrusivos",NA,4,"track","spotify:track:52x8HIGuk1gGTlvO8CuLNS","https://open.spotify.com/track/52x8HIGuk1gGTlvO8CuLNS","ORQUÍDEAS","A","minor","A minor"
"Kali Uchis","1U1el3k54VvEUzo3ybLPlM","5U20AVSsUvycGtWip4XQfo","album","2024-01-12",2024,"day",0.803,0.847,5,-5.961,0,0.0763,0.0711,0.000437,0.0752,0.686,107.987,"3RleMgz4iO0BNezGdSxDnY","https://api.spotify.com/v1/audio-analysis/3RleMgz4iO0BNezGdSxDnY",4,1,156037,FALSE,"https://api.spotify.com/v1/tracks/3RleMgz4iO0BNezGdSxDnY",FALSE,"Diosa",NA,5,"track","spotify:track:3RleMgz4iO0BNezGdSxDnY","https://open.spotify.com/track/3RleMgz4iO0BNezGdSxDnY","ORQUÍDEAS","F","minor","F minor"
"Kali Uchis","1U1el3k54VvEUzo3ybLPlM","5U20AVSsUvycGtWip4XQfo","album","2024-01-12",2024,"day",0.426,0.634,4,-4.798,0,0.0373,0.776,0,0.109,0.481,111.387,"1NEBuFp0BJMikgXJI9VVab","https://api.spotify.com/v1/audio-analysis/1NEBuFp0BJMikgXJI9VVab",4,1,232066,FALSE,"https://api.spotify.com/v1/tracks/1NEBuFp0BJMikgXJI9VVab",FALSE,"Te Mata",NA,6,"track","spotify:track:1NEBuFp0BJMikgXJI9VVab","https://open.spotify.com/track/1NEBuFp0BJMikgXJI9VVab","ORQUÍDEAS","E","minor","E minor"
"Kali Uchis","1U1el3k54VvEUzo3ybLPlM","5U20AVSsUvycGtWip4XQfo","album","2024-01-12",2024,"day",0.736,0.563,0,-6.09,1,0.041,0.105,1.18e-05,0.0764,0.557,103.931,"43oIvC7HVMKkAvuPr4Kt4A","https://api.spotify.com/v1/audio-analysis/43oIvC7HVMKkAvuPr4Kt4A",4,1,144165,FALSE,"https://api.spotify.com/v1/tracks/43oIvC7HVMKkAvuPr4Kt4A",FALSE,"Perdiste",NA,7,"track","spotify:track:43oIvC7HVMKkAvuPr4Kt4A","https://open.spotify.com/track/43oIvC7HVMKkAvuPr4Kt4A","ORQUÍDEAS","C","major","C major"
"Kali Uchis","1U1el3k54VvEUzo3ybLPlM","5U20AVSsUvycGtWip4XQfo","album","2024-01-12",2024,"day",0.637,0.452,6,-8.28,0,0.0315,0.313,0.00013,0.138,0.228,103.072,"2R6tflIwv19qoYxg5hYLVh","https://api.spotify.com/v1/audio-analysis/2R6tflIwv19qoYxg5hYLVh",4,1,198300,TRUE,"https://api.spotify.com/v1/tracks/2R6tflIwv19qoYxg5hYLVh",FALSE,"Young Rich & In Love",NA,8,"track","spotify:track:2R6tflIwv19qoYxg5hYLVh","https://open.spotify.com/track/2R6tflIwv19qoYxg5hYLVh","ORQUÍDEAS","F#","minor","F# minor"
"Kali Uchis","1U1el3k54VvEUzo3ybLPlM","5U20AVSsUvycGtWip4XQfo","album","2024-01-12",2024,"day",0.678,0.501,6,-8.321,0,0.0278,0.25,0.000148,0.157,0.453,106.014,"59ak5RmKdyspU26ifSg0rW","https://api.spotify.com/v1/audio-analysis/59ak5RmKdyspU26ifSg0rW",4,1,165845,FALSE,"https://api.spotify.com/v1/tracks/59ak5RmKdyspU26ifSg0rW",FALSE,"Tu Corazón Es Mío...",NA,9,"track","spotify:track:59ak5RmKdyspU26ifSg0rW","https://open.spotify.com/track/59ak5RmKdyspU26ifSg0rW","ORQUÍDEAS","F#","minor","F# minor"
"Kali Uchis","1U1el3k54VvEUzo3ybLPlM","5U20AVSsUvycGtWip4XQfo","album","2024-01-12",2024,"day",0.677,0.818,0,-3.439,1,0.236,0.0743,0.00042,0.297,0.499,111.961,"20LZsv2s3dXvoBuPUEOlAv","https://api.spotify.com/v1/audio-analysis/20LZsv2s3dXvoBuPUEOlAv",4,1,219642,TRUE,"https://api.spotify.com/v1/tracks/20LZsv2s3dXvoBuPUEOlAv",FALSE,"Muñekita (with El Alfa & JT)",NA,10,"track","spotify:track:20LZsv2s3dXvoBuPUEOlAv","https://open.spotify.com/track/20LZsv2s3dXvoBuPUEOlAv","ORQUÍDEAS","C","major","C major"
