"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"LUDMILLA","3CDoRporvSjdzTrm99a3gi","2uNEA9woVB0GKJuv4vA9Af","album","2024-02-20",2024,"day",0.607,0.814,7,-7.318,1,0.106,0.812,0,0.351,0.681,176.032,"3CJiho39iutZrDxQG5Vubl","https://api.spotify.com/v1/audio-analysis/3CJiho39iutZrDxQG5Vubl",4,1,167027,FALSE,"https://api.spotify.com/v1/tracks/3CJiho39iutZrDxQG5Vubl",FALSE,"Maliciosa - Ao Vivo","https://p.scdn.co/mp3-preview/3490f4dffc02be09fd65db036d4bddfb05a62207?cid=a684933cbff543e08213060e872e4bd5",1,"track","spotify:track:3CJiho39iutZrDxQG5Vubl","https://open.spotify.com/track/3CJiho39iutZrDxQG5Vubl","Numanice #3 (Ao Vivo)","G","major","G major"
"LUDMILLA","3CDoRporvSjdzTrm99a3gi","2uNEA9woVB0GKJuv4vA9Af","album","2024-02-20",2024,"day",0.616,0.641,8,-7.001,1,0.0383,0.798,0,0.383,0.466,143.997,"7r1VxuU92S2GKWvEX6ivqF","https://api.spotify.com/v1/audio-analysis/7r1VxuU92S2GKWvEX6ivqF",4,1,204831,FALSE,"https://api.spotify.com/v1/tracks/7r1VxuU92S2GKWvEX6ivqF",FALSE,"Você Não Sabe o Que é Amor - Ao Vivo","https://p.scdn.co/mp3-preview/711f02859d4b468eec08b62924d4ce5569ec4864?cid=a684933cbff543e08213060e872e4bd5",2,"track","spotify:track:7r1VxuU92S2GKWvEX6ivqF","https://open.spotify.com/track/7r1VxuU92S2GKWvEX6ivqF","Numanice #3 (Ao Vivo)","G#","major","G# major"
"LUDMILLA","3CDoRporvSjdzTrm99a3gi","2uNEA9woVB0GKJuv4vA9Af","album","2024-02-20",2024,"day",0.765,0.739,9,-6.035,1,0.104,0.603,0,0.923,0.837,89.988,"7D9sdH2LEs3To9nMZnLXUt","https://api.spotify.com/v1/audio-analysis/7D9sdH2LEs3To9nMZnLXUt",4,1,166337,FALSE,"https://api.spotify.com/v1/tracks/7D9sdH2LEs3To9nMZnLXUt",FALSE,"Pique Djavan - Ao Vivo","https://p.scdn.co/mp3-preview/9fd49292a140734e250054e58445d10961d08cef?cid=a684933cbff543e08213060e872e4bd5",3,"track","spotify:track:7D9sdH2LEs3To9nMZnLXUt","https://open.spotify.com/track/7D9sdH2LEs3To9nMZnLXUt","Numanice #3 (Ao Vivo)","A","major","A major"
"LUDMILLA","3CDoRporvSjdzTrm99a3gi","2uNEA9woVB0GKJuv4vA9Af","album","2024-02-20",2024,"day",0.677,0.761,2,-8.677,1,0.142,0.789,0,0.136,0.698,160.086,"1J8rfA9BdhlpzNSKKePf3U","https://api.spotify.com/v1/audio-analysis/1J8rfA9BdhlpzNSKKePf3U",4,1,176297,FALSE,"https://api.spotify.com/v1/tracks/1J8rfA9BdhlpzNSKKePf3U",FALSE,"Destilado - Ao Vivo","https://p.scdn.co/mp3-preview/5a32dca33e82fd97562111f9f299eda19b6ce003?cid=a684933cbff543e08213060e872e4bd5",4,"track","spotify:track:1J8rfA9BdhlpzNSKKePf3U","https://open.spotify.com/track/1J8rfA9BdhlpzNSKKePf3U","Numanice #3 (Ao Vivo)","D","major","D major"
"LUDMILLA","3CDoRporvSjdzTrm99a3gi","2uNEA9woVB0GKJuv4vA9Af","album","2024-02-20",2024,"day",0.633,0.657,8,-7.824,1,0.0454,0.818,0,0.328,0.659,147.903,"4BB3adxRhL1lTK5WpB1eo1","https://api.spotify.com/v1/audio-analysis/4BB3adxRhL1lTK5WpB1eo1",4,1,176320,FALSE,"https://api.spotify.com/v1/tracks/4BB3adxRhL1lTK5WpB1eo1",FALSE,"Se Não Chorar com Pagode - Ao Vivo","https://p.scdn.co/mp3-preview/ed7c2b9428b08b4d5b881fe292516465c07e5052?cid=a684933cbff543e08213060e872e4bd5",5,"track","spotify:track:4BB3adxRhL1lTK5WpB1eo1","https://open.spotify.com/track/4BB3adxRhL1lTK5WpB1eo1","Numanice #3 (Ao Vivo)","G#","major","G# major"
"LUDMILLA","3CDoRporvSjdzTrm99a3gi","2uNEA9woVB0GKJuv4vA9Af","album","2024-02-20",2024,"day",0.595,0.572,0,-7.438,0,0.0615,0.798,0,0.382,0.709,143.972,"6gu8xo31Bsg22KhwTLJsmJ","https://api.spotify.com/v1/audio-analysis/6gu8xo31Bsg22KhwTLJsmJ",4,1,194211,FALSE,"https://api.spotify.com/v1/tracks/6gu8xo31Bsg22KhwTLJsmJ",FALSE,"1% - Ao Vivo","https://p.scdn.co/mp3-preview/f1b7183f74b212568fdcb5ffb64e491d8e91b256?cid=a684933cbff543e08213060e872e4bd5",6,"track","spotify:track:6gu8xo31Bsg22KhwTLJsmJ","https://open.spotify.com/track/6gu8xo31Bsg22KhwTLJsmJ","Numanice #3 (Ao Vivo)","C","minor","C minor"
"LUDMILLA","3CDoRporvSjdzTrm99a3gi","2uNEA9woVB0GKJuv4vA9Af","album","2024-02-20",2024,"day",0.624,0.596,8,-8.317,1,0.0443,0.747,0,0.78,0.75,148.039,"6U3kssAL4oPYbkYFbkFDJp","https://api.spotify.com/v1/audio-analysis/6U3kssAL4oPYbkYFbkFDJp",4,1,163056,FALSE,"https://api.spotify.com/v1/tracks/6U3kssAL4oPYbkYFbkFDJp",FALSE,"A Preta Venceu - Ao Vivo","https://p.scdn.co/mp3-preview/1e9e8c7a03138ef8eaa1c56e603b35ef25be3d2c?cid=a684933cbff543e08213060e872e4bd5",7,"track","spotify:track:6U3kssAL4oPYbkYFbkFDJp","https://open.spotify.com/track/6U3kssAL4oPYbkYFbkFDJp","Numanice #3 (Ao Vivo)","G#","major","G# major"
"LUDMILLA","3CDoRporvSjdzTrm99a3gi","2uNEA9woVB0GKJuv4vA9Af","album","2024-02-20",2024,"day",0.669,0.843,8,-6.991,1,0.232,0.587,0,0.556,0.559,148.942,"2IGh6DnMiX408xwoJP9Lmb","https://api.spotify.com/v1/audio-analysis/2IGh6DnMiX408xwoJP9Lmb",4,1,154164,FALSE,"https://api.spotify.com/v1/tracks/2IGh6DnMiX408xwoJP9Lmb",FALSE,"Falta de Mim - Ao Vivo","https://p.scdn.co/mp3-preview/f1d17a4003e37c1b2080df152d44fd7109c005e0?cid=a684933cbff543e08213060e872e4bd5",8,"track","spotify:track:2IGh6DnMiX408xwoJP9Lmb","https://open.spotify.com/track/2IGh6DnMiX408xwoJP9Lmb","Numanice #3 (Ao Vivo)","G#","major","G# major"
"LUDMILLA","3CDoRporvSjdzTrm99a3gi","2uNEA9woVB0GKJuv4vA9Af","album","2024-02-20",2024,"day",0.8,0.688,11,-8.265,0,0.0755,0.619,0,0.149,0.823,102.016,"55nT7v7CtFduUP7A1CEZvA","https://api.spotify.com/v1/audio-analysis/55nT7v7CtFduUP7A1CEZvA",4,1,150851,FALSE,"https://api.spotify.com/v1/tracks/55nT7v7CtFduUP7A1CEZvA",FALSE,"Baile Charme - Ao Vivo","https://p.scdn.co/mp3-preview/1c01ac84648ba82be41aadcd146e73a44d9f8917?cid=a684933cbff543e08213060e872e4bd5",9,"track","spotify:track:55nT7v7CtFduUP7A1CEZvA","https://open.spotify.com/track/55nT7v7CtFduUP7A1CEZvA","Numanice #3 (Ao Vivo)","B","minor","B minor"
"LUDMILLA","3CDoRporvSjdzTrm99a3gi","2uNEA9woVB0GKJuv4vA9Af","album","2024-02-20",2024,"day",0.539,0.571,2,-8.606,1,0.0557,0.765,0,0.152,0.596,164.118,"7zD6UkCZatI0QhTr3Q9c59","https://api.spotify.com/v1/audio-analysis/7zD6UkCZatI0QhTr3Q9c59",4,1,187979,FALSE,"https://api.spotify.com/v1/tracks/7zD6UkCZatI0QhTr3Q9c59",FALSE,"Saudade da Gente - Ao Vivo","https://p.scdn.co/mp3-preview/d3b7492ff210c9d3b304e76d2ee7773d5b74eb86?cid=a684933cbff543e08213060e872e4bd5",10,"track","spotify:track:7zD6UkCZatI0QhTr3Q9c59","https://open.spotify.com/track/7zD6UkCZatI0QhTr3Q9c59","Numanice #3 (Ao Vivo)","D","major","D major"
