"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Mac DeMarco","3Sz7ZnJQBIHsXLUSo0OQtM","70hX7IYqmUGV97OXs2v848","album","2023-04-21",2023,"day",0.737,0.195,1,-14.102,1,0.0716,0.694,0.944,0.091,0.706,157.957,"5ftED3IYts5K7gChGOUuHG","https://api.spotify.com/v1/audio-analysis/5ftED3IYts5K7gChGOUuHG",4,1,247663,FALSE,"https://api.spotify.com/v1/tracks/5ftED3IYts5K7gChGOUuHG",FALSE,"20180512",NA,1,"track","spotify:track:5ftED3IYts5K7gChGOUuHG","https://open.spotify.com/track/5ftED3IYts5K7gChGOUuHG","One Wayne G","C#","major","C# major"
"Mac DeMarco","3Sz7ZnJQBIHsXLUSo0OQtM","70hX7IYqmUGV97OXs2v848","album","2023-04-21",2023,"day",0.735,0.505,9,-15.081,0,0.108,0.0643,0.94,0.101,0.964,179.949,"5DQnFVwslZtmU0hDgf3wor","https://api.spotify.com/v1/audio-analysis/5DQnFVwslZtmU0hDgf3wor",4,1,151258,FALSE,"https://api.spotify.com/v1/tracks/5DQnFVwslZtmU0hDgf3wor",FALSE,"20180529",NA,2,"track","spotify:track:5DQnFVwslZtmU0hDgf3wor","https://open.spotify.com/track/5DQnFVwslZtmU0hDgf3wor","One Wayne G","A","minor","A minor"
"Mac DeMarco","3Sz7ZnJQBIHsXLUSo0OQtM","70hX7IYqmUGV97OXs2v848","album","2023-04-21",2023,"day",0.712,0.457,1,-13.693,1,0.0342,0.706,0.717,0.105,0.761,93.045,"4Qoyylq2zm3eBpENMQ59Xu","https://api.spotify.com/v1/audio-analysis/4Qoyylq2zm3eBpENMQ59Xu",4,1,125614,FALSE,"https://api.spotify.com/v1/tracks/4Qoyylq2zm3eBpENMQ59Xu",FALSE,"20180701",NA,3,"track","spotify:track:4Qoyylq2zm3eBpENMQ59Xu","https://open.spotify.com/track/4Qoyylq2zm3eBpENMQ59Xu","One Wayne G","C#","major","C# major"
"Mac DeMarco","3Sz7ZnJQBIHsXLUSo0OQtM","70hX7IYqmUGV97OXs2v848","album","2023-04-21",2023,"day",0.887,0.41,6,-14.938,1,0.058,0.851,0.812,0.11,0.962,89.96,"1t6JzKUfGZjoYDZIzkYqSm","https://api.spotify.com/v1/audio-analysis/1t6JzKUfGZjoYDZIzkYqSm",4,1,140515,FALSE,"https://api.spotify.com/v1/tracks/1t6JzKUfGZjoYDZIzkYqSm",FALSE,"20180702",NA,4,"track","spotify:track:1t6JzKUfGZjoYDZIzkYqSm","https://open.spotify.com/track/1t6JzKUfGZjoYDZIzkYqSm","One Wayne G","F#","major","F# major"
"Mac DeMarco","3Sz7ZnJQBIHsXLUSo0OQtM","70hX7IYqmUGV97OXs2v848","album","2023-04-21",2023,"day",0.827,0.35,4,-14.533,1,0.0694,0.0697,0.837,0.0944,0.9,150.1,"4JwtnmvP4TPi1C1CRwJgiI","https://api.spotify.com/v1/audio-analysis/4JwtnmvP4TPi1C1CRwJgiI",4,1,157507,FALSE,"https://api.spotify.com/v1/tracks/4JwtnmvP4TPi1C1CRwJgiI",FALSE,"20180702 2",NA,5,"track","spotify:track:4JwtnmvP4TPi1C1CRwJgiI","https://open.spotify.com/track/4JwtnmvP4TPi1C1CRwJgiI","One Wayne G","E","major","E major"
"Mac DeMarco","3Sz7ZnJQBIHsXLUSo0OQtM","70hX7IYqmUGV97OXs2v848","album","2023-04-21",2023,"day",0.716,0.616,6,-12.658,0,0.0336,0.0759,0.868,0.117,0.745,86.305,"04E2ASMFE8dt2guBV8i0Bd","https://api.spotify.com/v1/audio-analysis/04E2ASMFE8dt2guBV8i0Bd",4,1,135097,FALSE,"https://api.spotify.com/v1/tracks/04E2ASMFE8dt2guBV8i0Bd",FALSE,"20180816",NA,6,"track","spotify:track:04E2ASMFE8dt2guBV8i0Bd","https://open.spotify.com/track/04E2ASMFE8dt2guBV8i0Bd","One Wayne G","F#","minor","F# minor"
"Mac DeMarco","3Sz7ZnJQBIHsXLUSo0OQtM","70hX7IYqmUGV97OXs2v848","album","2023-04-21",2023,"day",0.79,0.327,5,-14.203,1,0.0579,0.558,0.943,0.109,0.772,101.013,"6tD7ltNWepcIn7sGAq0wwv","https://api.spotify.com/v1/audio-analysis/6tD7ltNWepcIn7sGAq0wwv",4,1,131427,FALSE,"https://api.spotify.com/v1/tracks/6tD7ltNWepcIn7sGAq0wwv",FALSE,"20180913",NA,7,"track","spotify:track:6tD7ltNWepcIn7sGAq0wwv","https://open.spotify.com/track/6tD7ltNWepcIn7sGAq0wwv","One Wayne G","F","major","F major"
"Mac DeMarco","3Sz7ZnJQBIHsXLUSo0OQtM","70hX7IYqmUGV97OXs2v848","album","2023-04-21",2023,"day",0.859,0.271,0,-14.205,0,0.0992,0.00991,0.902,0.084,0.939,99.989,"6MSK4PQrBTaM3j51TrzLM0","https://api.spotify.com/v1/audio-analysis/6MSK4PQrBTaM3j51TrzLM0",4,1,123406,FALSE,"https://api.spotify.com/v1/tracks/6MSK4PQrBTaM3j51TrzLM0",FALSE,"20180924",NA,8,"track","spotify:track:6MSK4PQrBTaM3j51TrzLM0","https://open.spotify.com/track/6MSK4PQrBTaM3j51TrzLM0","One Wayne G","C","minor","C minor"
"Mac DeMarco","3Sz7ZnJQBIHsXLUSo0OQtM","70hX7IYqmUGV97OXs2v848","album","2023-04-21",2023,"day",0.747,0.196,6,-16.881,1,0.113,0.668,0.446,0.112,0.6,75.019,"6hMO5tPpQoa2rmOQBhmlx1","https://api.spotify.com/v1/audio-analysis/6hMO5tPpQoa2rmOQBhmlx1",4,1,79162,FALSE,"https://api.spotify.com/v1/tracks/6hMO5tPpQoa2rmOQBhmlx1",FALSE,"20180927",NA,9,"track","spotify:track:6hMO5tPpQoa2rmOQBhmlx1","https://open.spotify.com/track/6hMO5tPpQoa2rmOQBhmlx1","One Wayne G","F#","major","F# major"
"Mac DeMarco","3Sz7ZnJQBIHsXLUSo0OQtM","70hX7IYqmUGV97OXs2v848","album","2023-04-21",2023,"day",0.747,0.262,0,-12.023,1,0.12,0.248,0.905,0.102,0.894,165.023,"4tX3cJZoR3alDFrdZMOGtV","https://api.spotify.com/v1/audio-analysis/4tX3cJZoR3alDFrdZMOGtV",4,1,188559,FALSE,"https://api.spotify.com/v1/tracks/4tX3cJZoR3alDFrdZMOGtV",FALSE,"20180930",NA,10,"track","spotify:track:4tX3cJZoR3alDFrdZMOGtV","https://open.spotify.com/track/4tX3cJZoR3alDFrdZMOGtV","One Wayne G","C","major","C major"
"Mac DeMarco","3Sz7ZnJQBIHsXLUSo0OQtM","70hX7IYqmUGV97OXs2v848","album","2023-04-21",2023,"day",0.796,0.0781,0,-14.7,1,0.352,0.39,0.691,0.106,0.968,129.964,"4hVsTyDdaliuwc00bYrtsf","https://api.spotify.com/v1/audio-analysis/4hVsTyDdaliuwc00bYrtsf",4,1,32945,FALSE,"https://api.spotify.com/v1/tracks/4hVsTyDdaliuwc00bYrtsf",FALSE,"20181002",NA,11,"track","spotify:track:4hVsTyDdaliuwc00bYrtsf","https://open.spotify.com/track/4hVsTyDdaliuwc00bYrtsf","One Wayne G","C","major","C major"
"Mac DeMarco","3Sz7ZnJQBIHsXLUSo0OQtM","70hX7IYqmUGV97OXs2v848","album","2023-04-21",2023,"day",0.762,0.0209,5,-18.65,0,0.138,0.835,0.769,0.102,0.292,156.122,"34FNLYnBXyBExIO340XLqx","https://api.spotify.com/v1/audio-analysis/34FNLYnBXyBExIO340XLqx",3,1,175990,FALSE,"https://api.spotify.com/v1/tracks/34FNLYnBXyBExIO340XLqx",FALSE,"20181019",NA,12,"track","spotify:track:34FNLYnBXyBExIO340XLqx","https://open.spotify.com/track/34FNLYnBXyBExIO340XLqx","One Wayne G","F","minor","F minor"
"Mac DeMarco","3Sz7ZnJQBIHsXLUSo0OQtM","70hX7IYqmUGV97OXs2v848","album","2023-04-21",2023,"day",0.708,0.394,10,-14.146,0,0.0762,0.0173,0.841,0.094,0.696,170.045,"46ZE35M0hnO1CeGrXPx1Nu","https://api.spotify.com/v1/audio-analysis/46ZE35M0hnO1CeGrXPx1Nu",4,1,183114,FALSE,"https://api.spotify.com/v1/tracks/46ZE35M0hnO1CeGrXPx1Nu",FALSE,"20181108",NA,13,"track","spotify:track:46ZE35M0hnO1CeGrXPx1Nu","https://open.spotify.com/track/46ZE35M0hnO1CeGrXPx1Nu","One Wayne G","A#","minor","A# minor"
"Mac DeMarco","3Sz7ZnJQBIHsXLUSo0OQtM","70hX7IYqmUGV97OXs2v848","album","2023-04-21",2023,"day",0.588,0.267,11,-18.159,1,0.0399,0.961,0.955,0.112,0.887,190.105,"3wlFGJ5SJV4o0yYx4o4OlV","https://api.spotify.com/v1/audio-analysis/3wlFGJ5SJV4o0yYx4o4OlV",4,1,166413,FALSE,"https://api.spotify.com/v1/tracks/3wlFGJ5SJV4o0yYx4o4OlV",FALSE,"20181212",NA,14,"track","spotify:track:3wlFGJ5SJV4o0yYx4o4OlV","https://open.spotify.com/track/3wlFGJ5SJV4o0yYx4o4OlV","One Wayne G","B","major","B major"
"Mac DeMarco","3Sz7ZnJQBIHsXLUSo0OQtM","70hX7IYqmUGV97OXs2v848","album","2023-04-21",2023,"day",0.253,0.387,10,-21.836,0,0.075,0.894,0.439,0.132,0.0909,79.791,"19p6twffpQSqYLBF8MPij6","https://api.spotify.com/v1/audio-analysis/19p6twffpQSqYLBF8MPij6",3,1,201492,FALSE,"https://api.spotify.com/v1/tracks/19p6twffpQSqYLBF8MPij6",FALSE,"20190127",NA,15,"track","spotify:track:19p6twffpQSqYLBF8MPij6","https://open.spotify.com/track/19p6twffpQSqYLBF8MPij6","One Wayne G","A#","minor","A# minor"
"Mac DeMarco","3Sz7ZnJQBIHsXLUSo0OQtM","70hX7IYqmUGV97OXs2v848","album","2023-04-21",2023,"day",0.887,0.0721,7,-23.681,0,0.0447,0.106,0.103,0.127,0.493,105.787,"6SLCuCK5QExoqqhKexAWuB","https://api.spotify.com/v1/audio-analysis/6SLCuCK5QExoqqhKexAWuB",4,1,292649,FALSE,"https://api.spotify.com/v1/tracks/6SLCuCK5QExoqqhKexAWuB",FALSE,"20190205",NA,16,"track","spotify:track:6SLCuCK5QExoqqhKexAWuB","https://open.spotify.com/track/6SLCuCK5QExoqqhKexAWuB","One Wayne G","G","minor","G minor"
"Mac DeMarco","3Sz7ZnJQBIHsXLUSo0OQtM","70hX7IYqmUGV97OXs2v848","album","2023-04-21",2023,"day",0.254,0.0024,10,-28.511,1,0.036,0.952,0.83,0.104,0.228,52.278,"4MCID4Fy8zpZzCRJWiSqXB","https://api.spotify.com/v1/audio-analysis/4MCID4Fy8zpZzCRJWiSqXB",4,1,155915,FALSE,"https://api.spotify.com/v1/tracks/4MCID4Fy8zpZzCRJWiSqXB",FALSE,"20190205 2",NA,17,"track","spotify:track:4MCID4Fy8zpZzCRJWiSqXB","https://open.spotify.com/track/4MCID4Fy8zpZzCRJWiSqXB","One Wayne G","A#","major","A# major"
"Mac DeMarco","3Sz7ZnJQBIHsXLUSo0OQtM","70hX7IYqmUGV97OXs2v848","album","2023-04-21",2023,"day",0.793,0.0515,11,-23.186,0,0.139,0.832,0.719,0.199,0.516,160.023,"1kBFQhNypLgTw9ouqmIxOO","https://api.spotify.com/v1/audio-analysis/1kBFQhNypLgTw9ouqmIxOO",4,1,239714,FALSE,"https://api.spotify.com/v1/tracks/1kBFQhNypLgTw9ouqmIxOO",FALSE,"20190205 3",NA,18,"track","spotify:track:1kBFQhNypLgTw9ouqmIxOO","https://open.spotify.com/track/1kBFQhNypLgTw9ouqmIxOO","One Wayne G","B","minor","B minor"
"Mac DeMarco","3Sz7ZnJQBIHsXLUSo0OQtM","70hX7IYqmUGV97OXs2v848","album","2023-04-21",2023,"day",0.813,0.106,5,-22.49,1,0.177,0.293,0.837,0.132,0.618,79.896,"4F8zPyKsPM5DTsk2uqqQ8p","https://api.spotify.com/v1/audio-analysis/4F8zPyKsPM5DTsk2uqqQ8p",4,1,176893,FALSE,"https://api.spotify.com/v1/tracks/4F8zPyKsPM5DTsk2uqqQ8p",FALSE,"20190206",NA,19,"track","spotify:track:4F8zPyKsPM5DTsk2uqqQ8p","https://open.spotify.com/track/4F8zPyKsPM5DTsk2uqqQ8p","One Wayne G","F","major","F major"
