"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Mainstreet","25XJqeReVV38w0tR04GGBd","6Mu1OvykDP0nf1wtG77xpG","album","2024-02-27",2024,"day",0.703,0.678,10,-6.244,0,0.0914,0.182,0,0.103,0.314,125.105,"5t2RXNtjGIzKPGiNYSU6FG","https://api.spotify.com/v1/audio-analysis/5t2RXNtjGIzKPGiNYSU6FG",4,1,125760,FALSE,"https://api.spotify.com/v1/tracks/5t2RXNtjGIzKPGiNYSU6FG",FALSE,"Vida Rasa","https://p.scdn.co/mp3-preview/8a2a5beb857e48b749884d6f95dc8570fafcfb0f?cid=a684933cbff543e08213060e872e4bd5",1,"track","spotify:track:5t2RXNtjGIzKPGiNYSU6FG","https://open.spotify.com/track/5t2RXNtjGIzKPGiNYSU6FG","442","A#","minor","A# minor"
"Mainstreet","25XJqeReVV38w0tR04GGBd","6Mu1OvykDP0nf1wtG77xpG","album","2024-02-27",2024,"day",0.538,0.591,0,-7.117,0,0.085,0.0599,1.09e-06,0.119,0.427,129.773,"7MybxBlifyFeyfds4x4g5p","https://api.spotify.com/v1/audio-analysis/7MybxBlifyFeyfds4x4g5p",4,1,149538,FALSE,"https://api.spotify.com/v1/tracks/7MybxBlifyFeyfds4x4g5p",FALSE,"Flórida Freestyle","https://p.scdn.co/mp3-preview/fc965b9169550a7fd6438d64e2162b771f31f63c?cid=a684933cbff543e08213060e872e4bd5",2,"track","spotify:track:7MybxBlifyFeyfds4x4g5p","https://open.spotify.com/track/7MybxBlifyFeyfds4x4g5p","442","C","minor","C minor"
"Mainstreet","25XJqeReVV38w0tR04GGBd","6Mu1OvykDP0nf1wtG77xpG","album","2024-02-27",2024,"day",0.669,0.669,6,-5.285,0,0.051,0.149,0,0.114,0.259,119.967,"1DFl6V6pItoSRoCDR6zzAy","https://api.spotify.com/v1/audio-analysis/1DFl6V6pItoSRoCDR6zzAy",4,1,192750,FALSE,"https://api.spotify.com/v1/tracks/1DFl6V6pItoSRoCDR6zzAy",FALSE,"Stripper","https://p.scdn.co/mp3-preview/70f34b08237b2ae9f3c159ae7f2b450a1de81280?cid=a684933cbff543e08213060e872e4bd5",3,"track","spotify:track:1DFl6V6pItoSRoCDR6zzAy","https://open.spotify.com/track/1DFl6V6pItoSRoCDR6zzAy","442","F#","minor","F# minor"
"Mainstreet","25XJqeReVV38w0tR04GGBd","6Mu1OvykDP0nf1wtG77xpG","album","2024-02-27",2024,"day",0.638,0.827,1,-5.166,0,0.106,0.142,6.93e-05,0.0823,0.606,83.042,"315JaAW5Ed3C7rnKOGMg6e","https://api.spotify.com/v1/audio-analysis/315JaAW5Ed3C7rnKOGMg6e",4,1,242891,FALSE,"https://api.spotify.com/v1/tracks/315JaAW5Ed3C7rnKOGMg6e",FALSE,"2Am nas Américas","https://p.scdn.co/mp3-preview/7b44da3204e009194020b0fb93cb4dd2584d38fe?cid=a684933cbff543e08213060e872e4bd5",4,"track","spotify:track:315JaAW5Ed3C7rnKOGMg6e","https://open.spotify.com/track/315JaAW5Ed3C7rnKOGMg6e","442","C#","minor","C# minor"
"Mainstreet","25XJqeReVV38w0tR04GGBd","6Mu1OvykDP0nf1wtG77xpG","album","2024-02-27",2024,"day",0.561,0.679,6,-5.68,0,0.126,0.216,0,0.0889,0.528,142.209,"5V3CmFA57izQ3cwZFEpmle","https://api.spotify.com/v1/audio-analysis/5V3CmFA57izQ3cwZFEpmle",4,1,257622,FALSE,"https://api.spotify.com/v1/tracks/5V3CmFA57izQ3cwZFEpmle",FALSE,"Seu Nome","https://p.scdn.co/mp3-preview/25ee780f4428ca835d1ef3dbfdea0d6a14da5a88?cid=a684933cbff543e08213060e872e4bd5",5,"track","spotify:track:5V3CmFA57izQ3cwZFEpmle","https://open.spotify.com/track/5V3CmFA57izQ3cwZFEpmle","442","F#","minor","F# minor"
"Mainstreet","25XJqeReVV38w0tR04GGBd","6Mu1OvykDP0nf1wtG77xpG","album","2024-02-27",2024,"day",0.56,0.503,6,-7.686,0,0.33,0.0996,0,0.107,0.214,93.653,"6Kow39MGiBWCypfj14oZ6A","https://api.spotify.com/v1/audio-analysis/6Kow39MGiBWCypfj14oZ6A",3,1,198425,FALSE,"https://api.spotify.com/v1/tracks/6Kow39MGiBWCypfj14oZ6A",FALSE,"Longe dos Perigos Noturnos","https://p.scdn.co/mp3-preview/9f7de03226d1d56b51d93eaa88bc52d30b3bd2af?cid=a684933cbff543e08213060e872e4bd5",6,"track","spotify:track:6Kow39MGiBWCypfj14oZ6A","https://open.spotify.com/track/6Kow39MGiBWCypfj14oZ6A","442","F#","minor","F# minor"
"Mainstreet","25XJqeReVV38w0tR04GGBd","6Mu1OvykDP0nf1wtG77xpG","album","2024-02-27",2024,"day",0.513,0.651,2,-2.87,0,0.229,0.106,0,0.238,0.508,173.952,"6LKdX3mQwwOblLhBCfmGlU","https://api.spotify.com/v1/audio-analysis/6LKdX3mQwwOblLhBCfmGlU",4,1,226206,FALSE,"https://api.spotify.com/v1/tracks/6LKdX3mQwwOblLhBCfmGlU",FALSE,"Pix Misterioso","https://p.scdn.co/mp3-preview/534bf5194ee895a6d33cbd80048a13be92c81075?cid=a684933cbff543e08213060e872e4bd5",7,"track","spotify:track:6LKdX3mQwwOblLhBCfmGlU","https://open.spotify.com/track/6LKdX3mQwwOblLhBCfmGlU","442","D","minor","D minor"
"Mainstreet","25XJqeReVV38w0tR04GGBd","6Mu1OvykDP0nf1wtG77xpG","album","2024-02-27",2024,"day",0.657,0.58,7,-6.237,0,0.0813,0.0651,0,0.115,0.278,125.935,"0MW2WCZsE8BALPlGM9oVyd","https://api.spotify.com/v1/audio-analysis/0MW2WCZsE8BALPlGM9oVyd",4,1,171428,FALSE,"https://api.spotify.com/v1/tracks/0MW2WCZsE8BALPlGM9oVyd",FALSE,"Vários Olhares","https://p.scdn.co/mp3-preview/fb1f9b287564c84179f51d2097fb43da6c4f6622?cid=a684933cbff543e08213060e872e4bd5",8,"track","spotify:track:0MW2WCZsE8BALPlGM9oVyd","https://open.spotify.com/track/0MW2WCZsE8BALPlGM9oVyd","442","G","minor","G minor"
"Mainstreet","25XJqeReVV38w0tR04GGBd","6Mu1OvykDP0nf1wtG77xpG","album","2024-02-27",2024,"day",0.738,0.684,5,-6.809,0,0.297,0.0352,0,0.121,0.36,120.001,"49NyXYwAtRZcjTojDdffrz","https://api.spotify.com/v1/audio-analysis/49NyXYwAtRZcjTojDdffrz",4,1,162000,FALSE,"https://api.spotify.com/v1/tracks/49NyXYwAtRZcjTojDdffrz",FALSE,"Sem Censura","https://p.scdn.co/mp3-preview/8f625ad42748425c584cfc84ecc23602c60a090d?cid=a684933cbff543e08213060e872e4bd5",9,"track","spotify:track:49NyXYwAtRZcjTojDdffrz","https://open.spotify.com/track/49NyXYwAtRZcjTojDdffrz","442","F","minor","F minor"
"Mainstreet","25XJqeReVV38w0tR04GGBd","6Mu1OvykDP0nf1wtG77xpG","album","2024-02-27",2024,"day",0.358,0.75,4,-5.455,1,0.179,0.43,0,0.107,0.356,116.424,"1o3YckJFGqTcs4oHsTp6I8","https://api.spotify.com/v1/audio-analysis/1o3YckJFGqTcs4oHsTp6I8",4,1,180512,FALSE,"https://api.spotify.com/v1/tracks/1o3YckJFGqTcs4oHsTp6I8",FALSE,"Por Que Não?","https://p.scdn.co/mp3-preview/6895d18ea349c79f03534176f8008c99652aa4ea?cid=a684933cbff543e08213060e872e4bd5",10,"track","spotify:track:1o3YckJFGqTcs4oHsTp6I8","https://open.spotify.com/track/1o3YckJFGqTcs4oHsTp6I8","442","E","major","E major"
