"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","5x7JzoE4A3DwwU6FPt8qws","album","2021-06-20",2021,"day",0.718,0.82,5,-3.453,0,0.0323,0.0444,0,0.0846,0.613,92.998,"423oRmTgCWl8nF9Oac1fvA","https://api.spotify.com/v1/audio-analysis/423oRmTgCWl8nF9Oac1fvA",4,1,219466,FALSE,"https://api.spotify.com/v1/tracks/423oRmTgCWl8nF9Oac1fvA",FALSE,"One More Night",NA,1,"track","spotify:track:423oRmTgCWl8nF9Oac1fvA","https://open.spotify.com/track/423oRmTgCWl8nF9Oac1fvA","Overexposed","F","minor","F minor"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","5x7JzoE4A3DwwU6FPt8qws","album","2021-06-20",2021,"day",0.739,0.756,4,-4.828,1,0.0394,0.0136,0,0.37,0.523,110.028,"1LmN9SSHISbtp9LoaR5ZVJ","https://api.spotify.com/v1/audio-analysis/1LmN9SSHISbtp9LoaR5ZVJ",4,1,231386,TRUE,"https://api.spotify.com/v1/tracks/1LmN9SSHISbtp9LoaR5ZVJ",FALSE,"Payphone",NA,2,"track","spotify:track:1LmN9SSHISbtp9LoaR5ZVJ","https://open.spotify.com/track/1LmN9SSHISbtp9LoaR5ZVJ","Overexposed","E","major","E major"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","5x7JzoE4A3DwwU6FPt8qws","album","2021-06-20",2021,"day",0.662,0.67,2,-5.504,1,0.027,0.0022,0,0.203,0.352,119.977,"2l8D5dB5pXywjeIeWw16E7","https://api.spotify.com/v1/audio-analysis/2l8D5dB5pXywjeIeWw16E7",4,1,225400,FALSE,"https://api.spotify.com/v1/tracks/2l8D5dB5pXywjeIeWw16E7",FALSE,"Daylight",NA,3,"track","spotify:track:2l8D5dB5pXywjeIeWw16E7","https://open.spotify.com/track/2l8D5dB5pXywjeIeWw16E7","Overexposed","D","major","D major"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","5x7JzoE4A3DwwU6FPt8qws","album","2021-06-20",2021,"day",0.674,0.74,11,-4.517,0,0.0419,0.000637,0,0.111,0.431,143.998,"6tVrmsbI5HVDgOlFSTrQjB","https://api.spotify.com/v1/audio-analysis/6tVrmsbI5HVDgOlFSTrQjB",4,1,185280,FALSE,"https://api.spotify.com/v1/tracks/6tVrmsbI5HVDgOlFSTrQjB",FALSE,"Lucky Strike",NA,4,"track","spotify:track:6tVrmsbI5HVDgOlFSTrQjB","https://open.spotify.com/track/6tVrmsbI5HVDgOlFSTrQjB","Overexposed","B","minor","B minor"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","5x7JzoE4A3DwwU6FPt8qws","album","2021-06-20",2021,"day",0.627,0.848,2,-5.989,1,0.0351,0.000388,0,0.0716,0.848,139.954,"1GpqVTiLDdIeDeX5PrpPDX","https://api.spotify.com/v1/audio-analysis/1GpqVTiLDdIeDeX5PrpPDX",4,1,205200,FALSE,"https://api.spotify.com/v1/tracks/1GpqVTiLDdIeDeX5PrpPDX",FALSE,"The Man Who Never Lied",NA,5,"track","spotify:track:1GpqVTiLDdIeDeX5PrpPDX","https://open.spotify.com/track/1GpqVTiLDdIeDeX5PrpPDX","Overexposed","D","major","D major"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","5x7JzoE4A3DwwU6FPt8qws","album","2021-06-20",2021,"day",0.675,0.79,1,-6.295,1,0.0369,0.129,0,0.121,0.423,120.015,"0B7uZOwTqMBLhvbD3RIFLa","https://api.spotify.com/v1/audio-analysis/0B7uZOwTqMBLhvbD3RIFLa",4,1,229826,FALSE,"https://api.spotify.com/v1/tracks/0B7uZOwTqMBLhvbD3RIFLa",FALSE,"Love Somebody",NA,6,"track","spotify:track:0B7uZOwTqMBLhvbD3RIFLa","https://open.spotify.com/track/0B7uZOwTqMBLhvbD3RIFLa","Overexposed","C#","major","C# major"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","5x7JzoE4A3DwwU6FPt8qws","album","2021-06-20",2021,"day",0.818,0.607,0,-6.927,1,0.0425,0.00974,0.000194,0.154,0.784,115.054,"6xoDzK0sJcPDduzCkwi3A3","https://api.spotify.com/v1/audio-analysis/6xoDzK0sJcPDduzCkwi3A3",4,1,163973,FALSE,"https://api.spotify.com/v1/tracks/6xoDzK0sJcPDduzCkwi3A3",FALSE,"Ladykiller",NA,7,"track","spotify:track:6xoDzK0sJcPDduzCkwi3A3","https://open.spotify.com/track/6xoDzK0sJcPDduzCkwi3A3","Overexposed","C","major","C major"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","5x7JzoE4A3DwwU6FPt8qws","album","2021-06-20",2021,"day",0.668,0.757,4,-6.115,0,0.0411,0.0501,0,0.151,0.41,119.961,"3GXcpquo4MdMeZdbI9LRDJ","https://api.spotify.com/v1/audio-analysis/3GXcpquo4MdMeZdbI9LRDJ",4,1,203453,FALSE,"https://api.spotify.com/v1/tracks/3GXcpquo4MdMeZdbI9LRDJ",FALSE,"Fortune Teller",NA,8,"track","spotify:track:3GXcpquo4MdMeZdbI9LRDJ","https://open.spotify.com/track/3GXcpquo4MdMeZdbI9LRDJ","Overexposed","E","minor","E minor"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","5x7JzoE4A3DwwU6FPt8qws","album","2021-06-20",2021,"day",0.781,0.259,7,-9.204,1,0.0323,0.795,0,0.0993,0.331,111.9,"3wX3zl0LPavrdx7zd2Xn00","https://api.spotify.com/v1/audio-analysis/3wX3zl0LPavrdx7zd2Xn00",4,1,194253,FALSE,"https://api.spotify.com/v1/tracks/3wX3zl0LPavrdx7zd2Xn00",FALSE,"Sad",NA,9,"track","spotify:track:3wX3zl0LPavrdx7zd2Xn00","https://open.spotify.com/track/3wX3zl0LPavrdx7zd2Xn00","Overexposed","G","major","G major"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","5x7JzoE4A3DwwU6FPt8qws","album","2021-06-20",2021,"day",0.796,0.836,4,-4.19,0,0.0322,0.0163,2.72e-06,0.106,0.973,120.026,"4CE3qSc6HJg6hpHZXVLaiJ","https://api.spotify.com/v1/audio-analysis/4CE3qSc6HJg6hpHZXVLaiJ",4,1,209013,TRUE,"https://api.spotify.com/v1/tracks/4CE3qSc6HJg6hpHZXVLaiJ",FALSE,"Tickets",NA,10,"track","spotify:track:4CE3qSc6HJg6hpHZXVLaiJ","https://open.spotify.com/track/4CE3qSc6HJg6hpHZXVLaiJ","Overexposed","E","minor","E minor"
