"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Marshmello","64KEffDW9EtZ1y2vBYgq8T","4KNN5lVMc1EREJFlbppJqH","album","2023-11-03",2023,"day",0.901,0.672,1,-4.222,0,0.0616,0.206,0.000796,0.102,0.716,129.1,"3T5zhPkfR37B1aSnzBvu5N","https://api.spotify.com/v1/audio-analysis/3T5zhPkfR37B1aSnzBvu5N",4,1,107906,TRUE,"https://api.spotify.com/v1/tracks/3T5zhPkfR37B1aSnzBvu5N",FALSE,"Tempo","https://p.scdn.co/mp3-preview/37cdb3830e12c5efcf3eeefe8b516f7eebdc5369?cid=7a1d4f939a1f4e9989be940adaeb2999",1,"track","spotify:track:3T5zhPkfR37B1aSnzBvu5N","https://open.spotify.com/track/3T5zhPkfR37B1aSnzBvu5N","Sugar Papi","C#","minor","C# minor"
"Marshmello","64KEffDW9EtZ1y2vBYgq8T","4KNN5lVMc1EREJFlbppJqH","album","2023-11-03",2023,"day",0.826,0.786,11,-5.619,0,0.0798,0.0276,5.23e-06,0.156,0.488,110.019,"3g6hAwPeS3qKa07XnZzb3h","https://api.spotify.com/v1/audio-analysis/3g6hAwPeS3qKa07XnZzb3h",4,1,159285,TRUE,"https://api.spotify.com/v1/tracks/3g6hAwPeS3qKa07XnZzb3h",FALSE,"Tusi","https://p.scdn.co/mp3-preview/db7cbf59a1974e46b31b5eab418b8f5387c334e3?cid=7a1d4f939a1f4e9989be940adaeb2999",2,"track","spotify:track:3g6hAwPeS3qKa07XnZzb3h","https://open.spotify.com/track/3g6hAwPeS3qKa07XnZzb3h","Sugar Papi","B","minor","B minor"
"Marshmello","64KEffDW9EtZ1y2vBYgq8T","4KNN5lVMc1EREJFlbppJqH","album","2023-11-03",2023,"day",0.777,0.774,8,-3.079,0,0.0553,0.0895,0.000401,0.0909,0.661,123.982,"5KbBVSj6AJZ5662fO8EYFh","https://api.spotify.com/v1/audio-analysis/5KbBVSj6AJZ5662fO8EYFh",4,1,189668,FALSE,"https://api.spotify.com/v1/tracks/5KbBVSj6AJZ5662fO8EYFh",FALSE,"El Merengue","https://p.scdn.co/mp3-preview/8f85a757be0d6acb90a870442608a2bc0efe5860?cid=7a1d4f939a1f4e9989be940adaeb2999",3,"track","spotify:track:5KbBVSj6AJZ5662fO8EYFh","https://open.spotify.com/track/5KbBVSj6AJZ5662fO8EYFh","Sugar Papi","G#","minor","G# minor"
"Marshmello","64KEffDW9EtZ1y2vBYgq8T","4KNN5lVMc1EREJFlbppJqH","album","2023-11-03",2023,"day",0.753,0.574,1,-6.632,0,0.0649,0.289,1.59e-06,0.201,0.677,149.872,"7FH64DotxbhbnAzhN3ztje","https://api.spotify.com/v1/audio-analysis/7FH64DotxbhbnAzhN3ztje",4,1,141865,FALSE,"https://api.spotify.com/v1/tracks/7FH64DotxbhbnAzhN3ztje",FALSE,"Como Yo :(","https://p.scdn.co/mp3-preview/fcb0899152a7eca48752d885a3db4c435fd8efd9?cid=7a1d4f939a1f4e9989be940adaeb2999",4,"track","spotify:track:7FH64DotxbhbnAzhN3ztje","https://open.spotify.com/track/7FH64DotxbhbnAzhN3ztje","Sugar Papi","C#","minor","C# minor"
"Marshmello","64KEffDW9EtZ1y2vBYgq8T","4KNN5lVMc1EREJFlbppJqH","album","2023-11-03",2023,"day",0.777,0.755,1,-4.078,1,0.0711,0.3,0,0.0855,0.567,117.989,"3xBvu2UF8431mbmwsSWkRq","https://api.spotify.com/v1/audio-analysis/3xBvu2UF8431mbmwsSWkRq",4,1,171841,TRUE,"https://api.spotify.com/v1/tracks/3xBvu2UF8431mbmwsSWkRq",FALSE,"Alcohol","https://p.scdn.co/mp3-preview/1726ef22db7202ee1bd0688d4317ec4c917bf6f7?cid=7a1d4f939a1f4e9989be940adaeb2999",5,"track","spotify:track:3xBvu2UF8431mbmwsSWkRq","https://open.spotify.com/track/3xBvu2UF8431mbmwsSWkRq","Sugar Papi","C#","major","C# major"
"Marshmello","64KEffDW9EtZ1y2vBYgq8T","4KNN5lVMc1EREJFlbppJqH","album","2023-11-03",2023,"day",0.76,0.675,5,-7.354,1,0.0391,0.0365,0.00252,0.207,0.478,124.009,"77fzMUPSuP4IjbKyxdg37U","https://api.spotify.com/v1/audio-analysis/77fzMUPSuP4IjbKyxdg37U",4,1,209135,FALSE,"https://api.spotify.com/v1/tracks/77fzMUPSuP4IjbKyxdg37U",FALSE,"Esta Vida","https://p.scdn.co/mp3-preview/255e3f23f711e86830ed0b13b7c48de351a5cff1?cid=7a1d4f939a1f4e9989be940adaeb2999",6,"track","spotify:track:77fzMUPSuP4IjbKyxdg37U","https://open.spotify.com/track/77fzMUPSuP4IjbKyxdg37U","Sugar Papi","F","major","F major"
"Marshmello","64KEffDW9EtZ1y2vBYgq8T","4KNN5lVMc1EREJFlbppJqH","album","2023-11-03",2023,"day",0.772,0.901,10,-5.219,0,0.0357,0.00356,0.00152,0.0762,0.567,121.971,"5IaEUlKfsmVeQlx50kpdDO","https://api.spotify.com/v1/audio-analysis/5IaEUlKfsmVeQlx50kpdDO",4,1,149508,FALSE,"https://api.spotify.com/v1/tracks/5IaEUlKfsmVeQlx50kpdDO",FALSE,"Super High","https://p.scdn.co/mp3-preview/4b4bd429b2a29716042cf88206e4d13b3789eb32?cid=7a1d4f939a1f4e9989be940adaeb2999",7,"track","spotify:track:5IaEUlKfsmVeQlx50kpdDO","https://open.spotify.com/track/5IaEUlKfsmVeQlx50kpdDO","Sugar Papi","A#","minor","A# minor"
"Marshmello","64KEffDW9EtZ1y2vBYgq8T","4KNN5lVMc1EREJFlbppJqH","album","2023-11-03",2023,"day",0.75,0.636,8,-5.087,1,0.0492,0.0896,0.00175,0.132,0.505,113.997,"7KbPpR3s51mge16yAGLTGo","https://api.spotify.com/v1/audio-analysis/7KbPpR3s51mge16yAGLTGo",4,1,137632,FALSE,"https://api.spotify.com/v1/tracks/7KbPpR3s51mge16yAGLTGo",FALSE,"Say Woah!","https://p.scdn.co/mp3-preview/b74b2121d19127dbaf7d7a8da3b1265c06915150?cid=7a1d4f939a1f4e9989be940adaeb2999",8,"track","spotify:track:7KbPpR3s51mge16yAGLTGo","https://open.spotify.com/track/7KbPpR3s51mge16yAGLTGo","Sugar Papi","G#","major","G# major"
"Marshmello","64KEffDW9EtZ1y2vBYgq8T","4KNN5lVMc1EREJFlbppJqH","album","2023-11-03",2023,"day",0.86,0.851,11,-4.936,0,0.0551,0.00936,0.000267,0.0635,0.547,125.999,"5V1Sy6izW2cahODGdlXCse","https://api.spotify.com/v1/audio-analysis/5V1Sy6izW2cahODGdlXCse",4,1,213594,FALSE,"https://api.spotify.com/v1/tracks/5V1Sy6izW2cahODGdlXCse",FALSE,"Dónde Están Que No Los Veo","https://p.scdn.co/mp3-preview/95f699aa9098676cdbb3062d49ff97b21f120af0?cid=7a1d4f939a1f4e9989be940adaeb2999",9,"track","spotify:track:5V1Sy6izW2cahODGdlXCse","https://open.spotify.com/track/5V1Sy6izW2cahODGdlXCse","Sugar Papi","B","minor","B minor"
"Marshmello","64KEffDW9EtZ1y2vBYgq8T","4KNN5lVMc1EREJFlbppJqH","album","2023-11-03",2023,"day",0.553,0.444,9,-7.667,1,0.123,0.07,0.00301,0.0762,0.344,127.414,"2cZ62VBKsdZ7u1kKKJdFOc","https://api.spotify.com/v1/audio-analysis/2cZ62VBKsdZ7u1kKKJdFOc",4,1,187153,FALSE,"https://api.spotify.com/v1/tracks/2cZ62VBKsdZ7u1kKKJdFOc",FALSE,"Sou Musa do Verão","https://p.scdn.co/mp3-preview/6017b7fabe4d82ff4e66dcdc319d907fbb516ac3?cid=7a1d4f939a1f4e9989be940adaeb2999",10,"track","spotify:track:2cZ62VBKsdZ7u1kKKJdFOc","https://open.spotify.com/track/2cZ62VBKsdZ7u1kKKJdFOc","Sugar Papi","A","major","A major"
