"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Megan Moroney","5Ppie0uPnbnvGBYRwYmlt0","4Yb0OvM7xTvuyjUivVEXP4","album","2023-09-22",2023,"day",0.573,0.795,10,-5.561,1,0.0558,0.129,1.78e-05,0.186,0.705,128.101,"6elw1QfhSYZOgwgrQOfeUc","https://api.spotify.com/v1/audio-analysis/6elw1QfhSYZOgwgrQOfeUc",4,1,181066,FALSE,"https://api.spotify.com/v1/tracks/6elw1QfhSYZOgwgrQOfeUc",FALSE,"I'm Not Pretty","https://p.scdn.co/mp3-preview/a8d929a996b1d80a57dd3db5942813f4120d408a?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",1,"track","spotify:track:6elw1QfhSYZOgwgrQOfeUc","https://open.spotify.com/track/6elw1QfhSYZOgwgrQOfeUc","Lucky (Deluxe)","A#","major","A# major"
"Megan Moroney","5Ppie0uPnbnvGBYRwYmlt0","4Yb0OvM7xTvuyjUivVEXP4","album","2023-09-22",2023,"day",0.439,0.851,6,-4.294,0,0.155,0.00279,0,0.319,0.74,124.221,"54UqVUkemhkxeav7qInzOP","https://api.spotify.com/v1/audio-analysis/54UqVUkemhkxeav7qInzOP",4,1,161042,FALSE,"https://api.spotify.com/v1/tracks/54UqVUkemhkxeav7qInzOP",FALSE,"Lucky","https://p.scdn.co/mp3-preview/c8945d424207f99e0f24c013f44e1410d8b8c232?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",2,"track","spotify:track:54UqVUkemhkxeav7qInzOP","https://open.spotify.com/track/54UqVUkemhkxeav7qInzOP","Lucky (Deluxe)","F#","minor","F# minor"
"Megan Moroney","5Ppie0uPnbnvGBYRwYmlt0","4Yb0OvM7xTvuyjUivVEXP4","album","2023-09-22",2023,"day",0.38,0.488,9,-6.637,1,0.029,0.126,7.23e-06,0.115,0.268,156.031,"0H2pPP2TFoPHpaFol0ipJP","https://api.spotify.com/v1/audio-analysis/0H2pPP2TFoPHpaFol0ipJP",3,1,223119,FALSE,"https://api.spotify.com/v1/tracks/0H2pPP2TFoPHpaFol0ipJP",FALSE,"Tennessee Orange","https://p.scdn.co/mp3-preview/ca7195c94078dd2bf40b80acdffa3bb38b7ae378?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",3,"track","spotify:track:0H2pPP2TFoPHpaFol0ipJP","https://open.spotify.com/track/0H2pPP2TFoPHpaFol0ipJP","Lucky (Deluxe)","A","major","A major"
"Megan Moroney","5Ppie0uPnbnvGBYRwYmlt0","4Yb0OvM7xTvuyjUivVEXP4","album","2023-09-22",2023,"day",0.395,0.503,9,-7.218,1,0.0332,0.0903,2.41e-05,0.116,0.316,146.172,"6JiDsQzmC7RUgbtfpfM4AQ","https://api.spotify.com/v1/audio-analysis/6JiDsQzmC7RUgbtfpfM4AQ",4,1,214220,FALSE,"https://api.spotify.com/v1/tracks/6JiDsQzmC7RUgbtfpfM4AQ",FALSE,"Kansas Anymore","https://p.scdn.co/mp3-preview/f54ab8e6b9500b79c057c958d46ca557a3bc9984?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",4,"track","spotify:track:6JiDsQzmC7RUgbtfpfM4AQ","https://open.spotify.com/track/6JiDsQzmC7RUgbtfpfM4AQ","Lucky (Deluxe)","A","major","A major"
"Megan Moroney","5Ppie0uPnbnvGBYRwYmlt0","4Yb0OvM7xTvuyjUivVEXP4","album","2023-09-22",2023,"day",0.33,0.273,10,-7.914,1,0.0293,0.814,0,0.113,0.317,78.103,"0WfIBiSh2oKg0CxC6E4PHz","https://api.spotify.com/v1/audio-analysis/0WfIBiSh2oKg0CxC6E4PHz",3,1,165099,FALSE,"https://api.spotify.com/v1/tracks/0WfIBiSh2oKg0CxC6E4PHz",FALSE,"Girl in the Mirror","https://p.scdn.co/mp3-preview/5261b75115f0dc70b6f9e9ef5fd0603230ee6eb7?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",5,"track","spotify:track:0WfIBiSh2oKg0CxC6E4PHz","https://open.spotify.com/track/0WfIBiSh2oKg0CxC6E4PHz","Lucky (Deluxe)","A#","major","A# major"
"Megan Moroney","5Ppie0uPnbnvGBYRwYmlt0","4Yb0OvM7xTvuyjUivVEXP4","album","2023-09-22",2023,"day",0.465,0.659,1,-6.515,0,0.0325,0.019,0,0.326,0.621,89.113,"12fzBcFSxtAoOjCUAkCPOn","https://api.spotify.com/v1/audio-analysis/12fzBcFSxtAoOjCUAkCPOn",4,1,154326,FALSE,"https://api.spotify.com/v1/tracks/12fzBcFSxtAoOjCUAkCPOn",FALSE,"Another on the Way","https://p.scdn.co/mp3-preview/3fd20eb5f0f320e1361bf8855b2bf80e6c67a136?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",6,"track","spotify:track:12fzBcFSxtAoOjCUAkCPOn","https://open.spotify.com/track/12fzBcFSxtAoOjCUAkCPOn","Lucky (Deluxe)","C#","minor","C# minor"
"Megan Moroney","5Ppie0uPnbnvGBYRwYmlt0","4Yb0OvM7xTvuyjUivVEXP4","album","2023-09-22",2023,"day",0.516,0.742,6,-5.704,1,0.0361,0.0423,0,0.236,0.241,116.961,"2BPE7xcFw24GAgxJqHJ7Wz","https://api.spotify.com/v1/audio-analysis/2BPE7xcFw24GAgxJqHJ7Wz",4,1,153296,FALSE,"https://api.spotify.com/v1/tracks/2BPE7xcFw24GAgxJqHJ7Wz",FALSE,"Traitor Joe","https://p.scdn.co/mp3-preview/4e744a13b813a3776588a76fd15b3063565bf0dc?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",7,"track","spotify:track:2BPE7xcFw24GAgxJqHJ7Wz","https://open.spotify.com/track/2BPE7xcFw24GAgxJqHJ7Wz","Lucky (Deluxe)","F#","major","F# major"
"Megan Moroney","5Ppie0uPnbnvGBYRwYmlt0","4Yb0OvM7xTvuyjUivVEXP4","album","2023-09-22",2023,"day",0.539,0.366,4,-8.444,1,0.0309,0.675,0,0.139,0.29,124.318,"0uBobcnu5OscEQOsQyJguL","https://api.spotify.com/v1/audio-analysis/0uBobcnu5OscEQOsQyJguL",4,1,241837,FALSE,"https://api.spotify.com/v1/tracks/0uBobcnu5OscEQOsQyJguL",FALSE,"Why Johnny","https://p.scdn.co/mp3-preview/2ea7af60a126448b7def52222eca0fdbfaf8b0a4?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",8,"track","spotify:track:0uBobcnu5OscEQOsQyJguL","https://open.spotify.com/track/0uBobcnu5OscEQOsQyJguL","Lucky (Deluxe)","E","major","E major"
"Megan Moroney","5Ppie0uPnbnvGBYRwYmlt0","4Yb0OvM7xTvuyjUivVEXP4","album","2023-09-22",2023,"day",0.352,0.469,11,-7.668,1,0.0305,0.144,0,0.125,0.287,79.412,"6JFRe9UdNpT4SWzXPwxqWN","https://api.spotify.com/v1/audio-analysis/6JFRe9UdNpT4SWzXPwxqWN",4,1,211508,FALSE,"https://api.spotify.com/v1/tracks/6JFRe9UdNpT4SWzXPwxqWN",FALSE,"God Plays a Gibson","https://p.scdn.co/mp3-preview/33fa07d7f3244a9e8f9986ba46786a4dfcd597ab?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",9,"track","spotify:track:6JFRe9UdNpT4SWzXPwxqWN","https://open.spotify.com/track/6JFRe9UdNpT4SWzXPwxqWN","Lucky (Deluxe)","B","major","B major"
"Megan Moroney","5Ppie0uPnbnvGBYRwYmlt0","4Yb0OvM7xTvuyjUivVEXP4","album","2023-09-22",2023,"day",0.354,0.507,10,-6.783,1,0.0311,0.0584,1.15e-05,0.084,0.307,150.381,"0XVIU9XY6vbFE6AjmyPAeF","https://api.spotify.com/v1/audio-analysis/0XVIU9XY6vbFE6AjmyPAeF",3,1,217755,FALSE,"https://api.spotify.com/v1/tracks/0XVIU9XY6vbFE6AjmyPAeF",FALSE,"Georgia Girl","https://p.scdn.co/mp3-preview/1d7d4984656f1377643a6b7ebfa61ac76fe70ff2?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",10,"track","spotify:track:0XVIU9XY6vbFE6AjmyPAeF","https://open.spotify.com/track/0XVIU9XY6vbFE6AjmyPAeF","Lucky (Deluxe)","A#","major","A# major"
