"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Miles Davis","0kbYTNQb4Pb1rPbbaF0pT4","0MSHseNM8wauWXFqmRZaUV","album","2023-10-01",2023,"day",0.647,0.403,0,-8.141,1,0.039,0.713,0,0.196,0.678,81.872,"24tn74teh2vfg8kbNKZa67","https://api.spotify.com/v1/audio-analysis/24tn74teh2vfg8kbNKZa67",4,1,194173,FALSE,"https://api.spotify.com/v1/tracks/24tn74teh2vfg8kbNKZa67",FALSE,"Donna",NA,1,"track","spotify:track:24tn74teh2vfg8kbNKZa67","https://open.spotify.com/track/24tn74teh2vfg8kbNKZa67","A Catalogue of Jazz: Miles Davis","C","major","C major"
"Miles Davis","0kbYTNQb4Pb1rPbbaF0pT4","0MSHseNM8wauWXFqmRZaUV","album","2023-10-01",2023,"day",0.388,0.137,8,-13.771,1,0.0307,0.969,0.336,0.154,0.309,59.091,"62fKrt6VY9jUtyfvMj91aT","https://api.spotify.com/v1/audio-analysis/62fKrt6VY9jUtyfvMj91aT",4,1,245693,FALSE,"https://api.spotify.com/v1/tracks/62fKrt6VY9jUtyfvMj91aT",FALSE,"It Never Entered My Mind",NA,2,"track","spotify:track:62fKrt6VY9jUtyfvMj91aT","https://open.spotify.com/track/62fKrt6VY9jUtyfvMj91aT","A Catalogue of Jazz: Miles Davis","G#","major","G# major"
"Miles Davis","0kbYTNQb4Pb1rPbbaF0pT4","0MSHseNM8wauWXFqmRZaUV","album","2023-10-01",2023,"day",0.422,0.0529,3,-19.373,1,0.0403,0.985,0.627,0.137,0.234,61.129,"1qxFaVQmO1fDf9QHB34y1y","https://api.spotify.com/v1/audio-analysis/1qxFaVQmO1fDf9QHB34y1y",4,1,280333,FALSE,"https://api.spotify.com/v1/tracks/1qxFaVQmO1fDf9QHB34y1y",FALSE,"Woody 'N You - Alternate Take",NA,3,"track","spotify:track:1qxFaVQmO1fDf9QHB34y1y","https://open.spotify.com/track/1qxFaVQmO1fDf9QHB34y1y","A Catalogue of Jazz: Miles Davis","D#","major","D# major"
"Miles Davis","0kbYTNQb4Pb1rPbbaF0pT4","0MSHseNM8wauWXFqmRZaUV","album","2023-10-01",2023,"day",0.521,0.37,3,-12.426,1,0.0784,0.913,0.689,0.271,0.791,136.869,"1uP1Pb3kyvKnFNiMJt4wrT","https://api.spotify.com/v1/audio-analysis/1uP1Pb3kyvKnFNiMJt4wrT",4,1,154120,FALSE,"https://api.spotify.com/v1/tracks/1uP1Pb3kyvKnFNiMJt4wrT",FALSE,"Move - Remastered",NA,4,"track","spotify:track:1uP1Pb3kyvKnFNiMJt4wrT","https://open.spotify.com/track/1uP1Pb3kyvKnFNiMJt4wrT","A Catalogue of Jazz: Miles Davis","D#","major","D# major"
"Miles Davis","0kbYTNQb4Pb1rPbbaF0pT4","0MSHseNM8wauWXFqmRZaUV","album","2023-10-01",2023,"day",0.492,0.39,2,-11.516,0,0.0317,0.866,0.000109,0.0622,0.543,101.621,"4MmnAp753cQfH7kax4Vi5K","https://api.spotify.com/v1/audio-analysis/4MmnAp753cQfH7kax4Vi5K",4,1,168400,FALSE,"https://api.spotify.com/v1/tracks/4MmnAp753cQfH7kax4Vi5K",FALSE,"Deception - Remastered",NA,5,"track","spotify:track:4MmnAp753cQfH7kax4Vi5K","https://open.spotify.com/track/4MmnAp753cQfH7kax4Vi5K","A Catalogue of Jazz: Miles Davis","D","minor","D minor"
"Miles Davis","0kbYTNQb4Pb1rPbbaF0pT4","0MSHseNM8wauWXFqmRZaUV","album","2023-10-01",2023,"day",0.491,0.258,5,-10.886,1,0.0384,0.965,0.0905,0.0795,0.502,136.684,"496gAEkh90s9EDEsBQdwnT","https://api.spotify.com/v1/audio-analysis/496gAEkh90s9EDEsBQdwnT",4,1,181533,FALSE,"https://api.spotify.com/v1/tracks/496gAEkh90s9EDEsBQdwnT",FALSE,"Boplicity - Remastered",NA,6,"track","spotify:track:496gAEkh90s9EDEsBQdwnT","https://open.spotify.com/track/496gAEkh90s9EDEsBQdwnT","A Catalogue of Jazz: Miles Davis","F","major","F major"
"Miles Davis","0kbYTNQb4Pb1rPbbaF0pT4","0MSHseNM8wauWXFqmRZaUV","album","2023-10-01",2023,"day",0.542,0.419,8,-9.954,1,0.0583,0.85,0.00664,0.237,0.746,119.785,"0p0bFTY57L1C1E5wZ5Nbri","https://api.spotify.com/v1/audio-analysis/0p0bFTY57L1C1E5wZ5Nbri",4,1,154826,FALSE,"https://api.spotify.com/v1/tracks/0p0bFTY57L1C1E5wZ5Nbri",FALSE,"Budo - Remastered",NA,7,"track","spotify:track:0p0bFTY57L1C1E5wZ5Nbri","https://open.spotify.com/track/0p0bFTY57L1C1E5wZ5Nbri","A Catalogue of Jazz: Miles Davis","G#","major","G# major"
"Miles Davis","0kbYTNQb4Pb1rPbbaF0pT4","0MSHseNM8wauWXFqmRZaUV","album","2023-10-01",2023,"day",0.429,0.305,8,-11.67,1,0.0766,0.928,0.342,0.133,0.598,172.749,"0VZQ32wDxuAXowPMpcVRXb","https://api.spotify.com/v1/audio-analysis/0VZQ32wDxuAXowPMpcVRXb",4,1,190933,FALSE,"https://api.spotify.com/v1/tracks/0VZQ32wDxuAXowPMpcVRXb",FALSE,"Godchild - Remastered",NA,8,"track","spotify:track:0VZQ32wDxuAXowPMpcVRXb","https://open.spotify.com/track/0VZQ32wDxuAXowPMpcVRXb","A Catalogue of Jazz: Miles Davis","G#","major","G# major"
"Miles Davis","0kbYTNQb4Pb1rPbbaF0pT4","0MSHseNM8wauWXFqmRZaUV","album","2023-10-01",2023,"day",0.295,0.156,4,-11.896,0,0.03,0.934,9.8e-06,0.165,0.129,82.821,"2RPZcEQeZRN07UvygMfADM","https://api.spotify.com/v1/audio-analysis/2RPZcEQeZRN07UvygMfADM",3,1,204973,FALSE,"https://api.spotify.com/v1/tracks/2RPZcEQeZRN07UvygMfADM",FALSE,"Darn That Dream - Remastered 2000/Rudy Van Gelder Edition",NA,9,"track","spotify:track:2RPZcEQeZRN07UvygMfADM","https://open.spotify.com/track/2RPZcEQeZRN07UvygMfADM","A Catalogue of Jazz: Miles Davis","E","minor","E minor"
"Miles Davis","0kbYTNQb4Pb1rPbbaF0pT4","0MSHseNM8wauWXFqmRZaUV","album","2023-10-01",2023,"day",0.263,0.0485,4,-18.169,0,0.0344,0.976,0.918,0.0954,0.0949,135.882,"5xqLBmAyWy4uhrqc53wztm","https://api.spotify.com/v1/audio-analysis/5xqLBmAyWy4uhrqc53wztm",4,1,201733,FALSE,"https://api.spotify.com/v1/tracks/5xqLBmAyWy4uhrqc53wztm",FALSE,"Moon Dreams - Remastered",NA,10,"track","spotify:track:5xqLBmAyWy4uhrqc53wztm","https://open.spotify.com/track/5xqLBmAyWy4uhrqc53wztm","A Catalogue of Jazz: Miles Davis","E","minor","E minor"
