"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Morgan Wallen","4oUHIQIBe0LHzYfvXNW4QM","5DDVH0WdBqbQg7XriGDFEw","album","2024-01-25",2024,"day",0.539,0.797,9,-4.162,1,0.0399,0.031,0,0.422,0.451,157.988,"228JzyWy3jGXFQwkxedQju","https://api.spotify.com/v1/audio-analysis/228JzyWy3jGXFQwkxedQju",4,1,213466,FALSE,"https://api.spotify.com/v1/tracks/228JzyWy3jGXFQwkxedQju",FALSE,"Going Down","https://p.scdn.co/mp3-preview/5dd0f45f34cf3f68f8721c222588920886efbb1c?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",1,"track","spotify:track:228JzyWy3jGXFQwkxedQju","https://open.spotify.com/track/228JzyWy3jGXFQwkxedQju","Stand Alone (10th Anniversary Deluxe Edition)","A","major","A major"
"Morgan Wallen","4oUHIQIBe0LHzYfvXNW4QM","5DDVH0WdBqbQg7XriGDFEw","album","2024-01-25",2024,"day",0.521,0.894,11,-5.107,1,0.0287,0.00286,2.59e-05,0.104,0.456,143.934,"4UeIFyH2pHTbpFapsJiHlj","https://api.spotify.com/v1/audio-analysis/4UeIFyH2pHTbpFapsJiHlj",4,1,224453,FALSE,"https://api.spotify.com/v1/tracks/4UeIFyH2pHTbpFapsJiHlj",FALSE,"Scared to Live Without You","https://p.scdn.co/mp3-preview/3ea427583d545205473148bf8fedaca106e78882?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",2,"track","spotify:track:4UeIFyH2pHTbpFapsJiHlj","https://open.spotify.com/track/4UeIFyH2pHTbpFapsJiHlj","Stand Alone (10th Anniversary Deluxe Edition)","B","major","B major"
"Morgan Wallen","4oUHIQIBe0LHzYfvXNW4QM","5DDVH0WdBqbQg7XriGDFEw","album","2024-01-25",2024,"day",0.603,0.813,9,-4.769,1,0.0276,0.000128,0,0.104,0.47,122.994,"0tENVUOsUg8WUEbQt22t50","https://api.spotify.com/v1/audio-analysis/0tENVUOsUg8WUEbQt22t50",4,1,226800,FALSE,"https://api.spotify.com/v1/tracks/0tENVUOsUg8WUEbQt22t50",FALSE,"2 of Us Alone","https://p.scdn.co/mp3-preview/bff7852d69988ec07728714eaa628b4da82711bb?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",3,"track","spotify:track:0tENVUOsUg8WUEbQt22t50","https://open.spotify.com/track/0tENVUOsUg8WUEbQt22t50","Stand Alone (10th Anniversary Deluxe Edition)","A","major","A major"
"Morgan Wallen","4oUHIQIBe0LHzYfvXNW4QM","5DDVH0WdBqbQg7XriGDFEw","album","2024-01-25",2024,"day",0.5,0.734,0,-4.122,1,0.0313,0.00568,0,0.215,0.345,144.099,"6B7oin891Od89RLiqB4sCV","https://api.spotify.com/v1/audio-analysis/6B7oin891Od89RLiqB4sCV",4,1,223226,FALSE,"https://api.spotify.com/v1/tracks/6B7oin891Od89RLiqB4sCV",FALSE,"Got It Made","https://p.scdn.co/mp3-preview/b8e64d5e7814be7bab2c92f6e3e1acd0fed72f47?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",4,"track","spotify:track:6B7oin891Od89RLiqB4sCV","https://open.spotify.com/track/6B7oin891Od89RLiqB4sCV","Stand Alone (10th Anniversary Deluxe Edition)","C","major","C major"
"Morgan Wallen","4oUHIQIBe0LHzYfvXNW4QM","5DDVH0WdBqbQg7XriGDFEw","album","2024-01-25",2024,"day",0.535,0.821,0,-5.586,1,0.0343,0.00579,0,0.19,0.592,141.032,"2Z8uPU4ZcpCLB1ZRjhHn9M","https://api.spotify.com/v1/audio-analysis/2Z8uPU4ZcpCLB1ZRjhHn9M",4,1,247826,FALSE,"https://api.spotify.com/v1/tracks/2Z8uPU4ZcpCLB1ZRjhHn9M",FALSE,"What's Your Story","https://p.scdn.co/mp3-preview/964fbf3f2382f340784bf459404721750b57badc?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",5,"track","spotify:track:2Z8uPU4ZcpCLB1ZRjhHn9M","https://open.spotify.com/track/2Z8uPU4ZcpCLB1ZRjhHn9M","Stand Alone (10th Anniversary Deluxe Edition)","C","major","C major"
"Morgan Wallen","4oUHIQIBe0LHzYfvXNW4QM","5DDVH0WdBqbQg7XriGDFEw","album","2024-01-25",2024,"day",0.517,0.877,4,-3.621,1,0.0297,0.00142,0,0.208,0.614,149.99,"0mYIOzA3XWuqewk2GDtsnP","https://api.spotify.com/v1/audio-analysis/0mYIOzA3XWuqewk2GDtsnP",4,1,212850,FALSE,"https://api.spotify.com/v1/tracks/0mYIOzA3XWuqewk2GDtsnP",FALSE,"Spin You Around","https://p.scdn.co/mp3-preview/f9f3309a956cb0cefc0af81c6008aa620d8dee1e?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",6,"track","spotify:track:0mYIOzA3XWuqewk2GDtsnP","https://open.spotify.com/track/0mYIOzA3XWuqewk2GDtsnP","Stand Alone (10th Anniversary Deluxe Edition)","E","major","E major"
"Morgan Wallen","4oUHIQIBe0LHzYfvXNW4QM","5DDVH0WdBqbQg7XriGDFEw","album","2024-01-25",2024,"day",0.625,0.645,9,-6.022,1,0.0271,0.0487,4.61e-06,0.116,0.525,81.016,"6RCNuKfjVTQiAW5eSW5DeW","https://api.spotify.com/v1/audio-analysis/6RCNuKfjVTQiAW5eSW5DeW",4,1,216813,FALSE,"https://api.spotify.com/v1/tracks/6RCNuKfjVTQiAW5eSW5DeW",FALSE,"Afterglow","https://p.scdn.co/mp3-preview/3e71acac4f9b6a92d170c1c6c4c7e3d55821c71f?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",7,"track","spotify:track:6RCNuKfjVTQiAW5eSW5DeW","https://open.spotify.com/track/6RCNuKfjVTQiAW5eSW5DeW","Stand Alone (10th Anniversary Deluxe Edition)","A","major","A major"
"Morgan Wallen","4oUHIQIBe0LHzYfvXNW4QM","5DDVH0WdBqbQg7XriGDFEw","album","2024-01-25",2024,"day",0.55,0.889,6,-4.683,0,0.0268,0.00428,8.86e-06,0.099,0.29,99.008,"3rOskDqCjbWeCqFhgwuI5G","https://api.spotify.com/v1/audio-analysis/3rOskDqCjbWeCqFhgwuI5G",4,1,222967,FALSE,"https://api.spotify.com/v1/tracks/3rOskDqCjbWeCqFhgwuI5G",FALSE,"Heaven Can Take a Backseat","https://p.scdn.co/mp3-preview/e85788c489627ff6caab35d5df45f8f342eabb81?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",8,"track","spotify:track:3rOskDqCjbWeCqFhgwuI5G","https://open.spotify.com/track/3rOskDqCjbWeCqFhgwuI5G","Stand Alone (10th Anniversary Deluxe Edition)","F#","minor","F# minor"
"Morgan Wallen","4oUHIQIBe0LHzYfvXNW4QM","5DDVH0WdBqbQg7XriGDFEw","album","2024-01-25",2024,"day",0.564,0.822,10,-3.685,1,0.0329,0.0165,2.72e-06,0.377,0.695,149.981,"1PnddBkrATwdzGcJEkHWK6","https://api.spotify.com/v1/audio-analysis/1PnddBkrATwdzGcJEkHWK6",4,1,261640,FALSE,"https://api.spotify.com/v1/tracks/1PnddBkrATwdzGcJEkHWK6",FALSE,"Sleep When We’re Dead","https://p.scdn.co/mp3-preview/f3f73ffd73e881809c71559da6ab128da863dd54?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",9,"track","spotify:track:1PnddBkrATwdzGcJEkHWK6","https://open.spotify.com/track/1PnddBkrATwdzGcJEkHWK6","Stand Alone (10th Anniversary Deluxe Edition)","A#","major","A# major"
"Morgan Wallen","4oUHIQIBe0LHzYfvXNW4QM","5DDVH0WdBqbQg7XriGDFEw","album","2024-01-25",2024,"day",0.457,0.545,5,-6.248,1,0.0286,0.312,2.76e-06,0.119,0.178,147.821,"4OzheqUsa4ApRJXYn326T5","https://api.spotify.com/v1/audio-analysis/4OzheqUsa4ApRJXYn326T5",4,1,249754,FALSE,"https://api.spotify.com/v1/tracks/4OzheqUsa4ApRJXYn326T5",FALSE,"Stand Alone","https://p.scdn.co/mp3-preview/d8594822f33abb4204068ae5cbec5c2d99a7ec9f?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",10,"track","spotify:track:4OzheqUsa4ApRJXYn326T5","https://open.spotify.com/track/4OzheqUsa4ApRJXYn326T5","Stand Alone (10th Anniversary Deluxe Edition)","F","major","F major"
