"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","3kKlvphz0K4uabkNcQQIMh","album","2024-04-05",2024,"day",0.806,0.64,11,-7.398,0,0.317,0.0864,0,0.201,0.716,160.054,"1dIFyIcc946VlUAYrpKNcP","https://api.spotify.com/v1/audio-analysis/1dIFyIcc946VlUAYrpKNcP",4,1,213206,TRUE,"https://api.spotify.com/v1/tracks/1dIFyIcc946VlUAYrpKNcP",FALSE,"DO IT AGAIN (feat. 2Rare)","https://p.scdn.co/mp3-preview/9376f0c0cde7024bb9721c53414ba4f8acf0b485?cid=7a1d4f939a1f4e9989be940adaeb2999",1,"track","spotify:track:1dIFyIcc946VlUAYrpKNcP","https://open.spotify.com/track/1dIFyIcc946VlUAYrpKNcP","Certified","B","minor","B minor"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","3kKlvphz0K4uabkNcQQIMh","album","2024-04-05",2024,"day",0.938,0.606,6,-6.396,0,0.419,0.117,0,0.528,0.706,121.108,"6lzAq6ebxr8DSJBa9dzdJZ","https://api.spotify.com/v1/audio-analysis/6lzAq6ebxr8DSJBa9dzdJZ",4,1,123672,TRUE,"https://api.spotify.com/v1/tracks/6lzAq6ebxr8DSJBa9dzdJZ",FALSE,"SLUT ME OUT","https://p.scdn.co/mp3-preview/84ef49a1e71bdac04b7dfb1dea3a56d1ffc50357?cid=7a1d4f939a1f4e9989be940adaeb2999",2,"track","spotify:track:6lzAq6ebxr8DSJBa9dzdJZ","https://open.spotify.com/track/6lzAq6ebxr8DSJBa9dzdJZ","Certified","F#","minor","F# minor"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","3kKlvphz0K4uabkNcQQIMh","album","2024-04-05",2024,"day",0.908,0.757,11,-3.889,0,0.0606,0.015,0,0.0673,0.577,106.031,"4WmraonpyD12RGPLl2sMYU","https://api.spotify.com/v1/audio-analysis/4WmraonpyD12RGPLl2sMYU",4,1,134424,TRUE,"https://api.spotify.com/v1/tracks/4WmraonpyD12RGPLl2sMYU",FALSE,"IT'S GETTING HOT","https://p.scdn.co/mp3-preview/01281fa5840d4a0e858b25133e4c59d97baf9e9e?cid=7a1d4f939a1f4e9989be940adaeb2999",3,"track","spotify:track:4WmraonpyD12RGPLl2sMYU","https://open.spotify.com/track/4WmraonpyD12RGPLl2sMYU","Certified","B","minor","B minor"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","3kKlvphz0K4uabkNcQQIMh","album","2024-04-05",2024,"day",0.787,0.681,2,-5.765,1,0.239,0.21,0,0.162,0.224,95.96,"6Fz4pW1ZEJmSXghFytp78w","https://api.spotify.com/v1/audio-analysis/6Fz4pW1ZEJmSXghFytp78w",4,1,222487,TRUE,"https://api.spotify.com/v1/tracks/6Fz4pW1ZEJmSXghFytp78w",FALSE,"Picture Me Grapin’","https://p.scdn.co/mp3-preview/8054d7d28bf19e75919855cf6ef9818ed2453927?cid=7a1d4f939a1f4e9989be940adaeb2999",4,"track","spotify:track:6Fz4pW1ZEJmSXghFytp78w","https://open.spotify.com/track/6Fz4pW1ZEJmSXghFytp78w","Certified","D","major","D major"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","3kKlvphz0K4uabkNcQQIMh","album","2024-04-05",2024,"day",0.614,0.553,7,-8.225,1,0.169,0.0306,0,0.203,0.161,159.999,"0DQx3dZHxzr1w9ZzQokSng","https://api.spotify.com/v1/audio-analysis/0DQx3dZHxzr1w9ZzQokSng",4,1,240297,TRUE,"https://api.spotify.com/v1/tracks/0DQx3dZHxzr1w9ZzQokSng",FALSE,"Narrow Road (feat. Lil Baby)","https://p.scdn.co/mp3-preview/5219b7e046a34e5f020f52010fac11938bcf0506?cid=7a1d4f939a1f4e9989be940adaeb2999",5,"track","spotify:track:0DQx3dZHxzr1w9ZzQokSng","https://open.spotify.com/track/0DQx3dZHxzr1w9ZzQokSng","Certified","G","major","G major"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","3kKlvphz0K4uabkNcQQIMh","album","2024-04-05",2024,"day",0.867,0.744,2,-5.171,1,0.227,0.268,0,0.0713,0.645,84.005,"2EOSYYghm1chMTO5mEUaE8","https://api.spotify.com/v1/audio-analysis/2EOSYYghm1chMTO5mEUaE8",4,1,173288,TRUE,"https://api.spotify.com/v1/tracks/2EOSYYghm1chMTO5mEUaE8",FALSE,"Walk Em Down (feat. Roddy Ricch)","https://p.scdn.co/mp3-preview/b01bc02c42e27c4887a7d4547851c9b872413cc6?cid=7a1d4f939a1f4e9989be940adaeb2999",6,"track","spotify:track:2EOSYYghm1chMTO5mEUaE8","https://open.spotify.com/track/2EOSYYghm1chMTO5mEUaE8","Certified","D","major","D major"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","3kKlvphz0K4uabkNcQQIMh","album","2024-04-05",2024,"day",0.787,0.713,7,-5.252,1,0.401,0.0849,0,0.717,0.761,175.046,"5v4rdKIol6kIXMmx6wvP4p","https://api.spotify.com/v1/audio-analysis/5v4rdKIol6kIXMmx6wvP4p",4,1,148759,TRUE,"https://api.spotify.com/v1/tracks/5v4rdKIol6kIXMmx6wvP4p",FALSE,"Camelot","https://p.scdn.co/mp3-preview/99041a7a56ccdbcccd7806b132de6ac7f80834b2?cid=7a1d4f939a1f4e9989be940adaeb2999",7,"track","spotify:track:5v4rdKIol6kIXMmx6wvP4p","https://open.spotify.com/track/5v4rdKIol6kIXMmx6wvP4p","Certified","G","major","G major"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","3kKlvphz0K4uabkNcQQIMh","album","2024-04-05",2024,"day",0.724,0.716,8,-5.258,0,0.385,0.00843,0,0.892,0.812,128.026,"6z1VgD5cxbUco5lj9RLy5t","https://api.spotify.com/v1/audio-analysis/6z1VgD5cxbUco5lj9RLy5t",4,1,181237,TRUE,"https://api.spotify.com/v1/tracks/6z1VgD5cxbUco5lj9RLy5t",FALSE,"Shotta Flow 3","https://p.scdn.co/mp3-preview/af498d1f51e660404dccf585468fc36094fa5914?cid=7a1d4f939a1f4e9989be940adaeb2999",8,"track","spotify:track:6z1VgD5cxbUco5lj9RLy5t","https://open.spotify.com/track/6z1VgD5cxbUco5lj9RLy5t","Certified","G#","minor","G# minor"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","3kKlvphz0K4uabkNcQQIMh","album","2024-04-05",2024,"day",0.806,0.749,1,-5.268,1,0.328,0.0838,0,0.0621,0.77,140.032,"2KkWvMWnWX4pK4A2ax7ICt","https://api.spotify.com/v1/audio-analysis/2KkWvMWnWX4pK4A2ax7ICt",4,1,145167,TRUE,"https://api.spotify.com/v1/tracks/2KkWvMWnWX4pK4A2ax7ICt",FALSE,"Shotta Flow 5","https://p.scdn.co/mp3-preview/d16f51a7592adb026c040d709f4ac5b1ec54c358?cid=7a1d4f939a1f4e9989be940adaeb2999",9,"track","spotify:track:2KkWvMWnWX4pK4A2ax7ICt","https://open.spotify.com/track/2KkWvMWnWX4pK4A2ax7ICt","Certified","C#","major","C# major"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","3kKlvphz0K4uabkNcQQIMh","album","2024-04-05",2024,"day",0.891,0.431,9,-6.732,1,0.549,0.0787,2.2e-06,0.0959,0.447,120.137,"7c93KGsBTXfAs4Vcamp4vY","https://api.spotify.com/v1/audio-analysis/7c93KGsBTXfAs4Vcamp4vY",4,1,160013,TRUE,"https://api.spotify.com/v1/tracks/7c93KGsBTXfAs4Vcamp4vY",FALSE,"Shotta Flow","https://p.scdn.co/mp3-preview/1abc23391a3d8852f1692c9be319320f274aca88?cid=7a1d4f939a1f4e9989be940adaeb2999",10,"track","spotify:track:7c93KGsBTXfAs4Vcamp4vY","https://open.spotify.com/track/7c93KGsBTXfAs4Vcamp4vY","Certified","A","major","A major"
