"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Rihanna","5pKCCKE2ajJHZ9KAiaK11H","06RK0wX4GqHcxBtHlVoGH5","album","2022-11-11",2022,"day",0.247,0.299,9,-6.083,1,0.0315,0.899,0,0.131,0.172,177.115,"6sCvvleqKbeyOkQDieBYgp","https://api.spotify.com/v1/audio-analysis/6sCvvleqKbeyOkQDieBYgp",4,1,196520,FALSE,"https://api.spotify.com/v1/tracks/6sCvvleqKbeyOkQDieBYgp",FALSE,"Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By",NA,1,"track","spotify:track:6sCvvleqKbeyOkQDieBYgp","https://open.spotify.com/track/6sCvvleqKbeyOkQDieBYgp","Black Panther: Wakanda Forever - Music From and Inspired By","A","major","A major"
"Rihanna","5pKCCKE2ajJHZ9KAiaK11H","06RK0wX4GqHcxBtHlVoGH5","album","2022-11-11",2022,"day",0.816,0.726,1,-9.874,1,0.0688,0.233,0.00183,0.0669,0.596,111.99,"6KsDoI8iySmXQ6UaSPuAx4","https://api.spotify.com/v1/audio-analysis/6KsDoI8iySmXQ6UaSPuAx4",4,1,380053,FALSE,"https://api.spotify.com/v1/tracks/6KsDoI8iySmXQ6UaSPuAx4",FALSE,"Love & Loyalty (Believe)",NA,2,"track","spotify:track:6KsDoI8iySmXQ6UaSPuAx4","https://open.spotify.com/track/6KsDoI8iySmXQ6UaSPuAx4","Black Panther: Wakanda Forever - Music From and Inspired By","C#","major","C# major"
"Rihanna","5pKCCKE2ajJHZ9KAiaK11H","06RK0wX4GqHcxBtHlVoGH5","album","2022-11-11",2022,"day",0.6,0.659,4,-7.264,0,0.0542,0.176,0,0.111,0.307,89.955,"0AoBY2Y3qs6dtGgOD6c91N","https://api.spotify.com/v1/audio-analysis/0AoBY2Y3qs6dtGgOD6c91N",4,1,221746,FALSE,"https://api.spotify.com/v1/tracks/0AoBY2Y3qs6dtGgOD6c91N",FALSE,"Alone",NA,3,"track","spotify:track:0AoBY2Y3qs6dtGgOD6c91N","https://open.spotify.com/track/0AoBY2Y3qs6dtGgOD6c91N","Black Panther: Wakanda Forever - Music From and Inspired By","E","minor","E minor"
"Rihanna","5pKCCKE2ajJHZ9KAiaK11H","06RK0wX4GqHcxBtHlVoGH5","album","2022-11-11",2022,"day",0.434,0.252,2,-9.082,1,0.0305,0.506,0.00101,0.103,0.138,147.268,"2yrtWT6W4KUMbfNtBcH8iN","https://api.spotify.com/v1/audio-analysis/2yrtWT6W4KUMbfNtBcH8iN",4,1,213266,FALSE,"https://api.spotify.com/v1/tracks/2yrtWT6W4KUMbfNtBcH8iN",FALSE,"No Woman No Cry",NA,4,"track","spotify:track:2yrtWT6W4KUMbfNtBcH8iN","https://open.spotify.com/track/2yrtWT6W4KUMbfNtBcH8iN","Black Panther: Wakanda Forever - Music From and Inspired By","D","major","D major"
"Rihanna","5pKCCKE2ajJHZ9KAiaK11H","06RK0wX4GqHcxBtHlVoGH5","album","2022-11-11",2022,"day",0.678,0.385,6,-8.343,0,0.0389,0.783,0.00112,0.0982,0.0577,92.161,"5UaiWpx39E60GAsoAtICoV","https://api.spotify.com/v1/audio-analysis/5UaiWpx39E60GAsoAtICoV",3,1,261786,FALSE,"https://api.spotify.com/v1/tracks/5UaiWpx39E60GAsoAtICoV",FALSE,"Árboles Bajo El Mar",NA,5,"track","spotify:track:5UaiWpx39E60GAsoAtICoV","https://open.spotify.com/track/5UaiWpx39E60GAsoAtICoV","Black Panther: Wakanda Forever - Music From and Inspired By","F#","minor","F# minor"
"Rihanna","5pKCCKE2ajJHZ9KAiaK11H","06RK0wX4GqHcxBtHlVoGH5","album","2022-11-11",2022,"day",0.608,0.429,2,-10.336,0,0.0316,0.47,0.245,0.129,0.242,113.818,"2LSsSV7V33wM9EKQA2xjGS","https://api.spotify.com/v1/audio-analysis/2LSsSV7V33wM9EKQA2xjGS",4,1,167386,FALSE,"https://api.spotify.com/v1/tracks/2LSsSV7V33wM9EKQA2xjGS",FALSE,"Con La Brisa",NA,6,"track","spotify:track:2LSsSV7V33wM9EKQA2xjGS","https://open.spotify.com/track/2LSsSV7V33wM9EKQA2xjGS","Black Panther: Wakanda Forever - Music From and Inspired By","D","minor","D minor"
"Rihanna","5pKCCKE2ajJHZ9KAiaK11H","06RK0wX4GqHcxBtHlVoGH5","album","2022-11-11",2022,"day",0.754,0.869,1,-5.106,0,0.124,0.219,0,0.105,0.278,94.972,"7rIMBY4ANvxLDJS1m1TzmH","https://api.spotify.com/v1/audio-analysis/7rIMBY4ANvxLDJS1m1TzmH",4,1,157813,FALSE,"https://api.spotify.com/v1/tracks/7rIMBY4ANvxLDJS1m1TzmH",FALSE,"La Vida",NA,7,"track","spotify:track:7rIMBY4ANvxLDJS1m1TzmH","https://open.spotify.com/track/7rIMBY4ANvxLDJS1m1TzmH","Black Panther: Wakanda Forever - Music From and Inspired By","C#","minor","C# minor"
"Rihanna","5pKCCKE2ajJHZ9KAiaK11H","06RK0wX4GqHcxBtHlVoGH5","album","2022-11-11",2022,"day",0.519,0.536,4,-6.797,0,0.124,0.389,1.12e-05,0.109,0.0385,92.642,"2IWpTwTSmuVB6WjeuKN8Cl","https://api.spotify.com/v1/audio-analysis/2IWpTwTSmuVB6WjeuKN8Cl",4,1,138520,FALSE,"https://api.spotify.com/v1/tracks/2IWpTwTSmuVB6WjeuKN8Cl",FALSE,"Interlude",NA,8,"track","spotify:track:2IWpTwTSmuVB6WjeuKN8Cl","https://open.spotify.com/track/2IWpTwTSmuVB6WjeuKN8Cl","Black Panther: Wakanda Forever - Music From and Inspired By","E","minor","E minor"
"Rihanna","5pKCCKE2ajJHZ9KAiaK11H","06RK0wX4GqHcxBtHlVoGH5","album","2022-11-11",2022,"day",0.42,0.436,7,-8.025,1,0.0449,0.00814,0,0.128,0.242,100.274,"5o77o7nTrQL1mWAyrvVMNI","https://api.spotify.com/v1/audio-analysis/5o77o7nTrQL1mWAyrvVMNI",4,1,176293,FALSE,"https://api.spotify.com/v1/tracks/5o77o7nTrQL1mWAyrvVMNI",FALSE,"Coming Back For You",NA,9,"track","spotify:track:5o77o7nTrQL1mWAyrvVMNI","https://open.spotify.com/track/5o77o7nTrQL1mWAyrvVMNI","Black Panther: Wakanda Forever - Music From and Inspired By","G","major","G major"
"Rihanna","5pKCCKE2ajJHZ9KAiaK11H","06RK0wX4GqHcxBtHlVoGH5","album","2022-11-11",2022,"day",0.6,0.931,1,-6.864,1,0.0973,0.00783,0.00149,0.115,0.304,134.868,"1rHGit66Qhs5JL3FjaNYsW","https://api.spotify.com/v1/audio-analysis/1rHGit66Qhs5JL3FjaNYsW",4,1,157440,FALSE,"https://api.spotify.com/v1/tracks/1rHGit66Qhs5JL3FjaNYsW",FALSE,"They Want It, But No",NA,10,"track","spotify:track:1rHGit66Qhs5JL3FjaNYsW","https://open.spotify.com/track/1rHGit66Qhs5JL3FjaNYsW","Black Panther: Wakanda Forever - Music From and Inspired By","C#","major","C# major"
