"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Romeo Santos","5lwmRuXgjX8xIwlnauTZIP","3kGn13mW34Ookfj6yiY8BF","album","2022-09-01",2022,"day",0.569,0.189,9,-13.386,0,0.438,0.691,1e-05,0.359,0.265,145.402,"1O5HGqTyQwb0N87beG7mLC","https://api.spotify.com/v1/audio-analysis/1O5HGqTyQwb0N87beG7mLC",3,1,101400,FALSE,"https://api.spotify.com/v1/tracks/1O5HGqTyQwb0N87beG7mLC",FALSE,"Intro (feat. Alex Santos, Valentino Santos & Solano Santos)","https://p.scdn.co/mp3-preview/f22ccd8b98e942985f41010c35a85e0c5c28a962?cid=7a1d4f939a1f4e9989be940adaeb2999",1,"track","spotify:track:1O5HGqTyQwb0N87beG7mLC","https://open.spotify.com/track/1O5HGqTyQwb0N87beG7mLC","Fórmula, Vol. 3","A","minor","A minor"
"Romeo Santos","5lwmRuXgjX8xIwlnauTZIP","3kGn13mW34Ookfj6yiY8BF","album","2022-09-01",2022,"day",0.765,0.878,3,-3.649,0,0.0465,0.105,0,0.314,0.96,125.046,"7HsebNHZDGj8UhWIrZaMx6","https://api.spotify.com/v1/audio-analysis/7HsebNHZDGj8UhWIrZaMx6",4,1,235733,FALSE,"https://api.spotify.com/v1/tracks/7HsebNHZDGj8UhWIrZaMx6",FALSE,"Bebo","https://p.scdn.co/mp3-preview/6bd384bb6030fae203c4ef8b4d2a387d0e9679ee?cid=7a1d4f939a1f4e9989be940adaeb2999",2,"track","spotify:track:7HsebNHZDGj8UhWIrZaMx6","https://open.spotify.com/track/7HsebNHZDGj8UhWIrZaMx6","Fórmula, Vol. 3","D#","minor","D# minor"
"Romeo Santos","5lwmRuXgjX8xIwlnauTZIP","3kGn13mW34Ookfj6yiY8BF","album","2022-09-01",2022,"day",0.811,0.81,9,-3.748,0,0.0422,0.108,0,0.0627,0.75,124.053,"6mjhmQB61lSVhgcmOFJv9L","https://api.spotify.com/v1/audio-analysis/6mjhmQB61lSVhgcmOFJv9L",4,1,224426,FALSE,"https://api.spotify.com/v1/tracks/6mjhmQB61lSVhgcmOFJv9L",FALSE,"Ayúdame","https://p.scdn.co/mp3-preview/9816a8ae14a23236a4ffe1ad842475a9a3b9369f?cid=7a1d4f939a1f4e9989be940adaeb2999",3,"track","spotify:track:6mjhmQB61lSVhgcmOFJv9L","https://open.spotify.com/track/6mjhmQB61lSVhgcmOFJv9L","Fórmula, Vol. 3","A","minor","A minor"
"Romeo Santos","5lwmRuXgjX8xIwlnauTZIP","3kGn13mW34Ookfj6yiY8BF","album","2022-09-01",2022,"day",0.857,0.699,0,-5.493,0,0.0432,0.0498,0,0.112,0.905,130.031,"0ill3qz7eiLAswHanCCoeJ","https://api.spotify.com/v1/audio-analysis/0ill3qz7eiLAswHanCCoeJ",4,1,247520,FALSE,"https://api.spotify.com/v1/tracks/0ill3qz7eiLAswHanCCoeJ",FALSE,"Boomerang","https://p.scdn.co/mp3-preview/eb597e440696a703e50e46017aa286b0282962de?cid=7a1d4f939a1f4e9989be940adaeb2999",4,"track","spotify:track:0ill3qz7eiLAswHanCCoeJ","https://open.spotify.com/track/0ill3qz7eiLAswHanCCoeJ","Fórmula, Vol. 3","C","minor","C minor"
"Romeo Santos","5lwmRuXgjX8xIwlnauTZIP","3kGn13mW34Ookfj6yiY8BF","album","2022-09-01",2022,"day",0.922,0.672,3,-3.322,0,0.0432,0.0392,4e-06,0.0565,0.886,126.038,"4iSF0oZYDXeFTGHG20NOOF","https://api.spotify.com/v1/audio-analysis/4iSF0oZYDXeFTGHG20NOOF",4,1,186160,FALSE,"https://api.spotify.com/v1/tracks/4iSF0oZYDXeFTGHG20NOOF",FALSE,"Sexo Con Ropa","https://p.scdn.co/mp3-preview/7861037615f4fe323d2422feb94c993bb9a77bd7?cid=7a1d4f939a1f4e9989be940adaeb2999",5,"track","spotify:track:4iSF0oZYDXeFTGHG20NOOF","https://open.spotify.com/track/4iSF0oZYDXeFTGHG20NOOF","Fórmula, Vol. 3","D#","minor","D# minor"
"Romeo Santos","5lwmRuXgjX8xIwlnauTZIP","3kGn13mW34Ookfj6yiY8BF","album","2022-09-01",2022,"day",0.765,0.79,0,-4.199,0,0.0664,0.382,0,0.371,0.66,124.051,"7fCvGG97wqAIqtOxX87Uv1","https://api.spotify.com/v1/audio-analysis/7fCvGG97wqAIqtOxX87Uv1",4,1,213786,FALSE,"https://api.spotify.com/v1/tracks/7fCvGG97wqAIqtOxX87Uv1",FALSE,"Ciudadana","https://p.scdn.co/mp3-preview/aafb2b88b63f5a78e953076dddc0db4a68e47136?cid=7a1d4f939a1f4e9989be940adaeb2999",6,"track","spotify:track:7fCvGG97wqAIqtOxX87Uv1","https://open.spotify.com/track/7fCvGG97wqAIqtOxX87Uv1","Fórmula, Vol. 3","C","minor","C minor"
"Romeo Santos","5lwmRuXgjX8xIwlnauTZIP","3kGn13mW34Ookfj6yiY8BF","album","2022-09-01",2022,"day",0.825,0.841,11,-4.714,0,0.0404,0.067,8.81e-06,0.305,0.876,131.89,"2QhwiiYs6JvW4NJIsJEKIJ","https://api.spotify.com/v1/audio-analysis/2QhwiiYs6JvW4NJIsJEKIJ",4,1,203640,FALSE,"https://api.spotify.com/v1/tracks/2QhwiiYs6JvW4NJIsJEKIJ",FALSE,"Mar","https://p.scdn.co/mp3-preview/8a574d6c6076ab3d6c1a8f9a281dbf9dc8fb64a7?cid=7a1d4f939a1f4e9989be940adaeb2999",7,"track","spotify:track:2QhwiiYs6JvW4NJIsJEKIJ","https://open.spotify.com/track/2QhwiiYs6JvW4NJIsJEKIJ","Fórmula, Vol. 3","B","minor","B minor"
"Romeo Santos","5lwmRuXgjX8xIwlnauTZIP","3kGn13mW34Ookfj6yiY8BF","album","2022-09-01",2022,"day",0.839,0.71,8,-3.823,1,0.0409,0.0534,0,0.283,0.661,129.997,"7jfmlr5W2AQWUGLVhT8ofl","https://api.spotify.com/v1/audio-analysis/7jfmlr5W2AQWUGLVhT8ofl",4,1,234786,FALSE,"https://api.spotify.com/v1/tracks/7jfmlr5W2AQWUGLVhT8ofl",FALSE,"El Pañuelo","https://p.scdn.co/mp3-preview/803c6af0804b9a31692ff1cd3ddeaf255b5ed8bd?cid=7a1d4f939a1f4e9989be940adaeb2999",8,"track","spotify:track:7jfmlr5W2AQWUGLVhT8ofl","https://open.spotify.com/track/7jfmlr5W2AQWUGLVhT8ofl","Fórmula, Vol. 3","G#","major","G# major"
"Romeo Santos","5lwmRuXgjX8xIwlnauTZIP","3kGn13mW34Ookfj6yiY8BF","album","2022-09-01",2022,"day",0.682,0.871,8,-3.428,0,0.0851,0.0987,0,0.0434,0.873,123.934,"0X6sRADYbUDYutAulPllKN","https://api.spotify.com/v1/audio-analysis/0X6sRADYbUDYutAulPllKN",4,1,271413,FALSE,"https://api.spotify.com/v1/tracks/0X6sRADYbUDYutAulPllKN",FALSE,"15,500 Noches","https://p.scdn.co/mp3-preview/6b64b20c3bd5e884ead8c7264d9a4d2d47a78965?cid=7a1d4f939a1f4e9989be940adaeb2999",9,"track","spotify:track:0X6sRADYbUDYutAulPllKN","https://open.spotify.com/track/0X6sRADYbUDYutAulPllKN","Fórmula, Vol. 3","G#","minor","G# minor"
"Romeo Santos","5lwmRuXgjX8xIwlnauTZIP","3kGn13mW34Ookfj6yiY8BF","album","2022-09-01",2022,"day",0.873,0.68,1,-3.475,0,0.051,0.112,0,0.0885,0.813,124.027,"74o96bZLSIZFIG12H7ZwUm","https://api.spotify.com/v1/audio-analysis/74o96bZLSIZFIG12H7ZwUm",4,1,213866,FALSE,"https://api.spotify.com/v1/tracks/74o96bZLSIZFIG12H7ZwUm",FALSE,"Perro","https://p.scdn.co/mp3-preview/71e7131acbb2f1763d6af0755226564b7ddf84e5?cid=7a1d4f939a1f4e9989be940adaeb2999",10,"track","spotify:track:74o96bZLSIZFIG12H7ZwUm","https://open.spotify.com/track/74o96bZLSIZFIG12H7ZwUm","Fórmula, Vol. 3","C#","minor","C# minor"
"Romeo Santos","5lwmRuXgjX8xIwlnauTZIP","3kGn13mW34Ookfj6yiY8BF","album","2022-09-01",2022,"day",0.736,0.869,0,-3.873,1,0.0548,0.18,0,0.0687,0.783,128.009,"4BBTalxG6c1Aoai1x1EA5g","https://api.spotify.com/v1/audio-analysis/4BBTalxG6c1Aoai1x1EA5g",4,1,234666,FALSE,"https://api.spotify.com/v1/tracks/4BBTalxG6c1Aoai1x1EA5g",FALSE,"Sin Fin","https://p.scdn.co/mp3-preview/c7b4ca5ff7cb6429ea72ba3153834f1bbce411b0?cid=7a1d4f939a1f4e9989be940adaeb2999",11,"track","spotify:track:4BBTalxG6c1Aoai1x1EA5g","https://open.spotify.com/track/4BBTalxG6c1Aoai1x1EA5g","Fórmula, Vol. 3","C","major","C major"
"Romeo Santos","5lwmRuXgjX8xIwlnauTZIP","3kGn13mW34Ookfj6yiY8BF","album","2022-09-01",2022,"day",0.855,0.856,2,-1.948,1,0.0455,0.199,0,0.0824,0.922,122.976,"22iCMlT0xYryKNnz4X5Vwn","https://api.spotify.com/v1/audio-analysis/22iCMlT0xYryKNnz4X5Vwn",4,1,254920,FALSE,"https://api.spotify.com/v1/tracks/22iCMlT0xYryKNnz4X5Vwn",FALSE,"Solo Conmigo","https://p.scdn.co/mp3-preview/0c9c11f7e318ae9a0a0bf8fc8c525bf79ae0a911?cid=7a1d4f939a1f4e9989be940adaeb2999",12,"track","spotify:track:22iCMlT0xYryKNnz4X5Vwn","https://open.spotify.com/track/22iCMlT0xYryKNnz4X5Vwn","Fórmula, Vol. 3","D","major","D major"
