"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Tyler Childers","13ZEDW6vyBF12HYcZRr4EV","7rSObXhKazzmeZFHuGX1mx","album","2023-09-08",2023,"day",0.462,0.944,2,-4.507,1,0.0946,0.399,0,0.0851,0.841,148.991,"7CYYZVnDYoUtNlSxNNz4P9","https://api.spotify.com/v1/audio-analysis/7CYYZVnDYoUtNlSxNNz4P9",4,1,216226,FALSE,"https://api.spotify.com/v1/tracks/7CYYZVnDYoUtNlSxNNz4P9",FALSE,"Rustin' In The Rain","https://p.scdn.co/mp3-preview/8882e8e3b7e501209d5a9be0a148ba6d98900585?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",1,"track","spotify:track:7CYYZVnDYoUtNlSxNNz4P9","https://open.spotify.com/track/7CYYZVnDYoUtNlSxNNz4P9","Rustin' In The Rain","D","major","D major"
"Tyler Childers","13ZEDW6vyBF12HYcZRr4EV","7rSObXhKazzmeZFHuGX1mx","album","2023-09-08",2023,"day",0.545,0.318,4,-8.74,1,0.0287,0.879,7.93e-06,0.11,0.184,82.271,"5UlF28CEpR6psOpE7gX1Zu","https://api.spotify.com/v1/audio-analysis/5UlF28CEpR6psOpE7gX1Zu",3,1,255986,FALSE,"https://api.spotify.com/v1/tracks/5UlF28CEpR6psOpE7gX1Zu",FALSE,"Phone Calls and Emails","https://p.scdn.co/mp3-preview/18182d139021b801cb2b7fc26b6df3f7e1bfebd2?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",2,"track","spotify:track:5UlF28CEpR6psOpE7gX1Zu","https://open.spotify.com/track/5UlF28CEpR6psOpE7gX1Zu","Rustin' In The Rain","E","major","E major"
"Tyler Childers","13ZEDW6vyBF12HYcZRr4EV","7rSObXhKazzmeZFHuGX1mx","album","2023-09-08",2023,"day",0.544,0.457,4,-8.684,1,0.028,0.868,0.000663,0.114,0.583,115.392,"0EbhAysw3Cg9CqpMpeqSLB","https://api.spotify.com/v1/audio-analysis/0EbhAysw3Cg9CqpMpeqSLB",3,1,183360,FALSE,"https://api.spotify.com/v1/tracks/0EbhAysw3Cg9CqpMpeqSLB",FALSE,"Luke 2:8-10","https://p.scdn.co/mp3-preview/c4e54a7b9fcb4ab5974c08f15fb061049d749cf7?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",3,"track","spotify:track:0EbhAysw3Cg9CqpMpeqSLB","https://open.spotify.com/track/0EbhAysw3Cg9CqpMpeqSLB","Rustin' In The Rain","E","major","E major"
"Tyler Childers","13ZEDW6vyBF12HYcZRr4EV","7rSObXhKazzmeZFHuGX1mx","album","2023-09-08",2023,"day",0.459,0.396,7,-7.9,1,0.0241,0.733,0.00304,0.127,0.414,65.861,"0m8AwvB9ux2DXJETxOTIbd","https://api.spotify.com/v1/audio-analysis/0m8AwvB9ux2DXJETxOTIbd",4,1,248266,FALSE,"https://api.spotify.com/v1/tracks/0m8AwvB9ux2DXJETxOTIbd",FALSE,"Help Me Make It Through the Night","https://p.scdn.co/mp3-preview/1a8df90d2fa6e8dd8588b43e162f1f70e50b5d34?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",4,"track","spotify:track:0m8AwvB9ux2DXJETxOTIbd","https://open.spotify.com/track/0m8AwvB9ux2DXJETxOTIbd","Rustin' In The Rain","G","major","G major"
"Tyler Childers","13ZEDW6vyBF12HYcZRr4EV","7rSObXhKazzmeZFHuGX1mx","album","2023-09-08",2023,"day",0.377,0.713,5,-6.464,1,0.0386,0.826,0.0111,0.436,0.91,204.332,"5Fh1K2YLTJyB6wrubsZMcJ","https://api.spotify.com/v1/audio-analysis/5Fh1K2YLTJyB6wrubsZMcJ",4,1,270240,FALSE,"https://api.spotify.com/v1/tracks/5Fh1K2YLTJyB6wrubsZMcJ",FALSE,"Percheron Mules","https://p.scdn.co/mp3-preview/b61ca0529cee77b5ce415f23cce2f2f5b3e55771?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",5,"track","spotify:track:5Fh1K2YLTJyB6wrubsZMcJ","https://open.spotify.com/track/5Fh1K2YLTJyB6wrubsZMcJ","Rustin' In The Rain","F","major","F major"
"Tyler Childers","13ZEDW6vyBF12HYcZRr4EV","7rSObXhKazzmeZFHuGX1mx","album","2023-09-08",2023,"day",0.534,0.409,7,-9.559,1,0.0378,0.844,0.000656,0.115,0.243,127.357,"1y3CG6thNhG1ndaNW0JuEp","https://api.spotify.com/v1/audio-analysis/1y3CG6thNhG1ndaNW0JuEp",4,1,225826,FALSE,"https://api.spotify.com/v1/tracks/1y3CG6thNhG1ndaNW0JuEp",FALSE,"In Your Love","https://p.scdn.co/mp3-preview/985b3eaba3738b7c456def03ac972c4ee1cb31da?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",6,"track","spotify:track:1y3CG6thNhG1ndaNW0JuEp","https://open.spotify.com/track/1y3CG6thNhG1ndaNW0JuEp","Rustin' In The Rain","G","major","G major"
"Tyler Childers","13ZEDW6vyBF12HYcZRr4EV","7rSObXhKazzmeZFHuGX1mx","album","2023-09-08",2023,"day",0.338,0.458,7,-6.298,1,0.0286,0.85,1.24e-05,0.128,0.303,172.754,"49ox9rycOdJrbQlWGAJRBL","https://api.spotify.com/v1/audio-analysis/49ox9rycOdJrbQlWGAJRBL",3,1,282000,FALSE,"https://api.spotify.com/v1/tracks/49ox9rycOdJrbQlWGAJRBL",FALSE,"Space and Time","https://p.scdn.co/mp3-preview/650d629756f142954a7db31c74f78aa41b8feea7?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",7,"track","spotify:track:49ox9rycOdJrbQlWGAJRBL","https://open.spotify.com/track/49ox9rycOdJrbQlWGAJRBL","Rustin' In The Rain","G","major","G major"
"Tyler Childers","13ZEDW6vyBF12HYcZRr4EV","38DbwWdACUMpVMfRTxGnvi","album","2022-09-30",2022,"day",0.544,0.556,7,-6.63,1,0.0312,0.47,0.0038,0.0575,0.45,143.6,"5lbz5DK5AUXQTBFH9qle3i","https://api.spotify.com/v1/audio-analysis/5lbz5DK5AUXQTBFH9qle3i",4,1,286813,FALSE,"https://api.spotify.com/v1/tracks/5lbz5DK5AUXQTBFH9qle3i",FALSE,"Old Country Church - Hallelujah Version","https://p.scdn.co/mp3-preview/47ff1df7f323e73349803f9ffe3e33cef91b2039?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",1,"track","spotify:track:5lbz5DK5AUXQTBFH9qle3i","https://open.spotify.com/track/5lbz5DK5AUXQTBFH9qle3i","Can I Take My Hounds to Heaven?","G","major","G major"
"Tyler Childers","13ZEDW6vyBF12HYcZRr4EV","38DbwWdACUMpVMfRTxGnvi","album","2022-09-30",2022,"day",0.647,0.551,7,-5.891,1,0.0423,0.381,0,0.42,0.533,137.482,"0xTDZzwnSK3t8FfAbrvAiU","https://api.spotify.com/v1/audio-analysis/0xTDZzwnSK3t8FfAbrvAiU",4,1,244173,FALSE,"https://api.spotify.com/v1/tracks/0xTDZzwnSK3t8FfAbrvAiU",FALSE,"Can I Take My Hounds to Heaven? - Hallelujah Version","https://p.scdn.co/mp3-preview/e67cafb9f79d43f20badea2578bfb0a0bae615b4?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",2,"track","spotify:track:0xTDZzwnSK3t8FfAbrvAiU","https://open.spotify.com/track/0xTDZzwnSK3t8FfAbrvAiU","Can I Take My Hounds to Heaven?","G","major","G major"
"Tyler Childers","13ZEDW6vyBF12HYcZRr4EV","38DbwWdACUMpVMfRTxGnvi","album","2022-09-30",2022,"day",0.453,0.68,0,-7.557,1,0.0244,0.101,0.29,0.203,0.702,144.349,"3GeHiAXfCGPjr3AIZ6Lj0s","https://api.spotify.com/v1/audio-analysis/3GeHiAXfCGPjr3AIZ6Lj0s",4,1,205973,FALSE,"https://api.spotify.com/v1/tracks/3GeHiAXfCGPjr3AIZ6Lj0s",FALSE,"Two Coats - Hallelujah Version","https://p.scdn.co/mp3-preview/cacd1c5c70d1e1ed00b4602f013935f9f8c29853?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",3,"track","spotify:track:3GeHiAXfCGPjr3AIZ6Lj0s","https://open.spotify.com/track/3GeHiAXfCGPjr3AIZ6Lj0s","Can I Take My Hounds to Heaven?","C","major","C major"
